RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Nov  4 19:20:47 2019
elapsed time: 4.7e-08s
Source: /app/node3/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.583627 |End 
Source: /app/node3/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.597467 |End 
Source: /app/node2/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.574330 | Time receivedFromSrcR: 6.602297 |End 
Source: /app/node3/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.611307 |End 
Source: /app/node2/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.574330 | Time receivedFromSrcR: 6.616137 |End 
Source: /app/node3/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.625147 |End 
Source: /app/node2/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.574330 | Time receivedFromSrcR: 6.629977 |End 
Source: /app/node3/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.638987 |End 
Source: /app/node2/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.574330 | Time receivedFromSrcR: 6.643817 |End 
Source: /app/node3/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.652827 |End 
Source: /app/node2/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.574330 | Time receivedFromSrcR: 6.657657 |End 
Source: /app/node3/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.569643 | Time receivedFromSrcR: 6.666667 |End 
Source: /app/node7/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.639435 | Time receivedFromSrcR: 6.667664 |End 
Source: /app/node2/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.574330 | Time receivedFromSrcR: 6.671497 |End 
Source: /app/node1/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.656875 | Time receivedFromSrcR: 6.678784 |End 
Source: /app/node7/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.639435 | Time receivedFromSrcR: 6.681504 |End 
Source: /app/node1/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.656875 | Time receivedFromSrcR: 6.692624 |End 
Source: /app/node7/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.639435 | Time receivedFromSrcR: 6.695344 |End 
Source: /app/node1/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.656875 | Time receivedFromSrcR: 6.706464 |End 
Source: /app/node7/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.639435 | Time receivedFromSrcR: 6.709184 |End 
Source: /app/node1/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.656875 | Time receivedFromSrcR: 6.720304 |End 
