RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Wed Nov  6 03:27:07 2019
elapsed time: 3e-08s
Source: /app/node7/item-22045 | Message ID: 45 | Time sentFromSrcR: 45.174330 | Time receivedFromSrcR: 45.188457 |End 
Source: /app/node2/item-22045 | Message ID: 45 | Time sentFromSrcR: 45.719643 | Time receivedFromSrcR: 45.733627 |End 
Source: /app/node2/item-22046 | Message ID: 46 | Time sentFromSrcR: 45.719643 | Time receivedFromSrcR: 45.747467 |End 
Source: /app/node8/item-22046 | Message ID: 46 | Time sentFromSrcR: 45.919643 | Time receivedFromSrcR: 45.933627 |End 
Source: /app/node2/item-22047 | Message ID: 47 | Time sentFromSrcR: 46.269643 | Time receivedFromSrcR: 46.283627 |End 
Source: /app/node8/item-22047 | Message ID: 47 | Time sentFromSrcR: 46.469643 | Time receivedFromSrcR: 46.483627 |End 
Source: /app/node7/item-22046 | Message ID: 46 | Time sentFromSrcR: 46.769842 | Time receivedFromSrcR: 46.783969 |End 
Source: /app/node7/item-22047 | Message ID: 47 | Time sentFromSrcR: 46.769842 | Time receivedFromSrcR: 46.797809 |End 
Source: /app/node6/item-22041 | Message ID: 41 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.825489 |End 
Source: /app/node6/item-22042 | Message ID: 42 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.839329 |End 
Source: /app/node6/item-22043 | Message ID: 43 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.853169 |End 
Source: /app/node6/item-22044 | Message ID: 44 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.867009 |End 
Source: /app/node6/item-22045 | Message ID: 45 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.880849 |End 
Source: /app/node6/item-22046 | Message ID: 46 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.894689 |End 
Source: /app/node6/item-22047 | Message ID: 47 | Time sentFromSrcR: 46.219643 | Time receivedFromSrcR: 46.908529 |End 
Source: /app/node2/item-22048 | Message ID: 48 | Time sentFromSrcR: 47.384443 | Time receivedFromSrcR: 47.398427 |End 
Source: /app/node4/item-22046 | Message ID: 46 | Time sentFromSrcR: 48.019643 | Time receivedFromSrcR: 48.033627 |End 
Source: /app/node4/item-22047 | Message ID: 47 | Time sentFromSrcR: 48.019643 | Time receivedFromSrcR: 48.047467 |End 
Source: /app/node4/item-22048 | Message ID: 48 | Time sentFromSrcR: 48.019643 | Time receivedFromSrcR: 48.061307 |End 
Source: /app/node2/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.469643 | Time receivedFromSrcR: 48.483627 |End 
Source: /app/node8/item-22048 | Message ID: 48 | Time sentFromSrcR: 48.619643 | Time receivedFromSrcR: 48.633627 |End 
Source: /app/node8/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.619643 | Time receivedFromSrcR: 48.647467 |End 
Source: /app/node1/item-22048 | Message ID: 48 | Time sentFromSrcR: 48.769842 | Time receivedFromSrcR: 48.783969 |End 
Source: /app/node1/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.769842 | Time receivedFromSrcR: 48.797809 |End 
