RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Wed Nov  6 03:27:07 2019
elapsed time: 3.4e-08s
Source: /app/node7/item-22121 | Message ID: 121 | Time sentFromSrcR: 121.269643 | Time receivedFromSrcR: 121.283627 |End 
Source: /app/node7/item-22122 | Message ID: 122 | Time sentFromSrcR: 121.269643 | Time receivedFromSrcR: 121.311307 |End 
Source: /app/node0/item-22120 | Message ID: 120 | Time sentFromSrcR: 119.169658 | Time receivedFromSrcR: 121.333653 |End 
Source: /app/node1/item-22119 | Message ID: 119 | Time sentFromSrcR: 119.619784 | Time receivedFromSrcR: 121.347493 |End 
Source: /app/node0/item-22119 | Message ID: 119 | Time sentFromSrcR: 119.619784 | Time receivedFromSrcR: 121.375173 |End 
Source: /app/node1/item-22120 | Message ID: 120 | Time sentFromSrcR: 119.619784 | Time receivedFromSrcR: 121.389013 |End 
Source: /app/node4/item-22121 | Message ID: 121 | Time sentFromSrcR: 121.319658 | Time receivedFromSrcR: 121.402853 |End 
Source: /app/node0/item-22121 | Message ID: 121 | Time sentFromSrcR: 120.819658 | Time receivedFromSrcR: 121.416693 |End 
Source: /app/node4/item-22122 | Message ID: 122 | Time sentFromSrcR: 121.319658 | Time receivedFromSrcR: 121.430533 |End 
Source: /app/node8/item-22121 | Message ID: 121 | Time sentFromSrcR: 120.219643 | Time receivedFromSrcR: 121.833627 |End 
Source: /app/node8/item-22122 | Message ID: 122 | Time sentFromSrcR: 121.330651 | Time receivedFromSrcR: 121.847467 |End 
Source: /app/node0/item-22118 | Message ID: 118 | Time sentFromSrcR: 119.619784 | Time receivedFromSrcR: 121.883653 |End 
Source: /app/node0/item-22121 | Message ID: 121 | Time sentFromSrcR: 120.819658 | Time receivedFromSrcR: 121.897493 |End 
Source: /app/node0/item-22122 | Message ID: 122 | Time sentFromSrcR: 121.449870 | Time receivedFromSrcR: 121.911333 |End 
Source: /app/node1/item-22121 | Message ID: 121 | Time sentFromSrcR: 121.569784 | Time receivedFromSrcR: 121.925173 |End 
Source: /app/node1/item-22122 | Message ID: 122 | Time sentFromSrcR: 121.569784 | Time receivedFromSrcR: 121.939013 |End 
Source: /app/node7/item-22123 | Message ID: 123 | Time sentFromSrcR: 122.369643 | Time receivedFromSrcR: 122.383627 |End 
Source: /app/node4/item-22123 | Message ID: 123 | Time sentFromSrcR: 122.419658 | Time receivedFromSrcR: 122.433653 |End 
Source: /app/node1/item-22120 | Message ID: 120 | Time sentFromSrcR: 122.119784 | Time receivedFromSrcR: 122.447493 |End 
Source: /app/node1/item-22123 | Message ID: 123 | Time sentFromSrcR: 122.119784 | Time receivedFromSrcR: 122.461333 |End 
Source: /app/node0/item-22123 | Message ID: 123 | Time sentFromSrcR: 122.480670 | Time receivedFromSrcR: 122.983653 |End 
Source: /app/node4/item-22124 | Message ID: 124 | Time sentFromSrcR: 123.519658 | Time receivedFromSrcR: 123.533653 |End 
Source: /app/node1/item-22124 | Message ID: 124 | Time sentFromSrcR: 123.219784 | Time receivedFromSrcR: 123.547493 |End 
Source: /app/node8/item-22123 | Message ID: 123 | Time sentFromSrcR: 122.419643 | Time receivedFromSrcR: 123.983627 |End 
Source: /app/node7/item-22124 | Message ID: 124 | Time sentFromSrcR: 123.969643 | Time receivedFromSrcR: 123.997467 |End 
Source: /app/node8/item-22124 | Message ID: 124 | Time sentFromSrcR: 123.519643 | Time receivedFromSrcR: 124.011307 |End 
Source: /app/node0/item-22124 | Message ID: 124 | Time sentFromSrcR: 123.569658 | Time receivedFromSrcR: 124.083653 |End 
Source: /app/node4/item-22125 | Message ID: 125 | Time sentFromSrcR: 124.619658 | Time receivedFromSrcR: 124.633653 |End 
Source: /app/node1/item-22125 | Message ID: 125 | Time sentFromSrcR: 124.334584 | Time receivedFromSrcR: 124.647493 |End 
Source: /app/node8/item-22123 | Message ID: 123 | Time sentFromSrcR: 122.419643 | Time receivedFromSrcR: 125.083627 |End 
Source: /app/node7/item-22125 | Message ID: 125 | Time sentFromSrcR: 125.069643 | Time receivedFromSrcR: 125.097467 |End 
Source: /app/node8/item-22125 | Message ID: 125 | Time sentFromSrcR: 124.619643 | Time receivedFromSrcR: 125.111307 |End 
Source: /app/node4/item-22126 | Message ID: 126 | Time sentFromSrcR: 125.169658 | Time receivedFromSrcR: 125.183653 |End 
Source: /app/node0/item-22125 | Message ID: 125 | Time sentFromSrcR: 125.469658 | Time receivedFromSrcR: 125.733653 |End 
Source: /app/node0/item-22126 | Message ID: 126 | Time sentFromSrcR: 125.469658 | Time receivedFromSrcR: 125.747493 |End 
Source: /app/node6/item-22107 | Message ID: 107 | Time sentFromSrcR: 107.750416 | Time receivedFromSrcR: 125.848769 |End 
