RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 21 02:49:02 2019
elapsed time: 7.4e-08s
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 6.686986 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 6.700826 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22003 | Message ID: 3 | Time SentFromNIC: 6.714666 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 6.728506 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22005 | Message ID: 5 | Time SentFromNIC: 6.742346 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22006 | Message ID: 6 | Time SentFromNIC: 6.756186 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22007 | Message ID: 7 | Time SentFromNIC: 6.770026 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 7.227706 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 8.327706 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22010 | Message ID: 10 | Time SentFromNIC: 9.427706 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22011 | Message ID: 11 | Time SentFromNIC: 10.527706 | End 
