RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Wed Nov  6 03:27:07 2019
elapsed time: 2.8e-08s
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22001 | Message ID: 1 | Time SentFromNIC: 11.085915 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22002 | Message ID: 2 | Time SentFromNIC: 11.099755 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22003 | Message ID: 3 | Time SentFromNIC: 11.113595 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22004 | Message ID: 4 | Time SentFromNIC: 11.127435 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22005 | Message ID: 5 | Time SentFromNIC: 11.141275 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22006 | Message ID: 6 | Time SentFromNIC: 11.155115 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22007 | Message ID: 7 | Time SentFromNIC: 11.168955 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22008 | Message ID: 8 | Time SentFromNIC: 11.182795 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22009 | Message ID: 9 | Time SentFromNIC: 11.196635 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22010 | Message ID: 10 | Time SentFromNIC: 11.210475 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22011 | Message ID: 11 | Time SentFromNIC: 11.224315 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22012 | Message ID: 12 | Time SentFromNIC: 11.635915 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22013 | Message ID: 13 | Time SentFromNIC: 12.183483 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22014 | Message ID: 14 | Time SentFromNIC: 13.283483 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22015 | Message ID: 15 | Time SentFromNIC: 14.383483 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22016 | Message ID: 16 | Time SentFromNIC: 15.483483 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22017 | Message ID: 17 | Time SentFromNIC: 16.583483 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22018 | Message ID: 18 | Time SentFromNIC: 17.133483 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node5/item-22019 | Message ID: 19 | Time SentFromNIC: 18.248128 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22020 | Message ID: 20 | Time SentFromNIC: 21.543440 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22021 | Message ID: 21 | Time SentFromNIC: 21.557280 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22022 | Message ID: 22 | Time SentFromNIC: 21.571120 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22022 | Message ID: 22 | Time SentFromNIC: 23.143440 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22023 | Message ID: 23 | Time SentFromNIC: 23.157280 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22024 | Message ID: 24 | Time SentFromNIC: 23.171120 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22023 | Message ID: 23 | Time SentFromNIC: 26.883682 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22025 | Message ID: 25 | Time SentFromNIC: 26.897522 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22026 | Message ID: 26 | Time SentFromNIC: 26.911362 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22027 | Message ID: 27 | Time SentFromNIC: 26.925202 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22025 | Message ID: 25 | Time SentFromNIC: 28.793440 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22028 | Message ID: 28 | Time SentFromNIC: 28.807280 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22029 | Message ID: 29 | Time SentFromNIC: 28.821120 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22029 | Message ID: 29 | Time SentFromNIC: 35.183682 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22030 | Message ID: 30 | Time SentFromNIC: 35.197522 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22031 | Message ID: 31 | Time SentFromNIC: 35.211362 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22032 | Message ID: 32 | Time SentFromNIC: 35.225202 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22033 | Message ID: 33 | Time SentFromNIC: 35.239042 | End 
Source: Wf:00:00:00:00:05 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node5/item-22034 | Message ID: 34 | Time SentFromNIC: 35.252882 | End 
