RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct  7 22:12:06 2019
elapsed time: 4.7e-08s
Source: Wf:00:00:00:00:01 | Message ID: 48 | Time SentFromSrc: 48.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 49 | Time SentFromSrc: 48.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 50 | Time SentFromSrc: 50.869643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 51 | Time SentFromSrc: 50.869643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 52 | Time SentFromSrc: 51.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 52 | Time SentFromSrc: 53.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 53 | Time SentFromSrc: 53.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 54 | Time SentFromSrc: 53.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 55 | Time SentFromSrc: 54.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 56 | Time SentFromSrc: 56.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 57 | Time SentFromSrc: 56.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 58 | Time SentFromSrc: 57.919643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 59 | Time SentFromSrc: 58.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 60 | Time SentFromSrc: 59.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 61 | Time SentFromSrc: 60.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 62 | Time SentFromSrc: 61.219643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 63 | Time SentFromSrc: 62.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 63 | Time SentFromSrc: 62.869643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 64 | Time SentFromSrc: 63.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 65 | Time SentFromSrc: 64.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 66 | Time SentFromSrc: 65.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 67 | Time SentFromSrc: 66.669643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 68 | Time SentFromSrc: 68.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 69 | Time SentFromSrc: 68.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 70 | Time SentFromSrc: 71.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 71 | Time SentFromSrc: 71.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 72 | Time SentFromSrc: 71.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 71 | Time SentFromSrc: 72.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 73 | Time SentFromSrc: 72.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 74 | Time SentFromSrc: 73.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 75 | Time SentFromSrc: 74.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 76 | Time SentFromSrc: 75.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 77 | Time SentFromSrc: 76.719643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 78 | Time SentFromSrc: 77.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 78 | Time SentFromSrc: 78.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 79 | Time SentFromSrc: 78.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 79 | Time SentFromSrc: 78.919643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 80 | Time SentFromSrc: 79.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 81 | Time SentFromSrc: 82.719643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 82 | Time SentFromSrc: 82.719643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 83 | Time SentFromSrc: 82.719643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 84 | Time SentFromSrc: 83.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 85 | Time SentFromSrc: 84.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 86 | Time SentFromSrc: 86.519643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 87 | Time SentFromSrc: 86.519643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 86 | Time SentFromSrc: 87.069643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 88 | Time SentFromSrc: 87.619643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 88 | Time SentFromSrc: 88.169643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 89 | Time SentFromSrc: 88.169643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 90 | Time SentFromSrc: 90.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 91 | Time SentFromSrc: 90.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 92 | Time SentFromSrc: 91.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 92 | Time SentFromSrc: 93.019643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 93 | Time SentFromSrc: 93.019643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 94 | Time SentFromSrc: 94.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 95 | Time SentFromSrc: 94.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 96 | Time SentFromSrc: 95.219643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 97 | Time SentFromSrc: 96.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 98 | Time SentFromSrc: 97.919643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 99 | Time SentFromSrc: 98.469643 |End 
