RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Fri Nov 15 15:12:22 2019
elapsed time: 5e-08s
Source: Wf:00:00:00:00:05 | Message ID: 1 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 2 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 3 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 4 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 5 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 6 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 7 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 8 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 9 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 10 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 11 | Time SentFromSrc: 11.072075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 12 | Time SentFromSrc: 11.622075 |End 
Source: Wf:00:00:00:00:05 | Message ID: 13 | Time SentFromSrc: 12.169643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 14 | Time SentFromSrc: 13.269643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 15 | Time SentFromSrc: 14.369643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 16 | Time SentFromSrc: 15.469643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 17 | Time SentFromSrc: 16.569643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 18 | Time SentFromSrc: 17.119643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 19 | Time SentFromSrc: 18.234288 |End 
Source: Wf:00:00:00:00:05 | Message ID: 20 | Time SentFromSrc: 20.384443 |End 
Source: Wf:00:00:00:00:05 | Message ID: 21 | Time SentFromSrc: 20.384443 |End 
Source: Wf:00:00:00:00:05 | Message ID: 22 | Time SentFromSrc: 21.969643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 23 | Time SentFromSrc: 22.519643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 24 | Time SentFromSrc: 24.119643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 25 | Time SentFromSrc: 24.119643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 26 | Time SentFromSrc: 26.269643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 27 | Time SentFromSrc: 26.269643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 28 | Time SentFromSrc: 27.369643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 29 | Time SentFromSrc: 28.469643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 30 | Time SentFromSrc: 29.569643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 31 | Time SentFromSrc: 30.119643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 32 | Time SentFromSrc: 31.219643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 33 | Time SentFromSrc: 33.669643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 34 | Time SentFromSrc: 33.669643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 35 | Time SentFromSrc: 34.219643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 36 | Time SentFromSrc: 35.334443 |End 
Source: Wf:00:00:00:00:05 | Message ID: 37 | Time SentFromSrc: 36.419643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 38 | Time SentFromSrc: 37.519643 |End 
Source: Wf:00:00:00:00:05 | Message ID: 39 | Time SentFromSrc: 38.624283 |End 
Source: Wf:00:00:00:00:05 | Message ID: 40 | Time SentFromSrc: 39.174283 |End 
Source: Wf:00:00:00:00:05 | Message ID: 41 | Time SentFromSrc: 40.274283 |End 
Source: Wf:00:00:00:00:05 | Message ID: 42 | Time SentFromSrc: 41.219842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 43 | Time SentFromSrc: 43.369842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 44 | Time SentFromSrc: 43.369842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 43 | Time SentFromSrc: 43.919842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 43 | Time SentFromSrc: 44.469842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 45 | Time SentFromSrc: 44.469842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 43 | Time SentFromSrc: 45.019842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 45 | Time SentFromSrc: 45.019842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 43 | Time SentFromSrc: 45.569842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 46 | Time SentFromSrc: 45.569842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 47 | Time SentFromSrc: 47.219842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 48 | Time SentFromSrc: 47.219842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 47 | Time SentFromSrc: 47.769842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 49 | Time SentFromSrc: 48.319842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 50 | Time SentFromSrc: 50.769842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 51 | Time SentFromSrc: 50.769842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 51 | Time SentFromSrc: 52.919842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 52 | Time SentFromSrc: 52.919842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 53 | Time SentFromSrc: 52.919842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 51 | Time SentFromSrc: 53.469842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 54 | Time SentFromSrc: 53.469842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 51 | Time SentFromSrc: 54.019842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 55 | Time SentFromSrc: 58.069842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 56 | Time SentFromSrc: 58.069842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 57 | Time SentFromSrc: 58.069842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 58 | Time SentFromSrc: 58.069842 |End 
Source: Wf:00:00:00:00:05 | Message ID: 55 | Time SentFromSrc: 59.674330 |End 
Source: Wf:00:00:00:00:05 | Message ID: 58 | Time SentFromSrc: 59.674330 |End 
Source: Wf:00:00:00:00:05 | Message ID: 59 | Time SentFromSrc: 59.674330 |End 
Source: Wf:00:00:00:00:05 | Message ID: 60 | Time SentFromSrc: 59.674330 |End 
