RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Nov  4 19:20:47 2019
elapsed time: 5e-08s
Source: Wf:00:00:00:00:06 | Message ID: 1 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 2 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 3 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 4 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 5 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 6 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 7 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 8 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 9 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 10 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 11 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 12 | Time SentFromSrc: 12.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 3 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 4 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 5 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 6 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 9 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 11 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 13 | Time SentFromSrc: 12.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 4 | Time SentFromSrc: 14.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 5 | Time SentFromSrc: 14.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 11 | Time SentFromSrc: 14.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 14 | Time SentFromSrc: 14.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 15 | Time SentFromSrc: 14.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 4 | Time SentFromSrc: 16.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 5 | Time SentFromSrc: 16.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 11 | Time SentFromSrc: 16.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 15 | Time SentFromSrc: 16.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 16 | Time SentFromSrc: 16.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 17 | Time SentFromSrc: 16.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 5 | Time SentFromSrc: 17.484336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 18 | Time SentFromSrc: 17.484336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 18 | Time SentFromSrc: 18.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 19 | Time SentFromSrc: 18.569842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 19 | Time SentFromSrc: 20.184336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 20 | Time SentFromSrc: 20.184336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 21 | Time SentFromSrc: 20.184336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 19 | Time SentFromSrc: 20.734336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 20 | Time SentFromSrc: 20.734336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 22 | Time SentFromSrc: 21.288976 |End 
Source: Wf:00:00:00:00:06 | Message ID: 23 | Time SentFromSrc: 22.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 24 | Time SentFromSrc: 23.469842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 24 | Time SentFromSrc: 25.069842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 25 | Time SentFromSrc: 25.069842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 24 | Time SentFromSrc: 26.672096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 26 | Time SentFromSrc: 26.672096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 27 | Time SentFromSrc: 26.672096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 24 | Time SentFromSrc: 27.772096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 26 | Time SentFromSrc: 27.772096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 27 | Time SentFromSrc: 27.772096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 28 | Time SentFromSrc: 27.772096 |End 
Source: Wf:00:00:00:00:06 | Message ID: 27 | Time SentFromSrc: 28.869905 |End 
Source: Wf:00:00:00:00:06 | Message ID: 29 | Time SentFromSrc: 28.869905 |End 
Source: Wf:00:00:00:00:06 | Message ID: 30 | Time SentFromSrc: 29.974482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 30 | Time SentFromSrc: 31.074482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 31 | Time SentFromSrc: 31.074482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 31 | Time SentFromSrc: 33.174330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 32 | Time SentFromSrc: 33.174330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 33 | Time SentFromSrc: 33.174330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 34 | Time SentFromSrc: 33.174330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 31 | Time SentFromSrc: 36.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 32 | Time SentFromSrc: 36.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 33 | Time SentFromSrc: 36.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 35 | Time SentFromSrc: 36.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 36 | Time SentFromSrc: 36.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 37 | Time SentFromSrc: 36.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 32 | Time SentFromSrc: 37.219842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 33 | Time SentFromSrc: 37.219842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 37 | Time SentFromSrc: 37.219842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 38 | Time SentFromSrc: 37.219842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 32 | Time SentFromSrc: 38.824482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 37 | Time SentFromSrc: 38.824482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 39 | Time SentFromSrc: 38.824482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 32 | Time SentFromSrc: 39.374482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 40 | Time SentFromSrc: 39.374482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 41 | Time SentFromSrc: 42.869842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 42 | Time SentFromSrc: 42.869842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 43 | Time SentFromSrc: 42.869842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 42 | Time SentFromSrc: 43.974330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 44 | Time SentFromSrc: 43.974330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 42 | Time SentFromSrc: 46.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 45 | Time SentFromSrc: 46.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 46 | Time SentFromSrc: 46.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 47 | Time SentFromSrc: 46.669842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 45 | Time SentFromSrc: 47.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 47 | Time SentFromSrc: 47.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 48 | Time SentFromSrc: 47.769842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 45 | Time SentFromSrc: 49.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 49 | Time SentFromSrc: 49.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 50 | Time SentFromSrc: 49.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 45 | Time SentFromSrc: 49.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 51 | Time SentFromSrc: 50.469842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 51 | Time SentFromSrc: 51.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 51 | Time SentFromSrc: 53.728970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 52 | Time SentFromSrc: 53.728970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 53 | Time SentFromSrc: 53.728970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 54 | Time SentFromSrc: 53.728970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 51 | Time SentFromSrc: 54.278970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 52 | Time SentFromSrc: 54.278970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 55 | Time SentFromSrc: 54.278970 |End 
Source: Wf:00:00:00:00:06 | Message ID: 51 | Time SentFromSrc: 58.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 52 | Time SentFromSrc: 58.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 56 | Time SentFromSrc: 58.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 57 | Time SentFromSrc: 58.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 58 | Time SentFromSrc: 58.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 51 | Time SentFromSrc: 59.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 58 | Time SentFromSrc: 59.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 59 | Time SentFromSrc: 59.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 60 | Time SentFromSrc: 59.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 58 | Time SentFromSrc: 60.469842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 59 | Time SentFromSrc: 60.469842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 60 | Time SentFromSrc: 60.469842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 61 | Time SentFromSrc: 60.469842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 59 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 61 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 62 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 63 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 64 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 65 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 66 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 67 | Time SentFromSrc: 66.369842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 62 | Time SentFromSrc: 66.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 64 | Time SentFromSrc: 66.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 66 | Time SentFromSrc: 66.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 67 | Time SentFromSrc: 66.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 62 | Time SentFromSrc: 68.519842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 68 | Time SentFromSrc: 68.519842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 69 | Time SentFromSrc: 68.519842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 69 | Time SentFromSrc: 72.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 70 | Time SentFromSrc: 72.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 71 | Time SentFromSrc: 72.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 72 | Time SentFromSrc: 72.019842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 72 | Time SentFromSrc: 72.574482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 73 | Time SentFromSrc: 72.574482 |End 
Source: Wf:00:00:00:00:06 | Message ID: 73 | Time SentFromSrc: 73.119842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 74 | Time SentFromSrc: 73.119842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 75 | Time SentFromSrc: 75.269842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 76 | Time SentFromSrc: 75.269842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 76 | Time SentFromSrc: 75.819842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 76 | Time SentFromSrc: 77.969842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 77 | Time SentFromSrc: 77.969842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 78 | Time SentFromSrc: 77.969842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 79 | Time SentFromSrc: 79.069842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 80 | Time SentFromSrc: 81.234336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 81 | Time SentFromSrc: 81.234336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 82 | Time SentFromSrc: 81.234336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 81 | Time SentFromSrc: 81.784336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 82 | Time SentFromSrc: 81.784336 |End 
Source: Wf:00:00:00:00:06 | Message ID: 81 | Time SentFromSrc: 83.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 83 | Time SentFromSrc: 83.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 84 | Time SentFromSrc: 83.919842 |End 
Source: Wf:00:00:00:00:06 | Message ID: 81 | Time SentFromSrc: 85.524330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 84 | Time SentFromSrc: 85.524330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 85 | Time SentFromSrc: 85.524330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 86 | Time SentFromSrc: 85.524330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 81 | Time SentFromSrc: 86.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 86 | Time SentFromSrc: 86.074330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 81 | Time SentFromSrc: 86.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 87 | Time SentFromSrc: 86.624330 |End 
Source: Wf:00:00:00:00:06 | Message ID: 88 | Time SentFromSrc: 88.369643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 89 | Time SentFromSrc: 88.369643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 88 | Time SentFromSrc: 88.919643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 90 | Time SentFromSrc: 89.469643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 91 | Time SentFromSrc: 90.569643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 92 | Time SentFromSrc: 91.119643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 93 | Time SentFromSrc: 92.257571 |End 
Source: Wf:00:00:00:00:06 | Message ID: 94 | Time SentFromSrc: 93.319643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 95 | Time SentFromSrc: 94.419643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 96 | Time SentFromSrc: 95.519643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 97 | Time SentFromSrc: 97.969643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 98 | Time SentFromSrc: 97.969643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 99 | Time SentFromSrc: 100.669643 |End 
Source: Wf:00:00:00:00:06 | Message ID: 100 | Time SentFromSrc: 100.669643 |End 
