RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Wed Nov  6 03:27:07 2019
elapsed time: 4e-08s
Source: Wf:00:00:00:00:08 | Message ID: 1 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 2 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 3 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 4 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 5 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 6 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 7 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 8 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 9 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 10 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 11 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 12 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 12.258225 |End 
Source: Wf:00:00:00:00:08 | Message ID: 2 | Time SentFromSrc: 12.799136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 4 | Time SentFromSrc: 12.799136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 5 | Time SentFromSrc: 12.799136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 7 | Time SentFromSrc: 12.799136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 11 | Time SentFromSrc: 12.799136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 12.799136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 2 | Time SentFromSrc: 13.899136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 4 | Time SentFromSrc: 13.899136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 7 | Time SentFromSrc: 13.899136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 13.899136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 14 | Time SentFromSrc: 13.899136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 14.453025 |End 
Source: Wf:00:00:00:00:08 | Message ID: 15 | Time SentFromSrc: 14.453025 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 14.999136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 15.549136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 16 | Time SentFromSrc: 15.549136 |End 
Source: Wf:00:00:00:00:08 | Message ID: 13 | Time SentFromSrc: 16.091536 |End 
Source: Wf:00:00:00:00:08 | Message ID: 16 | Time SentFromSrc: 16.091536 |End 
Source: Wf:00:00:00:00:08 | Message ID: 16 | Time SentFromSrc: 16.624330 |End 
Source: Wf:00:00:00:00:08 | Message ID: 17 | Time SentFromSrc: 16.624330 |End 
Source: Wf:00:00:00:00:08 | Message ID: 18 | Time SentFromSrc: 18.238976 |End 
Source: Wf:00:00:00:00:08 | Message ID: 19 | Time SentFromSrc: 18.238976 |End 
Source: Wf:00:00:00:00:08 | Message ID: 18 | Time SentFromSrc: 20.369842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 20 | Time SentFromSrc: 20.369842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 21 | Time SentFromSrc: 20.369842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 18 | Time SentFromSrc: 22.269842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 22 | Time SentFromSrc: 22.269842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 23 | Time SentFromSrc: 22.269842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 18 | Time SentFromSrc: 23.019842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 22 | Time SentFromSrc: 23.019842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 23 | Time SentFromSrc: 23.019842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 23 | Time SentFromSrc: 23.569842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 24 | Time SentFromSrc: 23.569842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 23 | Time SentFromSrc: 24.119842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 24 | Time SentFromSrc: 24.119842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 25 | Time SentFromSrc: 24.119842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 23 | Time SentFromSrc: 25.219842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 24 | Time SentFromSrc: 25.219842 |End 
Source: Wf:00:00:00:00:08 | Message ID: 26 | Time SentFromSrc: 25.219842 |End 
