RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 14 22:37:37 2019
elapsed time: 5.3e-08s
Source: /app/node3/item-22001 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22002 | Message ID: 2 | Time generated: 1.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22003 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22004 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22005 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22006 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node0/item-22001 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrcR: 6.084288 | Time receivedFromSrcR: 6.098273 |End 
Source: /app/node3/item-22007 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node0/item-22002 | Message ID: 2 | Time generated: 1.100000 | Time sentFromSrcR: 6.084288 | Time receivedFromSrcR: 6.112113 |End 
Source: /app/node0/item-22003 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrcR: 6.084288 | Time receivedFromSrcR: 6.125953 |End 
Source: /app/node0/item-22004 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrcR: 6.084288 | Time receivedFromSrcR: 6.139793 |End 
Source: /app/node0/item-22005 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrcR: 6.084288 | Time receivedFromSrcR: 6.153633 |End 
Source: /app/node0/item-22006 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrcR: 6.084288 | Time receivedFromSrcR: 6.167473 |End 
Source: /app/node0/item-22007 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrcR: 6.634288 | Time receivedFromSrcR: 6.648273 |End 
Source: /app/node3/item-22008 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22009 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node0/item-22008 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrcR: 8.269643 | Time receivedFromSrcR: 8.283627 |End 
Source: /app/node0/item-22009 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrcR: 8.269643 | Time receivedFromSrcR: 8.297467 |End 
Source: /app/node3/item-22010 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node0/item-22010 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrcR: 9.369643 | Time receivedFromSrcR: 9.383627 |End 
Source: /app/node3/item-22011 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node0/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 13.219643 | Time receivedFromSrcR: 13.233627 |End 
Source: /app/node1/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 13.219643 | Time receivedFromSrcR: 13.261307 |End 
Source: /app/node0/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 13.219643 | Time receivedFromSrcR: 13.275147 |End 
Source: /app/node1/item-22010 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrcR: 13.669842 | Time receivedFromSrcR: 13.693727 |End 
Source: /app/node2/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 12.669643 | Time receivedFromSrcR: 13.707567 |End 
Source: /app/node0/item-22011 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrcR: 12.669643 | Time receivedFromSrcR: 13.721407 |End 
Source: /app/node1/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 13.669842 | Time receivedFromSrcR: 13.735247 |End 
Source: /app/node2/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 12.669643 | Time receivedFromSrcR: 13.749087 |End 
Source: /app/node1/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 13.669842 | Time receivedFromSrcR: 13.762927 |End 
Source: /app/node3/item-22015 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22016 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22017 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22018 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
Source: /app/node3/item-22019 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrcR: 0.000000 | Time receivedFromSrcR: 0.000000 |End 
