Weight: 49 | Time now: 82.765106 |End 
Weight: 49 | Time now: 83.315106 |End 
Weight: 49 | Time now: 83.865106 |End 
Weight: 49 | Time now: 84.415106 |End 
Weight: 49 | Time now: 84.965106 |End 
Weight: 49 | Time now: 85.515106 |End 
Weight: 49 | Time now: 87.815106 |End 
Weight: 49 | Time now: 88.365106 |End 
Weight: 49 | Time now: 93.729906 |End 
Weight: 49 | Time now: 95.866093 |End 
Weight: 49 | Time now: 97.465106 |End 
Weight: 49 | Time now: 98.015106 |End 
Weight: 49 | Time now: 99.629906 |End 
Weight: 49 | Time now: 100.180748 |End 
Weight: 49 | Time now: 102.065106 |End 
Weight: 49 | Time now: 103.694706 |End 
Weight: 49 | Time now: 105.265106 |End 
Weight: 49 | Time now: 105.815106 |End 
Weight: 49 | Time now: 109.015106 |End 
Weight: 49 | Time now: 111.165106 |End 
Weight: 49 | Time now: 111.729629 |End 
Weight: 49 | Time now: 112.265106 |End 
Weight: 49 | Time now: 112.815106 |End 
Weight: 49 | Time now: 114.729906 |End 
Weight: 49 | Time now: 115.279906 |End 
Weight: 49 | Time now: 115.829906 |End 
Weight: 49 | Time now: 117.965106 |End 
Weight: 49 | Time now: 118.515106 |End 
Weight: 49 | Time now: 122.265106 |End 
Weight: 49 | Time now: 122.815106 |End 
Weight: 49 | Time now: 126.565106 |End 
Weight: 49 | Time now: 129.794706 |End 
Weight: 49 | Time now: 131.365106 |End 
Weight: 49 | Time now: 131.915106 |End 
Weight: 49 | Time now: 132.465106 |End 
Weight: 49 | Time now: 134.615106 |End 
Weight: 49 | Time now: 135.179906 |End 
Weight: 49 | Time now: 135.729906 |End 
Weight: 49 | Time now: 136.279906 |End 
Weight: 49 | Time now: 136.829906 |End 
Weight: 49 | Time now: 137.379906 |End 
Weight: 49 | Time now: 138.965106 |End 
Weight: 49 | Time now: 139.515106 |End 
