4->75.000000 | -1->0.000000 by 0 => 6.500000
4->75.000000 | -1->0.000000 by 1 => 6.500000
4->75.000000 | -1->0.000000 by 2 => 6.500000
4->75.000000 | -1->0.000000 by 3 => 6.500000
4->75.000000 | -1->0.000000 by 4 => 6.500000
4->75.000000 | -1->0.000000 by 5 => 6.500000
4->75.000000 | -1->0.000000 by 6 => 6.500000
4->75.000000 | -1->0.000000 by 7 => 6.500000
4->75.000000 | -1->0.000000 by 8 => 6.500000
9->100.000000 | -1->0.000000 by 9 => 6.500000
9->100.000000 | -1->0.000000 by 10 => 6.500000
3->76.555556 | 4->64.798611 by 3 => 28.000000
3->79.761905 | 4->62.500000 by 7 => 30.000000
1->71.500000 | 4->62.637755 by 2 => 44.000000
1->71.500000 | 4->62.102041 by 5 => 44.000000
1->71.500000 | 4->61.566327 by 4 => 45.000000
1->71.500000 | 4->61.566327 by 0 => 46.000000
1->71.500000 | 4->61.566327 by 1 => 46.000000
1->71.500000 | 4->61.566327 by 8 => 46.000000
1->71.500000 | 3->0.000000 by 7 => 47.000000
1->71.500000 | 4->61.566327 by 6 => 48.000000
5->70.278571 | 1->62.178571 by 2 => 87.000000
5->70.278571 | 1->63.142857 by 7 => 87.000000
5->70.278571 | 1->63.142857 by 6 => 88.000000
5->70.278571 | 1->62.178571 by 0 => 88.000000
5->70.278571 | 1->62.178571 by 1 => 88.000000
5->70.278571 | 1->63.142857 by 8 => 88.000000
5->70.278571 | 1->62.178571 by 4 => 89.000000
5->70.278571 | 1->62.178571 by 5 => 90.000000
