RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Sep 15 23:55:57 2019
elapsed time: 5.7e-08s
Source: Wf:00:00:00:00:00 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrc: 1.156800 | Time sentFromNeigh: 1.156800 | Time received: 1.156853 |End 
Source: Wf:00:00:00:00:01 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrc: 1.156800 | Time sentFromNeigh: 1.156800 | Time received: 1.156855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrc: 1.156837 | Time sentFromNeigh: 1.156837 | Time received: 1.156893 |End 
Source: Wf:00:00:00:00:00 | Message ID: 2 | Time generated: 1.100000 | Time sentFromSrc: 1.170640 | Time sentFromNeigh: 1.170640 | Time received: 1.170693 |End 
Source: Wf:00:00:00:00:01 | Message ID: 2 | Time generated: 1.100000 | Time sentFromSrc: 1.170640 | Time sentFromNeigh: 1.170640 | Time received: 1.170695 |End 
Source: Wf:00:00:00:00:03 | Message ID: 2 | Time generated: 1.100000 | Time sentFromSrc: 1.170677 | Time sentFromNeigh: 1.170677 | Time received: 1.170733 |End 
Source: Wf:00:00:00:00:00 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrc: 2.256800 | Time sentFromNeigh: 2.256800 | Time received: 2.256853 |End 
Source: Wf:00:00:00:00:01 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrc: 2.256800 | Time sentFromNeigh: 2.256800 | Time received: 2.256855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrc: 2.270677 | Time sentFromNeigh: 2.270677 | Time received: 2.270732 |End 
Source: Wf:00:00:00:00:03 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrc: 2.256837 | Time sentFromNeigh: 2.806800 | Time received: 2.806854 |End 
Source: Wf:00:00:00:00:00 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrc: 3.356800 | Time sentFromNeigh: 3.356800 | Time received: 3.356854 |End 
Source: Wf:00:00:00:00:01 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrc: 3.356800 | Time sentFromNeigh: 3.356800 | Time received: 3.356855 |End 
Source: Wf:00:00:00:00:03 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrc: 3.370677 | Time sentFromNeigh: 3.370677 | Time received: 3.370733 |End 
Source: Wf:00:00:00:00:03 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrc: 3.356837 | Time sentFromNeigh: 3.906800 | Time received: 3.906855 |End 
Source: Wf:00:00:00:00:00 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrc: 4.456800 | Time sentFromNeigh: 4.456800 | Time received: 4.456856 |End 
