Sent  | Time SentFromHere: 1.129600 | End 
Sent  | Time SentFromHere: 1.144400 | End 
Sent  | Time SentFromHere: 1.159200 | End 
Sent  | Time SentFromHere: 1.163923 | End 
Sent  | Time SentFromHere: 1.168563 | End 
Sent  | Time SentFromHere: 1.173203 | End 
Sent  | Time SentFromHere: 1.177843 | End 
Sent  | Time SentFromHere: 1.664800 | End 
Sent  | Time SentFromHere: 1.679600 | End 
Sent  | Time SentFromHere: 1.694400 | End 
Sent  | Time SentFromHere: 1.709200 | End 
Sent  | Time SentFromHere: 1.713923 | End 
Sent  | Time SentFromHere: 1.718563 | End 
Sent  | Time SentFromHere: 1.723203 | End 
Sent  | Time SentFromHere: 1.819746 | End 
Sent  | Time SentFromHere: 2.229600 | End 
Sent  | Time SentFromHere: 2.244400 | End 
Sent  | Time SentFromHere: 2.263923 | End 
Sent  | Time SentFromHere: 2.268563 | End 
Sent  | Time SentFromHere: 2.273203 | End 
Sent  | Time SentFromHere: 2.764800 | End 
Sent  | Time SentFromHere: 2.779600 | End 
Sent  | Time SentFromHere: 2.794400 | End 
Sent  | Time SentFromHere: 2.813923 | End 
Sent  | Time SentFromHere: 2.818563 | End 
Sent  | Time SentFromHere: 2.919594 | End 
Sent  | Time SentFromHere: 3.314800 | End 
Sent  | Time SentFromHere: 3.329600 | End 
Sent  | Time SentFromHere: 3.344400 | End 
Sent  | Time SentFromHere: 3.349194 | End 
Sent  | Time SentFromHere: 3.363923 | End 
Sent  | Time SentFromHere: 3.469594 | End 
Sent  | Time SentFromHere: 3.564800 | End 
Sent  | Time SentFromHere: 3.864800 | End 
Sent  | Time SentFromHere: 3.879600 | End 
Sent  | Time SentFromHere: 3.894400 | End 
Sent  | Time SentFromHere: 3.899194 | End 
Sent  | Time SentFromHere: 3.913923 | End 
Sent  | Time SentFromHere: 4.019594 | End 
Sent  | Time SentFromHere: 4.414800 | End 
Sent  | Time SentFromHere: 4.429600 | End 
Sent  | Time SentFromHere: 4.444400 | End 
Sent  | Time SentFromHere: 4.463923 | End 
Sent  | Time SentFromHere: 4.569594 | End 
Sent  | Time SentFromHere: 4.964800 | End 
Sent  | Time SentFromHere: 4.979600 | End 
Sent  | Time SentFromHere: 4.999194 | End 
Sent  | Time SentFromHere: 5.013923 | End 
Sent  | Time SentFromHere: 5.114800 | End 
Sent  | Time SentFromHere: 5.119594 | End 
Sent  | Time SentFromHere: 5.514800 | End 
Sent  | Time SentFromHere: 5.563923 | End 
Sent  | Time SentFromHere: 5.714800 | End 
Sent  | Time SentFromHere: 6.064800 | End 
Sent  | Time SentFromHere: 6.113923 | End 
Sent  | Time SentFromHere: 6.118563 | End 
Sent  | Time SentFromHere: 6.264800 | End 
Sent  | Time SentFromHere: 6.614800 | End 
Sent  | Time SentFromHere: 6.663923 | End 
Sent  | Time SentFromHere: 6.714800 | End 
Sent  | Time SentFromHere: 6.719594 | End 
Sent  | Time SentFromHere: 6.814800 | End 
Sent  | Time SentFromHere: 6.833682 | End 
Sent  | Time SentFromHere: 6.847522 | End 
Sent  | Time SentFromHere: 6.861362 | End 
Sent  | Time SentFromHere: 6.875202 | End 
Sent  | Time SentFromHere: 6.889042 | End 
Sent  | Time SentFromHere: 6.902882 | End 
Sent  | Time SentFromHere: 6.916722 | End 
Sent  | Time SentFromHere: 6.931522 | End 
Sent  | Time SentFromHere: 6.936162 | End 
Sent  | Time SentFromHere: 7.164800 | End 
Sent  | Time SentFromHere: 7.213923 | End 
Sent  | Time SentFromHere: 7.264800 | End 
Sent  | Time SentFromHere: 7.269594 | End 
Sent  | Time SentFromHere: 7.364800 | End 
Sent  | Time SentFromHere: 7.425202 | End 
Sent  | Time SentFromHere: 7.440002 | End 
Sent  | Time SentFromHere: 7.444642 | End 
Sent  | Time SentFromHere: 7.714800 | End 
Sent  | Time SentFromHere: 7.749346 | End 
Sent  | Time SentFromHere: 7.763923 | End 
Sent  | Time SentFromHere: 7.814800 | End 
Sent  | Time SentFromHere: 7.834394 | End 
Sent  | Time SentFromHere: 7.914800 | End 
Sent  | Time SentFromHere: 7.947760 | End 
Sent  | Time SentFromHere: 7.961600 | End 
Sent  | Time SentFromHere: 7.976400 | End 
Sent  | Time SentFromHere: 7.981040 | End 
Sent  | Time SentFromHere: 8.264800 | End 
Sent  | Time SentFromHere: 8.299346 | End 
Sent  | Time SentFromHere: 8.313923 | End 
Sent  | Time SentFromHere: 8.364800 | End 
Sent  | Time SentFromHere: 8.384394 | End 
Sent  | Time SentFromHere: 8.414800 | End 
Sent  | Time SentFromHere: 8.514800 | End 
Sent  | Time SentFromHere: 8.519594 | End 
Sent  | Time SentFromHere: 8.814800 | End 
Sent  | Time SentFromHere: 8.863923 | End 
Sent  | Time SentFromHere: 8.914800 | End 
Sent  | Time SentFromHere: 8.949194 | End 
Sent  | Time SentFromHere: 9.064800 | End 
Sent  | Time SentFromHere: 9.084394 | End 
Sent  | Time SentFromHere: 9.364800 | End 
Sent  | Time SentFromHere: 9.413923 | End 
Sent  | Time SentFromHere: 9.464800 | End 
Sent  | Time SentFromHere: 9.484394 | End 
Sent  | Time SentFromHere: 9.614800 | End 
Sent  | Time SentFromHere: 9.619594 | End 
Sent  | Time SentFromHere: 9.914800 | End 
Sent  | Time SentFromHere: 9.963923 | End 
Sent  | Time SentFromHere: 10.014800 | End 
Sent  | Time SentFromHere: 10.029600 | End 
Sent  | Time SentFromHere: 10.034394 | End 
Sent  | Time SentFromHere: 10.164800 | End 
Sent  | Time SentFromHere: 10.169594 | End 
Sent  | Time SentFromHere: 10.464800 | End 
Sent  | Time SentFromHere: 10.513923 | End 
Sent  | Time SentFromHere: 10.579600 | End 
Sent  | Time SentFromHere: 10.584394 | End 
Sent  | Time SentFromHere: 10.714800 | End 
Sent  | Time SentFromHere: 10.719594 | End 
Sent  | Time SentFromHere: 11.014800 | End 
Sent  | Time SentFromHere: 11.063923 | End 
Sent  | Time SentFromHere: 11.114800 | End 
Sent  | Time SentFromHere: 11.134394 | End 
Sent  | Time SentFromHere: 11.264800 | End 
Sent  | Time SentFromHere: 11.269594 | End 
Sent  | Time SentFromHere: 11.564800 | End 
Sent  | Time SentFromHere: 11.613923 | End 
Sent  | Time SentFromHere: 11.664800 | End 
Sent  | Time SentFromHere: 11.684394 | End 
