RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:29:07 2019
elapsed time: 2.9e-08s
Source: /app/node3/item-22067 | Message ID: 67 | Time sentFromSrcR: 71.573146 | Time receivedFromSrcR: 71.587063 |End 
Source: /app/node3/item-22071 | Message ID: 71 | Time sentFromSrcR: 71.573146 | Time receivedFromSrcR: 71.600903 |End 
Source: /app/node3/item-22072 | Message ID: 72 | Time sentFromSrcR: 71.573146 | Time receivedFromSrcR: 71.614743 |End 
Source: /app/node0/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.113866 | Time receivedFromSrcR: 72.127783 |End 
Source: /app/node1/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.118506 | Time receivedFromSrcR: 72.132423 |End 
Source: /app/node4/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.123146 | Time receivedFromSrcR: 72.137063 |End 
Source: /app/node3/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.127786 | Time receivedFromSrcR: 72.141703 |End 
Source: /app/node0/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.213866 | Time receivedFromSrcR: 73.227783 |End 
Source: /app/node1/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.218506 | Time receivedFromSrcR: 73.232423 |End 
Source: /app/node4/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.223146 | Time receivedFromSrcR: 73.237063 |End 
Source: /app/node3/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.227786 | Time receivedFromSrcR: 73.241703 |End 
Source: /app/node0/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.313866 | Time receivedFromSrcR: 74.327783 |End 
Source: /app/node1/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.318506 | Time receivedFromSrcR: 74.332423 |End 
Source: /app/node4/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.323146 | Time receivedFromSrcR: 74.337063 |End 
Source: /app/node3/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.327786 | Time receivedFromSrcR: 74.341703 |End 
Source: /app/node0/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.413866 | Time receivedFromSrcR: 75.427783 |End 
Source: /app/node1/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.418506 | Time receivedFromSrcR: 75.432423 |End 
Source: /app/node3/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.423146 | Time receivedFromSrcR: 75.437063 |End 
Source: /app/node4/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.427786 | Time receivedFromSrcR: 75.441703 |End 
Source: /app/node0/item-22077 | Message ID: 77 | Time sentFromSrcR: 76.513866 | Time receivedFromSrcR: 76.527783 |End 
Source: /app/node1/item-22077 | Message ID: 77 | Time sentFromSrcR: 76.518506 | Time receivedFromSrcR: 76.532423 |End 
Source: /app/node3/item-22077 | Message ID: 77 | Time sentFromSrcR: 76.523146 | Time receivedFromSrcR: 76.537063 |End 
Source: /app/node4/item-22077 | Message ID: 77 | Time sentFromSrcR: 76.527786 | Time receivedFromSrcR: 76.541703 |End 
Source: /app/node0/item-22078 | Message ID: 78 | Time sentFromSrcR: 77.613866 | Time receivedFromSrcR: 77.627783 |End 
Source: /app/node1/item-22078 | Message ID: 78 | Time sentFromSrcR: 77.618506 | Time receivedFromSrcR: 77.632423 |End 
Source: /app/node3/item-22078 | Message ID: 78 | Time sentFromSrcR: 77.623146 | Time receivedFromSrcR: 77.637063 |End 
Source: /app/node4/item-22078 | Message ID: 78 | Time sentFromSrcR: 77.627786 | Time receivedFromSrcR: 77.641703 |End 
Source: /app/node0/item-22079 | Message ID: 79 | Time sentFromSrcR: 78.163866 | Time receivedFromSrcR: 78.177783 |End 
Source: /app/node1/item-22079 | Message ID: 79 | Time sentFromSrcR: 78.168506 | Time receivedFromSrcR: 78.182423 |End 
Source: /app/node3/item-22079 | Message ID: 79 | Time sentFromSrcR: 78.173146 | Time receivedFromSrcR: 78.187063 |End 
