Weight: 49 | Time now: 1.159506 |End 
Weight: 49 | Time now: 1.815106 |End 
Weight: 49 | Time now: 3.415106 |End 
Weight: 49 | Time now: 3.979906 |End 
Weight: 49 | Time now: 6.109506 |End 
Weight: 49 | Time now: 6.644706 |End 
Weight: 49 | Time now: 7.194706 |End 
Weight: 49 | Time now: 7.744706 |End 
Weight: 49 | Time now: 8.294706 |End 
Weight: 49 | Time now: 10.165106 |End 
Weight: 49 | Time now: 11.765106 |End 
Weight: 49 | Time now: 13.679906 |End 
Weight: 49 | Time now: 17.415106 |End 
Weight: 49 | Time now: 19.015106 |End 
Weight: 49 | Time now: 21.165106 |End 
Weight: 49 | Time now: 23.315106 |End 
Weight: 49 | Time now: 23.865106 |End 
Weight: 49 | Time now: 26.015106 |End 
Weight: 49 | Time now: 26.565106 |End 
Weight: 49 | Time now: 28.165106 |End 
Weight: 49 | Time now: 31.379906 |End 
Weight: 49 | Time now: 33.265106 |End 
Weight: 49 | Time now: 33.815106 |End 
Weight: 49 | Time now: 34.365106 |End 
Weight: 49 | Time now: 36.515106 |End 
Weight: 49 | Time now: 38.665106 |End 
Weight: 49 | Time now: 39.215106 |End 
Weight: 49 | Time now: 39.765106 |End 
Weight: 49 | Time now: 40.315106 |End 
Weight: 49 | Time now: 40.865106 |End 
Weight: 49 | Time now: 41.415106 |End 
Weight: 49 | Time now: 41.965106 |End 
Weight: 49 | Time now: 42.515106 |End 
Weight: 49 | Time now: 44.115106 |End 
Weight: 49 | Time now: 44.665106 |End 
Weight: 49 | Time now: 46.815106 |End 
Weight: 49 | Time now: 48.429906 |End 
Weight: 49 | Time now: 50.015106 |End 
Weight: 49 | Time now: 51.615106 |End 
Weight: 49 | Time now: 52.165106 |End 
Weight: 49 | Time now: 54.065106 |End 
Weight: 49 | Time now: 54.615106 |End 
Weight: 49 | Time now: 59.979906 |End 
Weight: 49 | Time now: 62.115106 |End 
Weight: 49 | Time now: 65.865106 |End 
Weight: 49 | Time now: 68.015106 |End 
Weight: 49 | Time now: 68.565106 |End 
Weight: 49 | Time now: 69.115106 |End 
Weight: 49 | Time now: 69.665106 |End 
Weight: 49 | Time now: 70.215106 |End 
Weight: 49 | Time now: 70.765106 |End 
Weight: 49 | Time now: 72.944706 |End 
Weight: 49 | Time now: 73.494706 |End 
Weight: 49 | Time now: 75.065106 |End 
Weight: 49 | Time now: 75.615106 |End 
Weight: 49 | Time now: 76.165106 |End 
Weight: 49 | Time now: 76.715106 |End 
Weight: 49 | Time now: 78.615106 |End 
Weight: 49 | Time now: 79.165106 |End 
Weight: 49 | Time now: 80.765106 |End 
Weight: 49 | Time now: 82.665106 |End 
Weight: 49 | Time now: 84.265106 |End 
Weight: 49 | Time now: 86.429906 |End 
Weight: 49 | Time now: 88.329906 |End 
Weight: 49 | Time now: 88.879906 |End 
