Sent  | Time SentFromHere: 1.129600 | End 
Sent  | Time SentFromHere: 1.144400 | End 
Sent  | Time SentFromHere: 1.159200 | End 
Sent  | Time SentFromHere: 1.163923 | End 
Sent  | Time SentFromHere: 1.168563 | End 
Sent  | Time SentFromHere: 1.173203 | End 
Sent  | Time SentFromHere: 1.177843 | End 
Sent  | Time SentFromHere: 1.664800 | End 
Sent  | Time SentFromHere: 1.679600 | End 
Sent  | Time SentFromHere: 1.694400 | End 
Sent  | Time SentFromHere: 1.709200 | End 
Sent  | Time SentFromHere: 1.713923 | End 
Sent  | Time SentFromHere: 1.718563 | End 
Sent  | Time SentFromHere: 1.723203 | End 
Sent  | Time SentFromHere: 1.819746 | End 
Sent  | Time SentFromHere: 2.229600 | End 
Sent  | Time SentFromHere: 2.244400 | End 
Sent  | Time SentFromHere: 2.263923 | End 
Sent  | Time SentFromHere: 2.268563 | End 
Sent  | Time SentFromHere: 2.273203 | End 
Sent  | Time SentFromHere: 2.764800 | End 
Sent  | Time SentFromHere: 2.779600 | End 
Sent  | Time SentFromHere: 2.794400 | End 
Sent  | Time SentFromHere: 2.813923 | End 
Sent  | Time SentFromHere: 2.818563 | End 
Sent  | Time SentFromHere: 2.919594 | End 
Sent  | Time SentFromHere: 3.314800 | End 
Sent  | Time SentFromHere: 3.329600 | End 
Sent  | Time SentFromHere: 3.344400 | End 
Sent  | Time SentFromHere: 3.349194 | End 
Sent  | Time SentFromHere: 3.363923 | End 
Sent  | Time SentFromHere: 3.469594 | End 
Sent  | Time SentFromHere: 3.564800 | End 
Sent  | Time SentFromHere: 3.864800 | End 
Sent  | Time SentFromHere: 3.879600 | End 
Sent  | Time SentFromHere: 3.894400 | End 
Sent  | Time SentFromHere: 3.899194 | End 
Sent  | Time SentFromHere: 3.913923 | End 
Sent  | Time SentFromHere: 4.019594 | End 
Sent  | Time SentFromHere: 4.414800 | End 
Sent  | Time SentFromHere: 4.429600 | End 
Sent  | Time SentFromHere: 4.444400 | End 
Sent  | Time SentFromHere: 4.463923 | End 
Sent  | Time SentFromHere: 4.569594 | End 
Sent  | Time SentFromHere: 4.964800 | End 
Sent  | Time SentFromHere: 4.979600 | End 
Sent  | Time SentFromHere: 4.999194 | End 
Sent  | Time SentFromHere: 5.013923 | End 
Sent  | Time SentFromHere: 5.114800 | End 
Sent  | Time SentFromHere: 5.119594 | End 
Sent  | Time SentFromHere: 5.514800 | End 
Sent  | Time SentFromHere: 5.563923 | End 
Sent  | Time SentFromHere: 5.714800 | End 
Sent  | Time SentFromHere: 6.064800 | End 
Sent  | Time SentFromHere: 6.113923 | End 
Sent  | Time SentFromHere: 6.118563 | End 
Sent  | Time SentFromHere: 6.614800 | End 
Sent  | Time SentFromHere: 6.663923 | End 
Sent  | Time SentFromHere: 6.714800 | End 
Sent  | Time SentFromHere: 6.719594 | End 
Sent  | Time SentFromHere: 6.864800 | End 
Sent  | Time SentFromHere: 6.869594 | End 
Sent  | Time SentFromHere: 7.164800 | End 
Sent  | Time SentFromHere: 7.213923 | End 
Sent  | Time SentFromHere: 7.264800 | End 
Sent  | Time SentFromHere: 7.414800 | End 
Sent  | Time SentFromHere: 7.419594 | End 
Sent  | Time SentFromHere: 7.669746 | End 
Sent  | Time SentFromHere: 7.714800 | End 
Sent  | Time SentFromHere: 7.763923 | End 
Sent  | Time SentFromHere: 7.814800 | End 
Sent  | Time SentFromHere: 7.829600 | End 
Sent  | Time SentFromHere: 7.857280 | End 
Sent  | Time SentFromHere: 7.871120 | End 
Sent  | Time SentFromHere: 7.884960 | End 
Sent  | Time SentFromHere: 7.898800 | End 
Sent  | Time SentFromHere: 7.912640 | End 
Sent  | Time SentFromHere: 7.926480 | End 
Sent  | Time SentFromHere: 7.940320 | End 
Sent  | Time SentFromHere: 7.969594 | End 
Sent  | Time SentFromHere: 8.169746 | End 
Sent  | Time SentFromHere: 8.264800 | End 
Sent  | Time SentFromHere: 8.313923 | End 
Sent  | Time SentFromHere: 8.379600 | End 
Sent  | Time SentFromHere: 8.519594 | End 
Sent  | Time SentFromHere: 8.814800 | End 
Sent  | Time SentFromHere: 8.863923 | End 
Sent  | Time SentFromHere: 8.914800 | End 
Sent  | Time SentFromHere: 9.014800 | End 
Sent  | Time SentFromHere: 9.069594 | End 
Sent  | Time SentFromHere: 9.169594 | End 
Sent  | Time SentFromHere: 9.364800 | End 
Sent  | Time SentFromHere: 9.413923 | End 
Sent  | Time SentFromHere: 9.464800 | End 
Sent  | Time SentFromHere: 9.564800 | End 
Sent  | Time SentFromHere: 9.619594 | End 
Sent  | Time SentFromHere: 9.719594 | End 
Sent  | Time SentFromHere: 9.769746 | End 
Sent  | Time SentFromHere: 9.914800 | End 
Sent  | Time SentFromHere: 9.929600 | End 
Sent  | Time SentFromHere: 10.009136 | End 
Sent  | Time SentFromHere: 10.022976 | End 
Sent  | Time SentFromHere: 10.050656 | End 
Sent  | Time SentFromHere: 10.055296 | End 
Sent  | Time SentFromHere: 10.070096 | End 
Sent  | Time SentFromHere: 10.114800 | End 
Sent  | Time SentFromHere: 10.219594 | End 
Sent  | Time SentFromHere: 10.269594 | End 
Sent  | Time SentFromHere: 10.319746 | End 
Sent  | Time SentFromHere: 10.464800 | End 
Sent  | Time SentFromHere: 10.479600 | End 
Sent  | Time SentFromHere: 10.513923 | End 
Sent  | Time SentFromHere: 10.564800 | End 
Sent  | Time SentFromHere: 10.664800 | End 
Sent  | Time SentFromHere: 10.769594 | End 
Sent  | Time SentFromHere: 10.819594 | End 
Sent  | Time SentFromHere: 10.869746 | End 
Sent  | Time SentFromHere: 11.029600 | End 
Sent  | Time SentFromHere: 11.063923 | End 
Sent  | Time SentFromHere: 11.114800 | End 
Sent  | Time SentFromHere: 11.214800 | End 
Sent  | Time SentFromHere: 11.319594 | End 
Sent  | Time SentFromHere: 11.369594 | End 
Sent  | Time SentFromHere: 11.564800 | End 
Sent  | Time SentFromHere: 11.613923 | End 
Sent  | Time SentFromHere: 11.664800 | End 
Sent  | Time SentFromHere: 11.764800 | End 
Sent  | Time SentFromHere: 11.869594 | End 
Sent  | Time SentFromHere: 11.919594 | End 
Sent  | Time SentFromHere: 12.114800 | End 
Sent  | Time SentFromHere: 12.163923 | End 
Sent  | Time SentFromHere: 12.214800 | End 
