RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:38:39 2019
elapsed time: 5e-08s
Source: /app/node1/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.667713 |End 
Source: /app/node1/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.681553 |End 
Source: /app/node1/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.695393 |End 
Source: /app/node1/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.709233 |End 
Source: /app/node1/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.723073 |End 
Source: /app/node1/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.736913 |End 
Source: /app/node1/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.653728 | Time receivedFromSrcR: 6.750753 |End 
Source: /app/node3/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.769643 | Time receivedFromSrcR: 6.784339 |End 
Source: /app/node3/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.769643 | Time receivedFromSrcR: 6.798179 |End 
Source: /app/node1/item-22006 | Message ID: 6 | Time sentFromSrcR: 7.203728 | Time receivedFromSrcR: 7.217713 |End 
Source: /app/node1/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.203728 | Time receivedFromSrcR: 7.231553 |End 
Source: /app/node2/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.199066 | Time receivedFromSrcR: 7.241677 |End 
Source: /app/node3/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.319643 | Time receivedFromSrcR: 7.333627 |End 
Source: /app/node4/item-22002 | Message ID: 2 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.857567 |End 
Source: /app/node4/item-22003 | Message ID: 3 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.871407 |End 
Source: /app/node4/item-22004 | Message ID: 4 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.885247 |End 
Source: /app/node4/item-22005 | Message ID: 5 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.899087 |End 
Source: /app/node4/item-22006 | Message ID: 6 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.912927 |End 
Source: /app/node4/item-22007 | Message ID: 7 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.926767 |End 
Source: /app/node4/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.819842 | Time receivedFromSrcR: 7.940607 |End 
Source: /app/node2/item-22009 | Message ID: 9 | Time sentFromSrcR: 8.299066 | Time receivedFromSrcR: 8.341677 |End 
Source: /app/node1/item-22009 | Message ID: 9 | Time sentFromSrcR: 8.419643 | Time receivedFromSrcR: 8.433627 |End 
Source: /app/node3/item-22009 | Message ID: 9 | Time sentFromSrcR: 8.424283 | Time receivedFromSrcR: 8.438267 |End 
Source: /app/node2/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.399066 | Time receivedFromSrcR: 9.441677 |End 
Source: /app/node1/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.519643 | Time receivedFromSrcR: 9.533627 |End 
Source: /app/node3/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.524283 | Time receivedFromSrcR: 9.538267 |End 
Source: /app/node4/item-22007 | Message ID: 7 | Time sentFromSrcR: 9.953776 | Time receivedFromSrcR: 10.009423 |End 
Source: /app/node4/item-22008 | Message ID: 8 | Time sentFromSrcR: 9.953776 | Time receivedFromSrcR: 10.023263 |End 
Source: /app/node4/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.953776 | Time receivedFromSrcR: 10.050943 |End 
Source: /app/node2/item-22011 | Message ID: 11 | Time sentFromSrcR: 10.499066 | Time receivedFromSrcR: 10.541677 |End 
Source: /app/node1/item-22011 | Message ID: 11 | Time sentFromSrcR: 10.619643 | Time receivedFromSrcR: 10.633627 |End 
Source: /app/node3/item-22011 | Message ID: 11 | Time sentFromSrcR: 10.624283 | Time receivedFromSrcR: 10.638267 |End 
Source: /app/node1/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.169643 | Time receivedFromSrcR: 11.183627 |End 
Source: /app/node3/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.174283 | Time receivedFromSrcR: 11.188267 |End 
Source: /app/node2/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.599066 | Time receivedFromSrcR: 11.641677 |End 
Source: /app/node3/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.724283 | Time receivedFromSrcR: 11.738267 |End 
Source: /app/node2/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.149066 | Time receivedFromSrcR: 12.191677 |End 
Source: /app/node1/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.269643 | Time receivedFromSrcR: 12.283627 |End 
Source: /app/node2/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.234266 | Time receivedFromSrcR: 13.291677 |End 
Source: /app/node3/item-22013 | Message ID: 13 | Time sentFromSrcR: 13.869643 | Time receivedFromSrcR: 13.883627 |End 
Source: /app/node3/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.869643 | Time receivedFromSrcR: 13.897467 |End 
