RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:38:39 2019
elapsed time: 6.8e-08s
Source: /app/node0/item-22083 | Message ID: 83 | Time sentFromSrcR: 82.169643 | Time receivedFromSrcR: 82.183627 |End 
Source: /app/node4/item-22083 | Message ID: 83 | Time sentFromSrcR: 82.269643 | Time receivedFromSrcR: 82.283627 |End 
Source: /app/node4/item-22084 | Message ID: 84 | Time sentFromSrcR: 83.369643 | Time receivedFromSrcR: 83.383627 |End 
Source: /app/node1/item-22083 | Message ID: 83 | Time sentFromSrcR: 83.669842 | Time receivedFromSrcR: 83.693727 |End 
Source: /app/node1/item-22084 | Message ID: 84 | Time sentFromSrcR: 83.669842 | Time receivedFromSrcR: 83.707567 |End 
Source: /app/node4/item-22085 | Message ID: 85 | Time sentFromSrcR: 84.469643 | Time receivedFromSrcR: 84.483627 |End 
Source: /app/node0/item-22084 | Message ID: 84 | Time sentFromSrcR: 85.419643 | Time receivedFromSrcR: 85.433627 |End 
Source: /app/node0/item-22085 | Message ID: 85 | Time sentFromSrcR: 85.419643 | Time receivedFromSrcR: 85.447467 |End 
Source: /app/node0/item-22086 | Message ID: 86 | Time sentFromSrcR: 85.419643 | Time receivedFromSrcR: 85.461307 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 85.569643 | Time receivedFromSrcR: 85.583627 |End 
Source: /app/node1/item-22085 | Message ID: 85 | Time sentFromSrcR: 85.819842 | Time receivedFromSrcR: 85.833969 |End 
Source: /app/node1/item-22086 | Message ID: 86 | Time sentFromSrcR: 85.819842 | Time receivedFromSrcR: 85.847809 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 86.119643 | Time receivedFromSrcR: 86.133627 |End 
Source: /app/node4/item-22087 | Message ID: 87 | Time sentFromSrcR: 86.119643 | Time receivedFromSrcR: 86.147467 |End 
Source: /app/node0/item-22087 | Message ID: 87 | Time sentFromSrcR: 86.519643 | Time receivedFromSrcR: 86.533627 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.219643 | Time receivedFromSrcR: 87.233627 |End 
Source: /app/node0/item-22088 | Message ID: 88 | Time sentFromSrcR: 88.169643 | Time receivedFromSrcR: 88.183627 |End 
Source: /app/node0/item-22089 | Message ID: 89 | Time sentFromSrcR: 88.169643 | Time receivedFromSrcR: 88.197467 |End 
Source: /app/node4/item-22089 | Message ID: 89 | Time sentFromSrcR: 88.319643 | Time receivedFromSrcR: 88.333627 |End 
Source: /app/node1/item-22086 | Message ID: 86 | Time sentFromSrcR: 88.519842 | Time receivedFromSrcR: 88.543727 |End 
Source: /app/node1/item-22087 | Message ID: 87 | Time sentFromSrcR: 88.519842 | Time receivedFromSrcR: 88.557567 |End 
Source: /app/node1/item-22088 | Message ID: 88 | Time sentFromSrcR: 88.519842 | Time receivedFromSrcR: 88.571407 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 88.519842 | Time receivedFromSrcR: 88.585247 |End 
Source: /app/node0/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.284443 | Time receivedFromSrcR: 89.298427 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.419643 | Time receivedFromSrcR: 89.433627 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 90.119842 | Time receivedFromSrcR: 90.133969 |End 
Source: /app/node1/item-22090 | Message ID: 90 | Time sentFromSrcR: 90.119842 | Time receivedFromSrcR: 90.147809 |End 
Source: /app/node1/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.119842 | Time receivedFromSrcR: 90.161649 |End 
Source: /app/node0/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.384443 | Time receivedFromSrcR: 90.398427 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time sentFromSrcR: 91.069643 | Time receivedFromSrcR: 91.083627 |End 
Source: /app/node0/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.484443 | Time receivedFromSrcR: 91.498427 |End 
Source: /app/node4/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.619643 | Time receivedFromSrcR: 91.633627 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 91.719842 | Time receivedFromSrcR: 91.733969 |End 
Source: /app/node1/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.719842 | Time receivedFromSrcR: 91.761649 |End 
Source: /app/node0/item-22092 | Message ID: 92 | Time sentFromSrcR: 92.034443 | Time receivedFromSrcR: 92.048427 |End 
Source: /app/node4/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.169643 | Time receivedFromSrcR: 92.183627 |End 
Source: /app/node0/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.584443 | Time receivedFromSrcR: 92.608384 |End 
Source: /app/node0/item-22094 | Message ID: 94 | Time sentFromSrcR: 93.134443 | Time receivedFromSrcR: 93.148427 |End 
Source: /app/node4/item-22094 | Message ID: 94 | Time sentFromSrcR: 93.269643 | Time receivedFromSrcR: 93.283627 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 93.319842 | Time receivedFromSrcR: 93.333969 |End 
Source: /app/node1/item-22090 | Message ID: 90 | Time sentFromSrcR: 93.319842 | Time receivedFromSrcR: 93.347809 |End 
Source: /app/node1/item-22093 | Message ID: 93 | Time sentFromSrcR: 93.319842 | Time receivedFromSrcR: 93.361649 |End 
Source: /app/node1/item-22094 | Message ID: 94 | Time sentFromSrcR: 93.319842 | Time receivedFromSrcR: 93.375489 |End 
Source: /app/node4/item-22095 | Message ID: 95 | Time sentFromSrcR: 94.369643 | Time receivedFromSrcR: 94.383627 |End 
Source: /app/node0/item-22095 | Message ID: 95 | Time sentFromSrcR: 94.719643 | Time receivedFromSrcR: 94.743584 |End 
Source: /app/node0/item-22096 | Message ID: 96 | Time sentFromSrcR: 95.269643 | Time receivedFromSrcR: 95.283627 |End 
Source: /app/node4/item-22096 | Message ID: 96 | Time sentFromSrcR: 95.469643 | Time receivedFromSrcR: 95.483627 |End 
Source: /app/node4/item-22096 | Message ID: 96 | Time sentFromSrcR: 96.019643 | Time receivedFromSrcR: 96.033627 |End 
Source: /app/node1/item-22095 | Message ID: 95 | Time sentFromSrcR: 96.319842 | Time receivedFromSrcR: 96.333969 |End 
Source: /app/node0/item-22097 | Message ID: 97 | Time sentFromSrcR: 96.369643 | Time receivedFromSrcR: 96.383627 |End 
Source: /app/node4/item-22097 | Message ID: 97 | Time sentFromSrcR: 96.569643 | Time receivedFromSrcR: 96.583627 |End 
Source: /app/node1/item-22095 | Message ID: 95 | Time sentFromSrcR: 96.869842 | Time receivedFromSrcR: 96.883969 |End 
Source: /app/node1/item-22096 | Message ID: 96 | Time sentFromSrcR: 96.869842 | Time receivedFromSrcR: 96.897809 |End 
Source: /app/node1/item-22097 | Message ID: 97 | Time sentFromSrcR: 96.869842 | Time receivedFromSrcR: 96.911649 |End 
Source: /app/node4/item-22098 | Message ID: 98 | Time sentFromSrcR: 97.119643 | Time receivedFromSrcR: 97.133627 |End 
Source: /app/node0/item-22098 | Message ID: 98 | Time sentFromSrcR: 97.469643 | Time receivedFromSrcR: 97.483627 |End 
Source: /app/node1/item-22097 | Message ID: 97 | Time sentFromSrcR: 97.969842 | Time receivedFromSrcR: 97.983969 |End 
Source: /app/node4/item-22099 | Message ID: 99 | Time sentFromSrcR: 98.219643 | Time receivedFromSrcR: 98.233627 |End 
Source: /app/node0/item-22099 | Message ID: 99 | Time sentFromSrcR: 99.069643 | Time receivedFromSrcR: 99.083627 |End 
Source: /app/node4/item-22100 | Message ID: 100 | Time sentFromSrcR: 99.319643 | Time receivedFromSrcR: 99.333627 |End 
Source: /app/node0/item-22100 | Message ID: 100 | Time sentFromSrcR: 100.169643 | Time receivedFromSrcR: 100.183627 |End 
Source: /app/node1/item-22098 | Message ID: 98 | Time sentFromSrcR: 102.269842 | Time receivedFromSrcR: 102.283969 |End 
Source: /app/node1/item-22099 | Message ID: 99 | Time sentFromSrcR: 102.269842 | Time receivedFromSrcR: 102.297809 |End 
Source: /app/node1/item-22100 | Message ID: 100 | Time sentFromSrcR: 102.269842 | Time receivedFromSrcR: 102.311649 |End 
Source: /app/node1/item-22098 | Message ID: 98 | Time sentFromSrcR: 104.419842 | Time receivedFromSrcR: 104.433969 |End 
