RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:38:39 2019
elapsed time: 6.9e-08s
Source: Wf:00:00:00:00:01 | Message ID: 1 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 2 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 3 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 4 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 5 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 7 | Time SentFromSrc: 6.653728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time SentFromSrc: 7.203728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 8 | Time SentFromSrc: 7.203728 |End 
Source: Wf:00:00:00:00:01 | Message ID: 9 | Time SentFromSrc: 8.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 10 | Time SentFromSrc: 9.519643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 11 | Time SentFromSrc: 10.619643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 12 | Time SentFromSrc: 11.169643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 13 | Time SentFromSrc: 12.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 14 | Time SentFromSrc: 13.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 14 | Time SentFromSrc: 13.919643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 15 | Time SentFromSrc: 14.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 16 | Time SentFromSrc: 15.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 16 | Time SentFromSrc: 16.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 17 | Time SentFromSrc: 16.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 18 | Time SentFromSrc: 17.219643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 18 | Time SentFromSrc: 17.769643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 19 | Time SentFromSrc: 18.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 20 | Time SentFromSrc: 19.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 20 | Time SentFromSrc: 19.969643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 21 | Time SentFromSrc: 21.069643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 22 | Time SentFromSrc: 21.619643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 22 | Time SentFromSrc: 23.769643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 23 | Time SentFromSrc: 23.769643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 24 | Time SentFromSrc: 23.769643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 25 | Time SentFromSrc: 26.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 26 | Time SentFromSrc: 26.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 27 | Time SentFromSrc: 26.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 27 | Time SentFromSrc: 27.019643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 28 | Time SentFromSrc: 27.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 29 | Time SentFromSrc: 28.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 30 | Time SentFromSrc: 29.219643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 31 | Time SentFromSrc: 30.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 32 | Time SentFromSrc: 32.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 32.469643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time SentFromSrc: 34.619643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time SentFromSrc: 34.619643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time SentFromSrc: 35.169643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 37 | Time SentFromSrc: 36.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 83 | Time SentFromSrc: 83.669842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 84 | Time SentFromSrc: 83.669842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 85 | Time SentFromSrc: 85.819842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 86 | Time SentFromSrc: 85.819842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 86 | Time SentFromSrc: 88.519842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 87 | Time SentFromSrc: 88.519842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 88 | Time SentFromSrc: 88.519842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 89 | Time SentFromSrc: 88.519842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 89 | Time SentFromSrc: 90.119842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 90 | Time SentFromSrc: 90.119842 |End 
