Weight: 49 | Time now: 1.144706 |End 
Weight: 49 | Time now: 1.694706 |End 
Weight: 49 | Time now: 2.244706 |End 
Weight: 49 | Time now: 2.794706 |End 
Weight: 49 | Time now: 3.465106 |End 
Weight: 49 | Time now: 4.015106 |End 
Weight: 49 | Time now: 5.615106 |End 
Weight: 49 | Time now: 6.165106 |End 
Weight: 49 | Time now: 6.765715 |End 
Weight: 49 | Time now: 7.265106 |End 
Weight: 49 | Time now: 9.415106 |End 
Weight: 49 | Time now: 11.579906 |End 
Weight: 49 | Time now: 13.165106 |End 
Weight: 49 | Time now: 16.679906 |End 
Weight: 49 | Time now: 17.229906 |End 
Weight: 49 | Time now: 17.779906 |End 
Weight: 49 | Time now: 19.365106 |End 
Weight: 49 | Time now: 19.915106 |End 
Weight: 49 | Time now: 20.465106 |End 
Weight: 49 | Time now: 22.365106 |End 
Weight: 49 | Time now: 22.915106 |End 
Weight: 49 | Time now: 23.465106 |End 
Weight: 49 | Time now: 24.015106 |End 
Weight: 49 | Time now: 24.565106 |End 
Weight: 49 | Time now: 25.115106 |End 
Weight: 49 | Time now: 27.265106 |End 
Weight: 49 | Time now: 27.815106 |End 
Weight: 49 | Time now: 29.415106 |End 
Weight: 49 | Time now: 29.965106 |End 
Weight: 49 | Time now: 30.515106 |End 
Weight: 49 | Time now: 34.015106 |End 
Weight: 49 | Time now: 34.565106 |End 
Weight: 49 | Time now: 36.715106 |End 
Weight: 49 | Time now: 38.315106 |End 
Weight: 49 | Time now: 38.865106 |End 
Weight: 49 | Time now: 39.415106 |End 
Weight: 49 | Time now: 41.315106 |End 
Weight: 49 | Time now: 41.865106 |End 
Weight: 49 | Time now: 42.415106 |End 
Weight: 49 | Time now: 42.965106 |End 
Weight: 49 | Time now: 43.515106 |End 
Weight: 49 | Time now: 45.115106 |End 
Weight: 49 | Time now: 45.665106 |End 
Weight: 49 | Time now: 46.215106 |End 
Weight: 49 | Time now: 46.765106 |End 
Weight: 49 | Time now: 48.365106 |End 
Weight: 49 | Time now: 50.265106 |End 
Weight: 49 | Time now: 50.815106 |End 
Weight: 49 | Time now: 51.365106 |End 
Weight: 49 | Time now: 51.915106 |End 
Weight: 49 | Time now: 53.515106 |End 
Weight: 49 | Time now: 61.815106 |End 
Weight: 49 | Time now: 63.965106 |End 
Weight: 49 | Time now: 64.516093 |End 
Weight: 49 | Time now: 66.115106 |End 
Weight: 49 | Time now: 66.665106 |End 
Weight: 49 | Time now: 68.265106 |End 
Weight: 49 | Time now: 68.815106 |End 
Weight: 49 | Time now: 69.366093 |End 
Weight: 49 | Time now: 69.915106 |End 
Weight: 49 | Time now: 71.516093 |End 
Weight: 49 | Time now: 72.065106 |End 
Weight: 49 | Time now: 72.615106 |End 
Weight: 49 | Time now: 74.765106 |End 
Weight: 49 | Time now: 75.315106 |End 
Weight: 49 | Time now: 77.215106 |End 
Weight: 49 | Time now: 79.365106 |End 
Weight: 49 | Time now: 79.915106 |End 
Weight: 49 | Time now: 82.079906 |End 
Weight: 49 | Time now: 83.665106 |End 
Weight: 49 | Time now: 84.215106 |End 
Weight: 49 | Time now: 85.815106 |End 
Weight: 49 | Time now: 87.415106 |End 
Weight: 49 | Time now: 87.965106 |End 
Weight: 49 | Time now: 88.515106 |End 
Weight: 49 | Time now: 90.115106 |End 
Weight: 49 | Time now: 91.715106 |End 
Weight: 49 | Time now: 93.315106 |End 
Weight: 49 | Time now: 93.865106 |End 
Weight: 49 | Time now: 95.765106 |End 
Weight: 49 | Time now: 96.315106 |End 
Weight: 49 | Time now: 96.865106 |End 
Weight: 49 | Time now: 97.415106 |End 
Weight: 49 | Time now: 97.965106 |End 
Weight: 49 | Time now: 98.515106 |End 
Weight: 49 | Time now: 102.265106 |End 
Weight: 49 | Time now: 104.415106 |End 
Weight: 49 | Time now: 104.965106 |End 
Weight: 49 | Time now: 105.515106 |End 
Weight: 49 | Time now: 108.715106 |End 
Weight: 49 | Time now: 109.265106 |End 
Weight: 49 | Time now: 110.865106 |End 
Weight: 49 | Time now: 111.415106 |End 
Weight: 49 | Time now: 113.015106 |End 
Weight: 49 | Time now: 113.565106 |End 
Weight: 49 | Time now: 115.165106 |End 
Weight: 49 | Time now: 115.715106 |End 
Weight: 49 | Time now: 116.265106 |End 
Weight: 49 | Time now: 116.815106 |End 
Weight: 49 | Time now: 118.429906 |End 
Weight: 49 | Time now: 118.979906 |End 
Weight: 49 | Time now: 120.565106 |End 
Weight: 49 | Time now: 121.129906 |End 
Weight: 49 | Time now: 123.015106 |End 
Weight: 49 | Time now: 124.615106 |End 
Weight: 49 | Time now: 125.165106 |End 
Weight: 49 | Time now: 125.729906 |End 
Weight: 49 | Time now: 127.615106 |End 
Weight: 49 | Time now: 129.765106 |End 
Weight: 49 | Time now: 131.365106 |End 
Weight: 49 | Time now: 133.515106 |End 
Weight: 49 | Time now: 135.115106 |End 
Weight: 49 | Time now: 135.665106 |End 
Weight: 49 | Time now: 137.565106 |End 
Weight: 49 | Time now: 138.115106 |End 
Weight: 49 | Time now: 138.665106 |End 
Weight: 49 | Time now: 139.215106 |End 
Weight: 49 | Time now: 139.765106 |End 
Weight: 49 | Time now: 140.315106 |End 
Weight: 49 | Time now: 140.865106 |End 
Weight: 49 | Time now: 141.415106 |End 
Weight: 49 | Time now: 143.565106 |End 
Weight: 49 | Time now: 144.115106 |End 
Weight: 49 | Time now: 146.265106 |End 
Weight: 49 | Time now: 146.815106 |End 
Weight: 49 | Time now: 147.365106 |End 
Weight: 49 | Time now: 148.979906 |End 
Weight: 49 | Time now: 150.565106 |End 
Weight: 49 | Time now: 152.165106 |End 
Weight: 49 | Time now: 152.715106 |End 
Weight: 49 | Time now: 153.265106 |End 
Weight: 49 | Time now: 153.815106 |End 
Weight: 49 | Time now: 155.415106 |End 
Weight: 49 | Time now: 157.015106 |End 
Weight: 49 | Time now: 157.565106 |End 
Weight: 49 | Time now: 158.115106 |End 
Weight: 49 | Time now: 163.215106 |End 
Weight: 49 | Time now: 164.815106 |End 
Weight: 49 | Time now: 166.415106 |End 
Weight: 49 | Time now: 168.015106 |End 
Weight: 49 | Time now: 168.565106 |End 
Weight: 49 | Time now: 169.115106 |End 
Weight: 49 | Time now: 169.665106 |End 
Weight: 49 | Time now: 171.265106 |End 
Weight: 49 | Time now: 172.865106 |End 
Weight: 49 | Time now: 173.415106 |End 
Weight: 49 | Time now: 175.015106 |End 
Weight: 49 | Time now: 177.165106 |End 
Weight: 49 | Time now: 177.715106 |End 
Weight: 49 | Time now: 178.265106 |End 
Weight: 49 | Time now: 180.415106 |End 
Weight: 49 | Time now: 180.965106 |End 
Weight: 49 | Time now: 183.115106 |End 
Weight: 49 | Time now: 183.665106 |End 
Weight: 49 | Time now: 184.215106 |End 
Weight: 49 | Time now: 184.765106 |End 
Weight: 49 | Time now: 185.315106 |End 
Weight: 49 | Time now: 185.865106 |End 
Weight: 49 | Time now: 186.415106 |End 
Weight: 49 | Time now: 190.165106 |End 
Weight: 49 | Time now: 190.715106 |End 
Weight: 49 | Time now: 191.265106 |End 
Weight: 49 | Time now: 192.865106 |End 
Weight: 49 | Time now: 193.415106 |End 
Weight: 49 | Time now: 195.015106 |End 
Weight: 49 | Time now: 196.615106 |End 
Weight: 49 | Time now: 197.165106 |End 
Weight: 49 | Time now: 199.065106 |End 
Weight: 49 | Time now: 199.615106 |End 
