RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:53:35 2019
elapsed time: 3.7e-08s
Source: /app/node1/item-22043 | Message ID: 43 | Time sentFromSrcR: 51.269847 | Time receivedFromSrcR: 67.047817 |End 
Source: /app/node2/item-22054 | Message ID: 54 | Time sentFromSrcR: 67.019847 | Time receivedFromSrcR: 67.061657 |End 
Source: /app/node3/item-22047 | Message ID: 47 | Time sentFromSrcR: 53.119847 | Time receivedFromSrcR: 67.075497 |End 
Source: /app/node4/item-22027 | Message ID: 27 | Time sentFromSrcR: 57.569847 | Time receivedFromSrcR: 67.103177 |End 
Source: /app/node4/item-22042 | Message ID: 42 | Time sentFromSrcR: 57.569847 | Time receivedFromSrcR: 67.117017 |End 
Source: /app/node4/item-22043 | Message ID: 43 | Time sentFromSrcR: 57.569847 | Time receivedFromSrcR: 67.130857 |End 
Source: /app/node4/item-22055 | Message ID: 55 | Time sentFromSrcR: 57.569847 | Time receivedFromSrcR: 67.144697 |End 
Source: /app/node4/item-22036 | Message ID: 36 | Time sentFromSrcR: 59.719847 | Time receivedFromSrcR: 67.172377 |End 
Source: /app/node4/item-22045 | Message ID: 45 | Time sentFromSrcR: 59.719847 | Time receivedFromSrcR: 67.186217 |End 
Source: /app/node4/item-22056 | Message ID: 56 | Time sentFromSrcR: 59.719847 | Time receivedFromSrcR: 67.200057 |End 
Source: /app/node1/item-22053 | Message ID: 53 | Time sentFromSrcR: 60.119847 | Time receivedFromSrcR: 67.227737 |End 
Source: /app/node1/item-22054 | Message ID: 54 | Time sentFromSrcR: 60.119847 | Time receivedFromSrcR: 67.241577 |End 
Source: /app/node1/item-22055 | Message ID: 55 | Time sentFromSrcR: 60.119847 | Time receivedFromSrcR: 67.255417 |End 
Source: /app/node1/item-22061 | Message ID: 61 | Time sentFromSrcR: 60.119847 | Time receivedFromSrcR: 67.269257 |End 
Source: /app/node2/item-22062 | Message ID: 62 | Time sentFromSrcR: 67.019847 | Time receivedFromSrcR: 67.283097 |End 
Source: /app/node2/item-22064 | Message ID: 64 | Time sentFromSrcR: 67.019847 | Time receivedFromSrcR: 67.366137 |End 
Source: /app/node2/item-22065 | Message ID: 65 | Time sentFromSrcR: 67.019847 | Time receivedFromSrcR: 67.421497 |End 
Source: /app/node4/item-22037 | Message ID: 37 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 67.435337 |End 
Source: /app/node4/item-22050 | Message ID: 50 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 67.449177 |End 
Source: /app/node4/item-22053 | Message ID: 53 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 67.463017 |End 
Source: /app/node1/item-22052 | Message ID: 52 | Time sentFromSrcR: 64.469847 | Time receivedFromSrcR: 67.476857 |End 
Source: /app/node1/item-22065 | Message ID: 65 | Time sentFromSrcR: 64.469847 | Time receivedFromSrcR: 67.490697 |End 
Source: /app/node3/item-22041 | Message ID: 41 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 67.518377 |End 
Source: /app/node3/item-22046 | Message ID: 46 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 67.559897 |End 
Source: /app/node3/item-22048 | Message ID: 48 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 67.573737 |End 
Source: /app/node3/item-22056 | Message ID: 56 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 67.601417 |End 
Source: /app/node2/item-22067 | Message ID: 67 | Time sentFromSrcR: 67.019847 | Time receivedFromSrcR: 67.615257 |End 
Source: /app/node3/item-22057 | Message ID: 57 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 67.629097 |End 
Source: /app/node4/item-22052 | Message ID: 52 | Time sentFromSrcR: 66.469847 | Time receivedFromSrcR: 67.684457 |End 
Source: /app/node4/item-22065 | Message ID: 65 | Time sentFromSrcR: 66.469847 | Time receivedFromSrcR: 67.698297 |End 
Source: /app/node3/item-22058 | Message ID: 58 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 67.712137 |End 
Source: /app/node3/item-22064 | Message ID: 64 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 67.739817 |End 
Source: /app/node3/item-22066 | Message ID: 66 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 67.753657 |End 
Source: /app/node4/item-22035 | Message ID: 35 | Time sentFromSrcR: 45.274487 | Time receivedFromSrcR: 67.834057 |End 
Source: /app/node2/item-22054 | Message ID: 54 | Time sentFromSrcR: 67.805534 | Time receivedFromSrcR: 67.861737 |End 
Source: /app/node2/item-22055 | Message ID: 55 | Time sentFromSrcR: 67.805534 | Time receivedFromSrcR: 67.875577 |End 
Source: /app/node4/item-22042 | Message ID: 42 | Time sentFromSrcR: 57.569847 | Time receivedFromSrcR: 67.889417 |End 
Source: /app/node4/item-22026 | Message ID: 26 | Time sentFromSrcR: 59.719847 | Time receivedFromSrcR: 67.917097 |End 
Source: /app/node4/item-22036 | Message ID: 36 | Time sentFromSrcR: 59.719847 | Time receivedFromSrcR: 67.930937 |End 
Source: /app/node1/item-22055 | Message ID: 55 | Time sentFromSrcR: 60.119847 | Time receivedFromSrcR: 67.958617 |End 
Source: /app/node1/item-22061 | Message ID: 61 | Time sentFromSrcR: 60.119847 | Time receivedFromSrcR: 67.972457 |End 
Source: /app/node2/item-22062 | Message ID: 62 | Time sentFromSrcR: 67.805534 | Time receivedFromSrcR: 67.986297 |End 
Source: /app/node1/item-22060 | Message ID: 60 | Time sentFromSrcR: 61.219847 | Time receivedFromSrcR: 68.000137 |End 
Source: /app/node4/item-22051 | Message ID: 51 | Time sentFromSrcR: 62.419847 | Time receivedFromSrcR: 68.027817 |End 
Source: /app/node4/item-22058 | Message ID: 58 | Time sentFromSrcR: 62.419847 | Time receivedFromSrcR: 68.041657 |End 
Source: /app/node4/item-22061 | Message ID: 61 | Time sentFromSrcR: 62.419847 | Time receivedFromSrcR: 68.055497 |End 
Source: /app/node4/item-22050 | Message ID: 50 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 68.124697 |End 
Source: /app/node4/item-22053 | Message ID: 53 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 68.138537 |End 
Source: /app/node2/item-22066 | Message ID: 66 | Time sentFromSrcR: 67.805534 | Time receivedFromSrcR: 68.166217 |End 
Source: /app/node3/item-22041 | Message ID: 41 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.180057 |End 
Source: /app/node3/item-22054 | Message ID: 54 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.221577 |End 
Source: /app/node3/item-22056 | Message ID: 56 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.235417 |End 
Source: /app/node3/item-22060 | Message ID: 60 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.263097 |End 
Source: /app/node4/item-22052 | Message ID: 52 | Time sentFromSrcR: 66.469847 | Time receivedFromSrcR: 68.290777 |End 
Source: /app/node3/item-22058 | Message ID: 58 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 68.304617 |End 
Source: /app/node3/item-22062 | Message ID: 62 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 68.318457 |End 
Source: /app/node1/item-22064 | Message ID: 64 | Time sentFromSrcR: 66.619847 | Time receivedFromSrcR: 68.346137 |End 
Source: /app/node2/item-22068 | Message ID: 68 | Time sentFromSrcR: 67.805534 | Time receivedFromSrcR: 68.359977 |End 
Source: /app/node1/item-22043 | Message ID: 43 | Time sentFromSrcR: 51.269847 | Time receivedFromSrcR: 68.427497 |End 
Source: /app/node2/item-22055 | Message ID: 55 | Time sentFromSrcR: 68.384174 | Time receivedFromSrcR: 68.441337 |End 
Source: /app/node4/item-22060 | Message ID: 60 | Time sentFromSrcR: 59.719847 | Time receivedFromSrcR: 68.469017 |End 
Source: /app/node4/item-22061 | Message ID: 61 | Time sentFromSrcR: 62.419847 | Time receivedFromSrcR: 68.524377 |End 
Source: /app/node1/item-22057 | Message ID: 57 | Time sentFromSrcR: 63.919847 | Time receivedFromSrcR: 68.552057 |End 
Source: /app/node4/item-22037 | Message ID: 37 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 68.579737 |End 
Source: /app/node4/item-22050 | Message ID: 50 | Time sentFromSrcR: 64.319847 | Time receivedFromSrcR: 68.593577 |End 
Source: /app/node1/item-22052 | Message ID: 52 | Time sentFromSrcR: 64.469847 | Time receivedFromSrcR: 68.607417 |End 
Source: /app/node3/item-22042 | Message ID: 42 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.635097 |End 
Source: /app/node3/item-22045 | Message ID: 45 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.648937 |End 
Source: /app/node3/item-22061 | Message ID: 61 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 68.676617 |End 
Source: /app/node3/item-22062 | Message ID: 62 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 68.690457 |End 
Source: /app/node3/item-22067 | Message ID: 67 | Time sentFromSrcR: 66.519847 | Time receivedFromSrcR: 68.704297 |End 
Source: /app/node1/item-22064 | Message ID: 64 | Time sentFromSrcR: 66.619847 | Time receivedFromSrcR: 68.718137 |End 
Source: /app/node2/item-22069 | Message ID: 69 | Time sentFromSrcR: 68.384174 | Time receivedFromSrcR: 68.731977 |End 
Source: /app/node1/item-22043 | Message ID: 43 | Time sentFromSrcR: 51.269847 | Time receivedFromSrcR: 73.483977 |End 
Source: /app/node2/item-22055 | Message ID: 55 | Time sentFromSrcR: 73.469847 | Time receivedFromSrcR: 73.497817 |End 
Source: /app/node2/item-22062 | Message ID: 62 | Time sentFromSrcR: 73.469847 | Time receivedFromSrcR: 73.525497 |End 
Source: /app/node1/item-22062 | Message ID: 62 | Time sentFromSrcR: 61.219847 | Time receivedFromSrcR: 73.539337 |End 
Source: /app/node4/item-22058 | Message ID: 58 | Time sentFromSrcR: 62.419847 | Time receivedFromSrcR: 73.553177 |End 
Source: /app/node1/item-22056 | Message ID: 56 | Time sentFromSrcR: 63.919847 | Time receivedFromSrcR: 73.580857 |End 
Source: /app/node1/item-22063 | Message ID: 63 | Time sentFromSrcR: 63.919847 | Time receivedFromSrcR: 73.594697 |End 
Source: /app/node2/item-22066 | Message ID: 66 | Time sentFromSrcR: 73.469847 | Time receivedFromSrcR: 73.608537 |End 
Source: /app/node3/item-22045 | Message ID: 45 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 73.622377 |End 
Source: /app/node3/item-22059 | Message ID: 59 | Time sentFromSrcR: 65.969847 | Time receivedFromSrcR: 73.636217 |End 
Source: /app/node2/item-22069 | Message ID: 69 | Time sentFromSrcR: 73.469847 | Time receivedFromSrcR: 73.650057 |End 
Source: /app/node2/item-22070 | Message ID: 70 | Time sentFromSrcR: 73.469847 | Time receivedFromSrcR: 73.663897 |End 
Source: /app/node0/item-22068 | Message ID: 68 | Time sentFromSrcR: 69.769847 | Time receivedFromSrcR: 73.677737 |End 
Source: /app/node0/item-22069 | Message ID: 69 | Time sentFromSrcR: 69.769847 | Time receivedFromSrcR: 73.691577 |End 
Source: /app/node3/item-22062 | Message ID: 62 | Time sentFromSrcR: 70.019847 | Time receivedFromSrcR: 73.705417 |End 
Source: /app/node3/item-22067 | Message ID: 67 | Time sentFromSrcR: 70.019847 | Time receivedFromSrcR: 73.746937 |End 
Source: /app/node3/item-22068 | Message ID: 68 | Time sentFromSrcR: 70.019847 | Time receivedFromSrcR: 73.760777 |End 
Source: /app/node4/item-22064 | Message ID: 64 | Time sentFromSrcR: 70.219847 | Time receivedFromSrcR: 73.788457 |End 
Source: /app/node4/item-22065 | Message ID: 65 | Time sentFromSrcR: 70.219847 | Time receivedFromSrcR: 73.802297 |End 
Source: /app/node4/item-22067 | Message ID: 67 | Time sentFromSrcR: 70.219847 | Time receivedFromSrcR: 73.816137 |End 
Source: /app/node4/item-22069 | Message ID: 69 | Time sentFromSrcR: 70.219847 | Time receivedFromSrcR: 73.843817 |End 
Source: /app/node3/item-22063 | Message ID: 63 | Time sentFromSrcR: 70.569847 | Time receivedFromSrcR: 73.899177 |End 
Source: /app/node3/item-22069 | Message ID: 69 | Time sentFromSrcR: 70.569847 | Time receivedFromSrcR: 73.913017 |End 
