RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:53:35 2019
elapsed time: 3e-08s
Source: /app/node2/item-22082 | Message ID: 82 | Time sentFromSrcR: 92.419847 | Time receivedFromSrcR: 92.447817 |End 
Source: /app/node3/item-22080 | Message ID: 80 | Time sentFromSrcR: 81.569847 | Time receivedFromSrcR: 92.461657 |End 
Source: /app/node3/item-22081 | Message ID: 81 | Time sentFromSrcR: 81.569847 | Time receivedFromSrcR: 92.475497 |End 
Source: /app/node0/item-22084 | Message ID: 84 | Time sentFromSrcR: 87.269847 | Time receivedFromSrcR: 92.517017 |End 
Source: /app/node0/item-22087 | Message ID: 87 | Time sentFromSrcR: 87.819847 | Time receivedFromSrcR: 92.544697 |End 
Source: /app/node3/item-22084 | Message ID: 84 | Time sentFromSrcR: 88.519847 | Time receivedFromSrcR: 92.572377 |End 
Source: /app/node3/item-22086 | Message ID: 86 | Time sentFromSrcR: 88.519847 | Time receivedFromSrcR: 92.586217 |End 
Source: /app/node3/item-22087 | Message ID: 87 | Time sentFromSrcR: 88.519847 | Time receivedFromSrcR: 92.600057 |End 
Source: /app/node4/item-22081 | Message ID: 81 | Time sentFromSrcR: 89.907704 | Time receivedFromSrcR: 92.613897 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 89.907704 | Time receivedFromSrcR: 92.627737 |End 
Source: /app/node4/item-22087 | Message ID: 87 | Time sentFromSrcR: 89.907704 | Time receivedFromSrcR: 92.641577 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time sentFromSrcR: 89.907704 | Time receivedFromSrcR: 92.655417 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time sentFromSrcR: 90.419847 | Time receivedFromSrcR: 92.696937 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.419847 | Time receivedFromSrcR: 92.710777 |End 
Source: /app/node3/item-22090 | Message ID: 90 | Time sentFromSrcR: 90.669847 | Time receivedFromSrcR: 92.738457 |End 
Source: /app/node4/item-22079 | Message ID: 79 | Time sentFromSrcR: 78.669847 | Time receivedFromSrcR: 98.883977 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 98.939337 |End 
Source: /app/node0/item-22085 | Message ID: 85 | Time sentFromSrcR: 87.819847 | Time receivedFromSrcR: 98.967017 |End 
Source: /app/node3/item-22082 | Message ID: 82 | Time sentFromSrcR: 88.519847 | Time receivedFromSrcR: 98.994697 |End 
Source: /app/node3/item-22086 | Message ID: 86 | Time sentFromSrcR: 88.519847 | Time receivedFromSrcR: 99.008537 |End 
Source: /app/node4/item-22089 | Message ID: 89 | Time sentFromSrcR: 89.907704 | Time receivedFromSrcR: 99.036217 |End 
Source: /app/node2/item-22091 | Message ID: 91 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.050057 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time sentFromSrcR: 90.419847 | Time receivedFromSrcR: 99.063897 |End 
Source: /app/node3/item-22089 | Message ID: 89 | Time sentFromSrcR: 90.669847 | Time receivedFromSrcR: 99.091577 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.105417 |End 
Source: /app/node2/item-22093 | Message ID: 93 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.119257 |End 
Source: /app/node2/item-22094 | Message ID: 94 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.133097 |End 
Source: /app/node0/item-22090 | Message ID: 90 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 99.160777 |End 
Source: /app/node2/item-22096 | Message ID: 96 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.174617 |End 
Source: /app/node0/item-22091 | Message ID: 91 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 99.188457 |End 
Source: /app/node0/item-22092 | Message ID: 92 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 99.202297 |End 
Source: /app/node0/item-22094 | Message ID: 94 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 99.216137 |End 
Source: /app/node4/item-22096 | Message ID: 96 | Time sentFromSrcR: 95.519847 | Time receivedFromSrcR: 99.243817 |End 
Source: /app/node2/item-22098 | Message ID: 98 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.299177 |End 
Source: /app/node0/item-22095 | Message ID: 95 | Time sentFromSrcR: 97.219847 | Time receivedFromSrcR: 99.326857 |End 
Source: /app/node0/item-22097 | Message ID: 97 | Time sentFromSrcR: 97.219847 | Time receivedFromSrcR: 99.354537 |End 
Source: /app/node1/item-22094 | Message ID: 94 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 99.382217 |End 
Source: /app/node1/item-22096 | Message ID: 96 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 99.409897 |End 
Source: /app/node2/item-22099 | Message ID: 99 | Time sentFromSrcR: 98.869847 | Time receivedFromSrcR: 99.423737 |End 
Source: /app/node1/item-22098 | Message ID: 98 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 99.437577 |End 
Source: /app/node4/item-22095 | Message ID: 95 | Time sentFromSrcR: 98.769847 | Time receivedFromSrcR: 99.451417 |End 
Source: /app/node4/item-22079 | Message ID: 79 | Time sentFromSrcR: 78.669847 | Time receivedFromSrcR: 99.536297 |End 
Source: /app/node2/item-22082 | Message ID: 82 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.550137 |End 
Source: /app/node2/item-22087 | Message ID: 87 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.577817 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.591657 |End 
Source: /app/node0/item-22084 | Message ID: 84 | Time sentFromSrcR: 87.269847 | Time receivedFromSrcR: 99.605497 |End 
Source: /app/node0/item-22087 | Message ID: 87 | Time sentFromSrcR: 87.819847 | Time receivedFromSrcR: 99.619337 |End 
Source: /app/node3/item-22087 | Message ID: 87 | Time sentFromSrcR: 88.519847 | Time receivedFromSrcR: 99.633177 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.660857 |End 
Source: /app/node2/item-22093 | Message ID: 93 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.674697 |End 
Source: /app/node2/item-22094 | Message ID: 94 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.688537 |End 
Source: /app/node2/item-22095 | Message ID: 95 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.702377 |End 
Source: /app/node0/item-22091 | Message ID: 91 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 99.716217 |End 
Source: /app/node4/item-22092 | Message ID: 92 | Time sentFromSrcR: 96.069847 | Time receivedFromSrcR: 99.757737 |End 
Source: /app/node4/item-22094 | Message ID: 94 | Time sentFromSrcR: 96.069847 | Time receivedFromSrcR: 99.771577 |End 
Source: /app/node0/item-22096 | Message ID: 96 | Time sentFromSrcR: 97.219847 | Time receivedFromSrcR: 99.799257 |End 
Source: /app/node1/item-22094 | Message ID: 94 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 99.826937 |End 
Source: /app/node1/item-22095 | Message ID: 95 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 99.840777 |End 
Source: /app/node2/item-22100 | Message ID: 100 | Time sentFromSrcR: 99.512414 | Time receivedFromSrcR: 99.868457 |End 
Source: /app/node2/item-22082 | Message ID: 82 | Time sentFromSrcR: 100.519847 | Time receivedFromSrcR: 100.557570 |End 
Source: /app/node0/item-22091 | Message ID: 91 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 100.626770 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time sentFromSrcR: 95.519847 | Time receivedFromSrcR: 100.640610 |End 
Source: /app/node2/item-22097 | Message ID: 97 | Time sentFromSrcR: 100.519847 | Time receivedFromSrcR: 100.654450 |End 
Source: /app/node1/item-22093 | Message ID: 93 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 100.682130 |End 
Source: /app/node1/item-22094 | Message ID: 94 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 100.695970 |End 
Source: /app/node4/item-22079 | Message ID: 79 | Time sentFromSrcR: 78.669847 | Time receivedFromSrcR: 102.143730 |End 
Source: /app/node2/item-22082 | Message ID: 82 | Time sentFromSrcR: 102.119847 | Time receivedFromSrcR: 102.157570 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time sentFromSrcR: 102.119847 | Time receivedFromSrcR: 102.199090 |End 
Source: /app/node1/item-22093 | Message ID: 93 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 102.268290 |End 
Source: /app/node4/item-22099 | Message ID: 99 | Time sentFromSrcR: 98.769847 | Time receivedFromSrcR: 102.295970 |End 
Source: /app/node1/item-22099 | Message ID: 99 | Time sentFromSrcR: 101.269847 | Time receivedFromSrcR: 102.323650 |End 
Source: /app/node3/item-22081 | Message ID: 81 | Time sentFromSrcR: 81.569847 | Time receivedFromSrcR: 106.933977 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.419847 | Time receivedFromSrcR: 106.947817 |End 
Source: /app/node2/item-22093 | Message ID: 93 | Time sentFromSrcR: 106.919847 | Time receivedFromSrcR: 106.961657 |End 
Source: /app/node0/item-22091 | Message ID: 91 | Time sentFromSrcR: 95.069847 | Time receivedFromSrcR: 106.975497 |End 
Source: /app/node2/item-22097 | Message ID: 97 | Time sentFromSrcR: 106.919847 | Time receivedFromSrcR: 106.989337 |End 
Source: /app/node0/item-22089 | Message ID: 89 | Time sentFromSrcR: 97.219847 | Time receivedFromSrcR: 107.003177 |End 
Source: /app/node1/item-22094 | Message ID: 94 | Time sentFromSrcR: 98.019847 | Time receivedFromSrcR: 107.017017 |End 
