RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 00:53:35 2019
elapsed time: 4.2e-08s
Source: Wf:00:00:00:00:02 | Message ID: 38 | Time SentFromSrc: 40.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 39 | Time SentFromSrc: 40.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 40.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 41 | Time SentFromSrc: 40.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 38 | Time SentFromSrc: 43.219847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 39 | Time SentFromSrc: 43.219847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 43.219847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 42 | Time SentFromSrc: 43.219847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 43 | Time SentFromSrc: 43.219847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 44 | Time SentFromSrc: 43.219847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 38 | Time SentFromSrc: 44.319847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 44.319847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 44 | Time SentFromSrc: 44.319847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 45 | Time SentFromSrc: 44.319847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 44.869847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 44 | Time SentFromSrc: 44.869847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 45 | Time SentFromSrc: 44.869847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 44 | Time SentFromSrc: 45.419847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 45 | Time SentFromSrc: 45.419847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 46 | Time SentFromSrc: 45.419847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 44 | Time SentFromSrc: 47.570224 |End 
Source: Wf:00:00:00:00:02 | Message ID: 45 | Time SentFromSrc: 47.570224 |End 
Source: Wf:00:00:00:00:02 | Message ID: 47 | Time SentFromSrc: 47.570224 |End 
