Weight: 43 | Time now: 4.465110 |End 
Weight: 43 | Time now: 7.665110 |End 
Weight: 43 | Time now: 8.165110 |End 
Weight: 43 | Time now: 9.765110 |End 
Weight: 43 | Time now: 10.315110 |End 
Weight: 43 | Time now: 11.915110 |End 
Weight: 43 | Time now: 15.665110 |End 
Weight: 43 | Time now: 17.815110 |End 
Weight: 43 | Time now: 18.365110 |End 
Weight: 43 | Time now: 19.965110 |End 
Weight: 43 | Time now: 21.565110 |End 
Weight: 43 | Time now: 25.065110 |End 
Weight: 43 | Time now: 26.665110 |End 
Weight: 43 | Time now: 28.265110 |End 
Weight: 43 | Time now: 28.815110 |End 
Weight: 43 | Time now: 29.365110 |End 
Weight: 43 | Time now: 29.915110 |End 
Weight: 43 | Time now: 36.615110 |End 
Weight: 43 | Time now: 38.215110 |End 
Weight: 43 | Time now: 38.765110 |End 
Weight: 43 | Time now: 40.915110 |End 
Weight: 43 | Time now: 42.515110 |End 
Weight: 43 | Time now: 43.065110 |End 
Weight: 43 | Time now: 43.615110 |End 
Weight: 43 | Time now: 44.165110 |End 
Weight: 43 | Time now: 44.715110 |End 
Weight: 43 | Time now: 45.265110 |End 
Weight: 43 | Time now: 45.815110 |End 
Weight: 43 | Time now: 47.415110 |End 
Weight: 43 | Time now: 47.965110 |End 
Weight: 43 | Time now: 48.515110 |End 
Weight: 43 | Time now: 50.115110 |End 
Weight: 43 | Time now: 50.665110 |End 
Weight: 43 | Time now: 51.215110 |End 
Weight: 43 | Time now: 51.765110 |End 
Weight: 43 | Time now: 52.315110 |End 
Weight: 43 | Time now: 53.915110 |End 
Weight: 43 | Time now: 54.465110 |End 
Weight: 43 | Time now: 56.065110 |End 
Weight: 43 | Time now: 57.665110 |End 
Weight: 43 | Time now: 58.215110 |End 
Weight: 43 | Time now: 58.765110 |End 
Weight: 43 | Time now: 62.265110 |End 
Weight: 43 | Time now: 62.815110 |End 
Weight: 43 | Time now: 64.415110 |End 
Weight: 43 | Time now: 67.615110 |End 
Weight: 43 | Time now: 68.165110 |End 
Weight: 43 | Time now: 69.765110 |End 
Weight: 43 | Time now: 71.915110 |End 
Weight: 43 | Time now: 73.515110 |End 
Weight: 43 | Time now: 75.115110 |End 
Weight: 43 | Time now: 75.665110 |End 
Weight: 43 | Time now: 76.215110 |End 
Weight: 43 | Time now: 78.365110 |End 
Weight: 43 | Time now: 78.915110 |End 
Weight: 43 | Time now: 79.465110 |End 
Weight: 43 | Time now: 80.015110 |End 
Weight: 43 | Time now: 80.565110 |End 
Weight: 43 | Time now: 85.665110 |End 
Weight: 43 | Time now: 87.265110 |End 
Weight: 43 | Time now: 87.815110 |End 
Weight: 43 | Time now: 89.415110 |End 
Weight: 43 | Time now: 92.915110 |End 
Weight: 43 | Time now: 95.065110 |End 
Weight: 43 | Time now: 97.215110 |End 
Weight: 43 | Time now: 97.765110 |End 
Weight: 43 | Time now: 99.365110 |End 
Weight: 43 | Time now: 102.565110 |End 
Weight: 43 | Time now: 104.165110 |End 
Weight: 43 | Time now: 104.715110 |End 
Weight: 43 | Time now: 111.415110 |End 
Weight: 43 | Time now: 116.215110 |End 
Weight: 43 | Time now: 118.365110 |End 
Weight: 43 | Time now: 120.265110 |End 
Weight: 43 | Time now: 120.815110 |End 
Weight: 43 | Time now: 122.965110 |End 
Weight: 43 | Time now: 123.515110 |End 
Weight: 43 | Time now: 125.665110 |End 
Weight: 43 | Time now: 126.215110 |End 
Weight: 43 | Time now: 129.915110 |End 
Weight: 43 | Time now: 132.065110 |End 
Weight: 43 | Time now: 134.215110 |End 
Weight: 43 | Time now: 134.765110 |End 
Weight: 43 | Time now: 136.365110 |End 
Weight: 43 | Time now: 139.865110 |End 
Weight: 43 | Time now: 140.415110 |End 
Weight: 43 | Time now: 142.565110 |End 
Weight: 43 | Time now: 144.165110 |End 
Weight: 43 | Time now: 145.765110 |End 
Weight: 43 | Time now: 147.665110 |End 
Weight: 43 | Time now: 149.265110 |End 
Weight: 43 | Time now: 150.865110 |End 
Weight: 43 | Time now: 156.215110 |End 
Weight: 43 | Time now: 156.765110 |End 
Weight: 43 | Time now: 158.365110 |End 
Weight: 43 | Time now: 160.515110 |End 
Weight: 43 | Time now: 161.065110 |End 
Weight: 43 | Time now: 161.615110 |End 
Weight: 43 | Time now: 162.165110 |End 
Weight: 43 | Time now: 164.315110 |End 
Weight: 43 | Time now: 165.915110 |End 
Weight: 43 | Time now: 166.465110 |End 
Weight: 43 | Time now: 167.015110 |End 
Weight: 43 | Time now: 168.615110 |End 
Weight: 43 | Time now: 170.215110 |End 
Weight: 43 | Time now: 170.765110 |End 
Weight: 43 | Time now: 174.265110 |End 
Weight: 43 | Time now: 175.865110 |End 
Weight: 43 | Time now: 177.465110 |End 
Weight: 43 | Time now: 179.615110 |End 
Weight: 43 | Time now: 181.765110 |End 
Weight: 43 | Time now: 183.665110 |End 
Weight: 43 | Time now: 187.415110 |End 
Weight: 43 | Time now: 189.015110 |End 
Weight: 43 | Time now: 192.515110 |End 
Weight: 43 | Time now: 194.115110 |End 
Weight: 43 | Time now: 194.665110 |End 
Weight: 43 | Time now: 195.215110 |End 
Weight: 43 | Time now: 197.365110 |End 
Weight: 43 | Time now: 198.965110 |End 
