0->100.000000 | 2->87.000000 => 37.000000
0->100.000000 | 2->87.000000 => 37.000000
0->100.000000 | 2->86.000000 => 37.000000
0->100.000000 | 2->87.000000 => 37.000000
0->100.000000 | 2->87.000000 => 37.000000
1->100.000000 | 0->89.000000 => 67.000000
1->100.000000 | 0->89.000000 => 67.000000
1->100.000000 | 0->89.000000 => 67.000000
1->100.000000 | 0->89.000000 => 67.000000
1->100.000000 | 0->89.000000 => 67.000000
3->100.000000 | 1->83.000000 => 92.000000
3->100.000000 | 1->82.000000 => 92.000000
3->100.000000 | 1->82.000000 => 92.000000
3->100.000000 | 1->83.000000 => 92.000000
3->100.000000 | 1->83.000000 => 92.000000
