RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 22:51:44 2019
elapsed time: 1.9e-07s
Source: /app/node0/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.499060 | Time receivedFromSrcR: 32.522218 |End 
Source: /app/node1/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.503706 | Time receivedFromSrcR: 32.522237 |End 
Source: /app/node3/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.508340 | Time receivedFromSrcR: 32.522281 |End 
Source: /app/node0/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.599060 | Time receivedFromSrcR: 33.622218 |End 
Source: /app/node1/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.603706 | Time receivedFromSrcR: 33.622237 |End 
Source: /app/node3/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.608340 | Time receivedFromSrcR: 33.622281 |End 
Source: /app/node0/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.149060 | Time receivedFromSrcR: 34.172218 |End 
Source: /app/node1/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.153706 | Time receivedFromSrcR: 34.172237 |End 
Source: /app/node3/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.158340 | Time receivedFromSrcR: 34.172281 |End 
Source: /app/node0/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.249060 | Time receivedFromSrcR: 35.272218 |End 
Source: /app/node1/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.253706 | Time receivedFromSrcR: 35.272237 |End 
Source: /app/node3/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.258340 | Time receivedFromSrcR: 35.272281 |End 
Source: /app/node0/item-22037 | Message ID: 37 | Time sentFromSrcR: 36.349060 | Time receivedFromSrcR: 36.372218 |End 
Source: /app/node1/item-22037 | Message ID: 37 | Time sentFromSrcR: 36.353706 | Time receivedFromSrcR: 36.372237 |End 
Source: /app/node3/item-22037 | Message ID: 37 | Time sentFromSrcR: 36.358340 | Time receivedFromSrcR: 36.372281 |End 
