RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:12:40 2019
elapsed time: 2.05e-07s
Source: /app/node4/item-22004 | Message ID: 4 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.183627 |End 
Source: /app/node2/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.134349 | Time receivedFromSrcR: 12.191677 |End 
Source: /app/node4/item-22005 | Message ID: 5 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.197467 |End 
Source: /app/node4/item-22007 | Message ID: 7 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.211307 |End 
Source: /app/node4/item-22008 | Message ID: 8 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.225147 |End 
Source: /app/node0/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.219643 | Time receivedFromSrcR: 12.233627 |End 
Source: /app/node4/item-22010 | Message ID: 10 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.238987 |End 
Source: /app/node4/item-22012 | Message ID: 12 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.252827 |End 
Source: /app/node4/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.169643 | Time receivedFromSrcR: 12.266667 |End 
Source: /app/node3/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.269842 | Time receivedFromSrcR: 12.283969 |End 
Source: /app/node4/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.269643 | Time receivedFromSrcR: 13.283627 |End 
Source: /app/node2/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.234349 | Time receivedFromSrcR: 13.291677 |End 
Source: /app/node0/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.819643 | Time receivedFromSrcR: 13.843584 |End 
Source: /app/node0/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.369643 | Time receivedFromSrcR: 14.383627 |End 
Source: /app/node4/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.374283 | Time receivedFromSrcR: 14.388267 |End 
Source: /app/node2/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.334349 | Time receivedFromSrcR: 14.391677 |End 
Source: /app/node3/item-22014 | Message ID: 14 | Time sentFromSrcR: 14.419842 | Time receivedFromSrcR: 14.443727 |End 
Source: /app/node4/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.469643 | Time receivedFromSrcR: 15.483627 |End 
Source: /app/node2/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.434349 | Time receivedFromSrcR: 15.491677 |End 
Source: /app/node0/item-22015 | Message ID: 15 | Time sentFromSrcR: 16.219643 | Time receivedFromSrcR: 16.233627 |End 
