Weight: 49 | Time now: 1.129906 |End 
Weight: 49 | Time now: 1.679906 |End 
Weight: 49 | Time now: 2.229906 |End 
Weight: 49 | Time now: 3.315106 |End 
Weight: 49 | Time now: 3.865106 |End 
Weight: 49 | Time now: 5.765106 |End 
Weight: 49 | Time now: 6.331629 |End 
Weight: 49 | Time now: 6.915106 |End 
Weight: 49 | Time now: 7.465106 |End 
Weight: 49 | Time now: 11.165106 |End 
Weight: 49 | Time now: 11.715106 |End 
Weight: 49 | Time now: 12.265106 |End 
Weight: 49 | Time now: 14.415106 |End 
Weight: 49 | Time now: 18.165106 |End 
Weight: 49 | Time now: 18.715106 |End 
Weight: 49 | Time now: 20.315106 |End 
Weight: 49 | Time now: 20.865106 |End 
Weight: 49 | Time now: 22.765106 |End 
Weight: 49 | Time now: 24.384092 |End 
Weight: 49 | Time now: 26.037692 |End 
Weight: 49 | Time now: 26.684572 |End 
Weight: 49 | Time now: 27.065106 |End 
Weight: 49 | Time now: 30.815106 |End 
Weight: 49 | Time now: 32.365106 |End 
Weight: 49 | Time now: 32.915106 |End 
Weight: 49 | Time now: 34.815106 |End 
Weight: 49 | Time now: 35.365106 |End 
Weight: 49 | Time now: 37.515106 |End 
Weight: 49 | Time now: 39.115106 |End 
Weight: 49 | Time now: 39.665106 |End 
Weight: 49 | Time now: 41.565106 |End 
Weight: 49 | Time now: 43.715106 |End 
Weight: 49 | Time now: 45.315106 |End 
Weight: 49 | Time now: 46.915106 |End 
Weight: 49 | Time now: 47.465106 |End 
Weight: 49 | Time now: 48.015106 |End 
Weight: 49 | Time now: 48.565106 |End 
Weight: 49 | Time now: 52.065106 |End 
Weight: 49 | Time now: 57.415106 |End 
Weight: 49 | Time now: 57.965106 |End 
Weight: 49 | Time now: 61.715106 |End 
Weight: 49 | Time now: 63.865106 |End 
Weight: 49 | Time now: 64.415106 |End 
Weight: 49 | Time now: 64.965106 |End 
Weight: 49 | Time now: 66.565106 |End 
Weight: 49 | Time now: 67.115106 |End 
Weight: 49 | Time now: 67.665106 |End 
Weight: 49 | Time now: 68.215106 |End 
Weight: 49 | Time now: 68.765106 |End 
Weight: 49 | Time now: 70.365106 |End 
Weight: 49 | Time now: 72.265106 |End 
Weight: 49 | Time now: 73.865106 |End 
Weight: 49 | Time now: 74.415106 |End 
Weight: 49 | Time now: 74.965106 |End 
