RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:34:46 2019
elapsed time: 3e-08s
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22001 | Message ID: 1 | Time SentFromNIC: 6.233483 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22002 | Message ID: 2 | Time SentFromNIC: 6.247323 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22003 | Message ID: 3 | Time SentFromNIC: 6.261163 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22004 | Message ID: 4 | Time SentFromNIC: 6.275003 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22005 | Message ID: 5 | Time SentFromNIC: 6.288843 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22006 | Message ID: 6 | Time SentFromNIC: 6.302683 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22007 | Message ID: 7 | Time SentFromNIC: 6.316523 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22002 | Message ID: 2 | Time SentFromNIC: 6.783483 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22004 | Message ID: 4 | Time SentFromNIC: 6.797323 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22008 | Message ID: 8 | Time SentFromNIC: 7.333483 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22009 | Message ID: 9 | Time SentFromNIC: 9.483483 | End 
