RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:34:46 2019
elapsed time: 5.3e-08s
Source: Wf:00:00:00:00:00 | Message ID: 13 | Time SentFromSrc: 12.134288 |End 
Source: Wf:00:00:00:00:00 | Message ID: 14 | Time SentFromSrc: 13.234288 |End 
Source: Wf:00:00:00:00:00 | Message ID: 15 | Time SentFromSrc: 14.334288 |End 
Source: Wf:00:00:00:00:00 | Message ID: 16 | Time SentFromSrc: 15.569643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 16 | Time SentFromSrc: 16.119643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 17 | Time SentFromSrc: 16.119643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 18 | Time SentFromSrc: 18.269643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 19 | Time SentFromSrc: 18.269643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 18 | Time SentFromSrc: 18.819643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 20 | Time SentFromSrc: 19.369643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 20 | Time SentFromSrc: 19.919643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 21 | Time SentFromSrc: 22.073160 |End 
Source: Wf:00:00:00:00:00 | Message ID: 22 | Time SentFromSrc: 22.073160 |End 
Source: Wf:00:00:00:00:00 | Message ID: 22 | Time SentFromSrc: 22.623167 |End 
Source: Wf:00:00:00:00:00 | Message ID: 23 | Time SentFromSrc: 22.623167 |End 
Source: Wf:00:00:00:00:00 | Message ID: 24 | Time SentFromSrc: 23.158374 |End 
Source: Wf:00:00:00:00:00 | Message ID: 25 | Time SentFromSrc: 24.258392 |End 
Source: Wf:00:00:00:00:00 | Message ID: 26 | Time SentFromSrc: 25.469820 |End 
Source: Wf:00:00:00:00:00 | Message ID: 26 | Time SentFromSrc: 27.519643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 27 | Time SentFromSrc: 27.519643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 28 | Time SentFromSrc: 27.519643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 29 | Time SentFromSrc: 28.619643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 30 | Time SentFromSrc: 29.169643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 31 | Time SentFromSrc: 30.269643 |End 
Source: Wf:00:00:00:00:00 | Message ID: 32 | Time SentFromSrc: 31.372048 |End 
