Weight: 69 | Time now: 1.144483 |End 
Weight: 69 | Time now: 1.694483 |End 
Weight: 69 | Time now: 2.244483 |End 
Weight: 69 | Time now: 2.779683 |End 
Weight: 69 | Time now: 3.329683 |End 
Weight: 69 | Time now: 3.879683 |End 
Weight: 69 | Time now: 4.429683 |End 
Weight: 69 | Time now: 4.964883 |End 
Weight: 69 | Time now: 5.514883 |End 
Weight: 69 | Time now: 6.064883 |End 
Weight: 69 | Time now: 6.614883 |End 
Weight: 69 | Time now: 7.164883 |End 
Weight: 69 | Time now: 7.714883 |End 
Weight: 69 | Time now: 8.264883 |End 
Weight: 69 | Time now: 8.814883 |End 
Weight: 69 | Time now: 9.364883 |End 
Weight: 69 | Time now: 9.914883 |End 
Weight: 69 | Time now: 10.464883 |End 
Weight: 69 | Time now: 11.014883 |End 
Weight: 69 | Time now: 11.564883 |End 
Weight: 69 | Time now: 12.114883 |End 
Weight: 69 | Time now: 12.664883 |End 
Weight: 69 | Time now: 13.214883 |End 
Weight: 69 | Time now: 13.764883 |End 
Weight: 69 | Time now: 14.314883 |End 
Weight: 69 | Time now: 14.864883 |End 
Weight: 69 | Time now: 15.414883 |End 
Weight: 69 | Time now: 15.964883 |End 
Weight: 69 | Time now: 16.529683 |End 
Weight: 69 | Time now: 17.079683 |End 
Weight: 69 | Time now: 17.629683 |End 
Weight: 69 | Time now: 18.179683 |End 
Weight: 69 | Time now: 18.729683 |End 
Weight: 69 | Time now: 19.264883 |End 
Weight: 69 | Time now: 19.814883 |End 
Weight: 68 | Time now: 20.364888 |End 
Weight: 66 | Time now: 20.914898 |End 
Weight: 65 | Time now: 21.464911 |End 
Weight: 63 | Time now: 22.014927 |End 
Weight: 60 | Time now: 23.114971 |End 
Weight: 53 | Time now: 25.265081 |End 
Weight: 42 | Time now: 27.415110 |End 
