RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:45:29 2019
elapsed time: 7.9e-08s
Source: /app/node2/item-22014 | Message ID: 14 | Time sentFromSrcR: 15.820224 | Time receivedFromSrcR: 15.860506 |End 
Source: /app/node2/item-22015 | Message ID: 15 | Time sentFromSrcR: 15.820224 | Time receivedFromSrcR: 15.874346 |End 
Source: /app/node1/item-22014 | Message ID: 14 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 15.929706 |End 
Source: /app/node3/item-22011 | Message ID: 11 | Time sentFromSrcR: 15.769847 | Time receivedFromSrcR: 15.971226 |End 
Source: /app/node3/item-22014 | Message ID: 14 | Time sentFromSrcR: 15.769847 | Time receivedFromSrcR: 15.998906 |End 
Source: /app/node2/item-22013 | Message ID: 13 | Time sentFromSrcR: 17.969847 | Time receivedFromSrcR: 17.983977 |End 
Source: /app/node2/item-22016 | Message ID: 16 | Time sentFromSrcR: 17.969847 | Time receivedFromSrcR: 17.997817 |End 
Source: /app/node1/item-22011 | Message ID: 11 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 18.011657 |End 
Source: /app/node1/item-22014 | Message ID: 14 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 18.039337 |End 
Source: /app/node1/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 18.067017 |End 
Source: /app/node3/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.769847 | Time receivedFromSrcR: 18.094697 |End 
Source: /app/node4/item-22013 | Message ID: 13 | Time sentFromSrcR: 16.619847 | Time receivedFromSrcR: 18.122377 |End 
Source: /app/node4/item-22017 | Message ID: 17 | Time sentFromSrcR: 16.619847 | Time receivedFromSrcR: 18.136217 |End 
Source: /app/node2/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.969847 | Time receivedFromSrcR: 18.150057 |End 
Source: /app/node1/item-22013 | Message ID: 13 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 20.133977 |End 
Source: /app/node1/item-22015 | Message ID: 15 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 20.147817 |End 
Source: /app/node1/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.419847 | Time receivedFromSrcR: 20.161657 |End 
Source: /app/node3/item-22013 | Message ID: 13 | Time sentFromSrcR: 15.769847 | Time receivedFromSrcR: 20.175497 |End 
Source: /app/node2/item-22017 | Message ID: 17 | Time sentFromSrcR: 20.119847 | Time receivedFromSrcR: 20.189337 |End 
Source: /app/node4/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.769847 | Time receivedFromSrcR: 20.244697 |End 
Source: /app/node2/item-22020 | Message ID: 20 | Time sentFromSrcR: 20.119847 | Time receivedFromSrcR: 20.258537 |End 
Source: /app/node2/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.119847 | Time receivedFromSrcR: 20.272377 |End 
Source: /app/node2/item-22051 | Message ID: 51 | Time sentFromSrcR: 56.369847 | Time receivedFromSrcR: 57.020617 |End 
Source: /app/node3/item-22052 | Message ID: 52 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 57.034457 |End 
Source: /app/node2/item-22054 | Message ID: 54 | Time sentFromSrcR: 56.369847 | Time receivedFromSrcR: 57.089817 |End 
Source: /app/node3/item-22053 | Message ID: 53 | Time sentFromSrcR: 55.469847 | Time receivedFromSrcR: 57.103657 |End 
Source: /app/node3/item-22054 | Message ID: 54 | Time sentFromSrcR: 55.469847 | Time receivedFromSrcR: 57.117497 |End 
Source: /app/node3/item-22056 | Message ID: 56 | Time sentFromSrcR: 55.469847 | Time receivedFromSrcR: 57.131337 |End 
Source: /app/node2/item-22043 | Message ID: 43 | Time sentFromSrcR: 58.519847 | Time receivedFromSrcR: 58.547817 |End 
Source: /app/node0/item-22031 | Message ID: 31 | Time sentFromSrcR: 42.519847 | Time receivedFromSrcR: 58.561657 |End 
Source: /app/node4/item-22043 | Message ID: 43 | Time sentFromSrcR: 44.519847 | Time receivedFromSrcR: 58.589337 |End 
Source: /app/node3/item-22051 | Message ID: 51 | Time sentFromSrcR: 51.169847 | Time receivedFromSrcR: 58.603177 |End 
Source: /app/node1/item-22053 | Message ID: 53 | Time sentFromSrcR: 53.219847 | Time receivedFromSrcR: 58.630857 |End 
Source: /app/node1/item-22052 | Message ID: 52 | Time sentFromSrcR: 54.598264 | Time receivedFromSrcR: 58.672377 |End 
Source: /app/node0/item-22039 | Message ID: 39 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.686217 |End 
Source: /app/node0/item-22041 | Message ID: 41 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.700057 |End 
Source: /app/node0/item-22044 | Message ID: 44 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.713897 |End 
Source: /app/node0/item-22048 | Message ID: 48 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.727737 |End 
Source: /app/node0/item-22049 | Message ID: 49 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.741577 |End 
Source: /app/node0/item-22050 | Message ID: 50 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.755417 |End 
Source: /app/node0/item-22025 | Message ID: 25 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.783097 |End 
Source: /app/node4/item-22029 | Message ID: 29 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.796937 |End 
Source: /app/node1/item-22042 | Message ID: 42 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.824617 |End 
Source: /app/node3/item-22052 | Message ID: 52 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 58.852297 |End 
Source: /app/node2/item-22048 | Message ID: 48 | Time sentFromSrcR: 58.519847 | Time receivedFromSrcR: 58.866137 |End 
Source: /app/node2/item-22057 | Message ID: 57 | Time sentFromSrcR: 58.519847 | Time receivedFromSrcR: 58.907657 |End 
Source: /app/node2/item-22058 | Message ID: 58 | Time sentFromSrcR: 58.519847 | Time receivedFromSrcR: 58.921497 |End 
Source: /app/node1/item-22057 | Message ID: 57 | Time sentFromSrcR: 57.203304 | Time receivedFromSrcR: 58.949177 |End 
Source: /app/node4/item-22059 | Message ID: 59 | Time sentFromSrcR: 58.169847 | Time receivedFromSrcR: 59.046057 |End 
Source: /app/node1/item-22041 | Message ID: 41 | Time sentFromSrcR: 41.919847 | Time receivedFromSrcR: 60.683977 |End 
Source: /app/node2/item-22043 | Message ID: 43 | Time sentFromSrcR: 60.669847 | Time receivedFromSrcR: 60.697817 |End 
Source: /app/node0/item-22031 | Message ID: 31 | Time sentFromSrcR: 42.519847 | Time receivedFromSrcR: 60.711657 |End 
Source: /app/node2/item-22045 | Message ID: 45 | Time sentFromSrcR: 60.669847 | Time receivedFromSrcR: 60.725497 |End 
Source: /app/node1/item-22048 | Message ID: 48 | Time sentFromSrcR: 53.219847 | Time receivedFromSrcR: 60.753177 |End 
Source: /app/node1/item-22050 | Message ID: 50 | Time sentFromSrcR: 54.598264 | Time receivedFromSrcR: 60.780857 |End 
Source: /app/node0/item-22039 | Message ID: 39 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 60.794697 |End 
Source: /app/node0/item-22041 | Message ID: 41 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 60.808537 |End 
Source: /app/node0/item-22049 | Message ID: 49 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 60.822377 |End 
Source: /app/node0/item-22052 | Message ID: 52 | Time sentFromSrcR: 54.602904 | Time receivedFromSrcR: 60.836217 |End 
