RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:45:29 2019
elapsed time: 7.7e-08s
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 7.683687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 7.697527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22003 | Message ID: 3 | Time SentFromNIC: 7.711367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 7.725207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22005 | Message ID: 5 | Time SentFromNIC: 7.739047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22006 | Message ID: 6 | Time SentFromNIC: 7.752887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22007 | Message ID: 7 | Time SentFromNIC: 7.766727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 7.780567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22001 | Message ID: 1 | Time SentFromNIC: 8.183687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22002 | Message ID: 2 | Time SentFromNIC: 8.197527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22004 | Message ID: 4 | Time SentFromNIC: 8.211367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22005 | Message ID: 5 | Time SentFromNIC: 8.225207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22006 | Message ID: 6 | Time SentFromNIC: 8.239047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22007 | Message ID: 7 | Time SentFromNIC: 8.252887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22008 | Message ID: 8 | Time SentFromNIC: 8.266727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22009 | Message ID: 9 | Time SentFromNIC: 8.280567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22023 | Message ID: 23 | Time SentFromNIC: 32.707784 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time SentFromNIC: 32.721624 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22025 | Message ID: 25 | Time SentFromNIC: 32.735464 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22026 | Message ID: 26 | Time SentFromNIC: 32.749304 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22027 | Message ID: 27 | Time SentFromNIC: 32.763144 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22028 | Message ID: 28 | Time SentFromNIC: 32.776984 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22029 | Message ID: 29 | Time SentFromNIC: 32.790824 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time SentFromNIC: 32.804664 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22031 | Message ID: 31 | Time SentFromNIC: 32.818504 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22032 | Message ID: 32 | Time SentFromNIC: 32.832344 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22033 | Message ID: 33 | Time SentFromNIC: 32.846184 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22023 | Message ID: 23 | Time SentFromNIC: 42.533687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time SentFromNIC: 42.547527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22026 | Message ID: 26 | Time SentFromNIC: 42.561367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22028 | Message ID: 28 | Time SentFromNIC: 42.575207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22029 | Message ID: 29 | Time SentFromNIC: 42.589047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time SentFromNIC: 42.602887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22031 | Message ID: 31 | Time SentFromNIC: 42.616727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22034 | Message ID: 34 | Time SentFromNIC: 42.630567 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22035 | Message ID: 35 | Time SentFromNIC: 42.644407 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22036 | Message ID: 36 | Time SentFromNIC: 42.658247 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22037 | Message ID: 37 | Time SentFromNIC: 42.672087 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22038 | Message ID: 38 | Time SentFromNIC: 42.685927 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22039 | Message ID: 39 | Time SentFromNIC: 42.699767 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22040 | Message ID: 40 | Time SentFromNIC: 42.713607 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22041 | Message ID: 41 | Time SentFromNIC: 42.727447 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22042 | Message ID: 42 | Time SentFromNIC: 42.741287 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22043 | Message ID: 43 | Time SentFromNIC: 42.755127 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time SentFromNIC: 54.616744 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22029 | Message ID: 29 | Time SentFromNIC: 54.630584 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time SentFromNIC: 54.644424 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22031 | Message ID: 31 | Time SentFromNIC: 54.658264 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22034 | Message ID: 34 | Time SentFromNIC: 54.672104 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22035 | Message ID: 35 | Time SentFromNIC: 54.685944 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22036 | Message ID: 36 | Time SentFromNIC: 54.699784 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22037 | Message ID: 37 | Time SentFromNIC: 54.713624 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22038 | Message ID: 38 | Time SentFromNIC: 54.727464 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22039 | Message ID: 39 | Time SentFromNIC: 54.741304 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22040 | Message ID: 40 | Time SentFromNIC: 54.755144 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22041 | Message ID: 41 | Time SentFromNIC: 54.768984 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22042 | Message ID: 42 | Time SentFromNIC: 54.782824 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22044 | Message ID: 44 | Time SentFromNIC: 54.796664 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22045 | Message ID: 45 | Time SentFromNIC: 54.810504 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22046 | Message ID: 46 | Time SentFromNIC: 54.824344 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22047 | Message ID: 47 | Time SentFromNIC: 54.838184 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22048 | Message ID: 48 | Time SentFromNIC: 54.852024 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22049 | Message ID: 49 | Time SentFromNIC: 54.865864 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22050 | Message ID: 50 | Time SentFromNIC: 54.879704 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22051 | Message ID: 51 | Time SentFromNIC: 54.893544 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22052 | Message ID: 52 | Time SentFromNIC: 54.907384 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22053 | Message ID: 53 | Time SentFromNIC: 54.921224 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22025 | Message ID: 25 | Time SentFromNIC: 54.935064 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22034 | Message ID: 34 | Time SentFromNIC: 54.948904 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22041 | Message ID: 41 | Time SentFromNIC: 54.962744 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22029 | Message ID: 29 | Time SentFromNIC: 54.976584 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22042 | Message ID: 42 | Time SentFromNIC: 54.990424 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22046 | Message ID: 46 | Time SentFromNIC: 55.004264 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22047 | Message ID: 47 | Time SentFromNIC: 55.018104 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22039 | Message ID: 39 | Time SentFromNIC: 55.031944 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22042 | Message ID: 42 | Time SentFromNIC: 55.045784 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22046 | Message ID: 46 | Time SentFromNIC: 55.059624 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22047 | Message ID: 47 | Time SentFromNIC: 55.073464 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22049 | Message ID: 49 | Time SentFromNIC: 55.087304 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22051 | Message ID: 51 | Time SentFromNIC: 55.101144 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22052 | Message ID: 52 | Time SentFromNIC: 55.114984 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22050 | Message ID: 50 | Time SentFromNIC: 55.128824 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22049 | Message ID: 49 | Time SentFromNIC: 55.142664 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22052 | Message ID: 52 | Time SentFromNIC: 55.156504 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22054 | Message ID: 54 | Time SentFromNIC: 55.170344 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22055 | Message ID: 55 | Time SentFromNIC: 55.184184 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22032 | Message ID: 32 | Time SentFromNIC: 55.198024 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22043 | Message ID: 43 | Time SentFromNIC: 55.211864 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22031 | Message ID: 31 | Time SentFromNIC: 55.225704 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22048 | Message ID: 48 | Time SentFromNIC: 55.239544 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22050 | Message ID: 50 | Time SentFromNIC: 55.253384 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22051 | Message ID: 51 | Time SentFromNIC: 55.267224 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22053 | Message ID: 53 | Time SentFromNIC: 55.281064 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22054 | Message ID: 54 | Time SentFromNIC: 55.294904 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22048 | Message ID: 48 | Time SentFromNIC: 55.308744 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node4/item-22053 | Message ID: 53 | Time SentFromNIC: 55.322584 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22063 | Message ID: 63 | Time SentFromNIC: 62.433687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22064 | Message ID: 64 | Time SentFromNIC: 66.783687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22065 | Message ID: 65 | Time SentFromNIC: 66.797527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22066 | Message ID: 66 | Time SentFromNIC: 66.811367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22067 | Message ID: 67 | Time SentFromNIC: 66.825207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22066 | Message ID: 66 | Time SentFromNIC: 71.083687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22067 | Message ID: 67 | Time SentFromNIC: 71.097527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22068 | Message ID: 68 | Time SentFromNIC: 71.111367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22069 | Message ID: 69 | Time SentFromNIC: 71.125207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22070 | Message ID: 70 | Time SentFromNIC: 71.139047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22071 | Message ID: 71 | Time SentFromNIC: 71.152887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22066 | Message ID: 66 | Time SentFromNIC: 71.633687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22067 | Message ID: 67 | Time SentFromNIC: 71.647527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22069 | Message ID: 69 | Time SentFromNIC: 71.661367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22070 | Message ID: 70 | Time SentFromNIC: 71.675207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 71.689047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22066 | Message ID: 66 | Time SentFromNIC: 73.783687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22067 | Message ID: 67 | Time SentFromNIC: 73.797527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22069 | Message ID: 69 | Time SentFromNIC: 73.811367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22070 | Message ID: 70 | Time SentFromNIC: 73.825207 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 73.839047 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22073 | Message ID: 73 | Time SentFromNIC: 73.852887 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 73.866727 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22066 | Message ID: 66 | Time SentFromNIC: 75.933687 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22072 | Message ID: 72 | Time SentFromNIC: 75.947527 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22074 | Message ID: 74 | Time SentFromNIC: 75.961367 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22075 | Message ID: 75 | Time SentFromNIC: 75.975207 | End 
