RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Sun Oct 27 23:45:29 2019
elapsed time: 6.8e-08s
Source: Wf:00:00:00:00:02 | Message ID: 13 | Time SentFromSrc: 15.820224 |End 
Source: Wf:00:00:00:00:02 | Message ID: 14 | Time SentFromSrc: 15.820224 |End 
Source: Wf:00:00:00:00:02 | Message ID: 15 | Time SentFromSrc: 15.820224 |End 
Source: Wf:00:00:00:00:02 | Message ID: 16 | Time SentFromSrc: 15.820224 |End 
Source: Wf:00:00:00:00:02 | Message ID: 13 | Time SentFromSrc: 17.969847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 16 | Time SentFromSrc: 17.969847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 17 | Time SentFromSrc: 17.969847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 18 | Time SentFromSrc: 17.969847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 17 | Time SentFromSrc: 20.119847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 20.119847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 20 | Time SentFromSrc: 20.119847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 21 | Time SentFromSrc: 20.119847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 22 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 23 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 24 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 25 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 26 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 27 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 29 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 30 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 31 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 32 | Time SentFromSrc: 31.569847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 22 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 23 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 25 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 29 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 33 | Time SentFromSrc: 32.259614 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 33.719847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 23 | Time SentFromSrc: 33.719847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 33.719847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 33 | Time SentFromSrc: 33.719847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 34 | Time SentFromSrc: 33.719847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 34.269847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 23 | Time SentFromSrc: 34.269847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 34.269847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 33 | Time SentFromSrc: 34.269847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 34 | Time SentFromSrc: 34.269847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 35 | Time SentFromSrc: 34.269847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 37.619847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 37.619847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 35 | Time SentFromSrc: 37.619847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 36 | Time SentFromSrc: 37.619847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 37 | Time SentFromSrc: 37.619847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 38 | Time SentFromSrc: 37.619847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 35 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 38 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 39 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 36 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 37 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 39.769847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 41.369847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 35 | Time SentFromSrc: 41.369847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 36 | Time SentFromSrc: 41.369847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 41.369847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 41 | Time SentFromSrc: 41.369847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 42 | Time SentFromSrc: 41.369847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 43.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 35 | Time SentFromSrc: 43.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 36 | Time SentFromSrc: 43.519847 |End 
Source: Wf:00:00:00:00:02 | Message ID: 41 | Time SentFromSrc: 43.519847 |End 
