Weight: 43 | Time now: 1.665110 |End 
Weight: 43 | Time now: 5.115110 |End 
Weight: 43 | Time now: 6.715110 |End 
Weight: 43 | Time now: 7.265110 |End 
Weight: 43 | Time now: 9.165110 |End 
Weight: 43 | Time now: 11.315110 |End 
Weight: 43 | Time now: 14.515110 |End 
Weight: 43 | Time now: 16.065110 |End 
Weight: 43 | Time now: 16.615110 |End 
Weight: 43 | Time now: 18.765110 |End 
Weight: 43 | Time now: 22.265110 |End 
Weight: 43 | Time now: 22.815110 |End 
Weight: 43 | Time now: 23.365110 |End 
Weight: 43 | Time now: 28.715110 |End 
Weight: 43 | Time now: 29.265110 |End 
Weight: 43 | Time now: 36.215110 |End 
Weight: 43 | Time now: 37.815110 |End 
Weight: 43 | Time now: 39.415110 |End 
Weight: 43 | Time now: 41.015110 |End 
Weight: 43 | Time now: 44.515110 |End 
Weight: 43 | Time now: 46.665110 |End 
Weight: 43 | Time now: 48.265110 |End 
Weight: 43 | Time now: 51.765110 |End 
Weight: 43 | Time now: 53.365110 |End 
Weight: 43 | Time now: 56.565110 |End 
Weight: 43 | Time now: 58.165110 |End 
Weight: 43 | Time now: 61.665110 |End 
Weight: 43 | Time now: 62.215110 |End 
Weight: 43 | Time now: 63.815110 |End 
Weight: 43 | Time now: 65.415110 |End 
Weight: 43 | Time now: 65.965110 |End 
Weight: 43 | Time now: 66.515110 |End 
Weight: 43 | Time now: 67.065110 |End 
Weight: 43 | Time now: 69.215110 |End 
Weight: 43 | Time now: 69.765110 |End 
Weight: 43 | Time now: 73.515110 |End 
Weight: 43 | Time now: 74.065110 |End 
Weight: 43 | Time now: 75.665110 |End 
Weight: 43 | Time now: 77.565110 |End 
Weight: 43 | Time now: 79.165110 |End 
Weight: 43 | Time now: 80.765110 |End 
Weight: 43 | Time now: 81.315110 |End 
Weight: 43 | Time now: 83.465110 |End 
Weight: 43 | Time now: 84.015110 |End 
Weight: 43 | Time now: 84.565110 |End 
Weight: 43 | Time now: 85.115110 |End 
Weight: 43 | Time now: 85.665110 |End 
Weight: 43 | Time now: 87.265110 |End 
Weight: 43 | Time now: 87.815110 |End 
Weight: 43 | Time now: 91.015110 |End 
Weight: 43 | Time now: 92.615110 |End 
Weight: 43 | Time now: 93.165110 |End 
Weight: 43 | Time now: 93.715110 |End 
Weight: 43 | Time now: 94.265110 |End 
Weight: 43 | Time now: 94.815110 |End 
Weight: 43 | Time now: 96.965110 |End 
Weight: 43 | Time now: 98.565110 |End 
Weight: 43 | Time now: 99.115110 |End 
Weight: 43 | Time now: 101.265110 |End 
Weight: 43 | Time now: 102.865110 |End 
Weight: 43 | Time now: 105.015110 |End 
Weight: 43 | Time now: 105.565110 |End 
Weight: 43 | Time now: 107.165110 |End 
Weight: 43 | Time now: 107.715110 |End 
Weight: 43 | Time now: 108.265110 |End 
Weight: 43 | Time now: 109.865110 |End 
Weight: 43 | Time now: 110.415110 |End 
Weight: 43 | Time now: 110.965110 |End 
Weight: 43 | Time now: 112.565110 |End 
Weight: 43 | Time now: 113.115110 |End 
Weight: 43 | Time now: 116.615110 |End 
Weight: 43 | Time now: 118.215110 |End 
Weight: 43 | Time now: 119.815110 |End 
Weight: 43 | Time now: 121.415110 |End 
Weight: 43 | Time now: 121.965110 |End 
Weight: 43 | Time now: 123.565110 |End 
Weight: 43 | Time now: 125.165110 |End 
Weight: 43 | Time now: 125.715110 |End 
Weight: 43 | Time now: 127.315110 |End 
Weight: 43 | Time now: 129.215110 |End 
Weight: 43 | Time now: 134.565110 |End 
Weight: 43 | Time now: 136.715110 |End 
Weight: 43 | Time now: 143.665110 |End 
Weight: 43 | Time now: 145.265110 |End 
Weight: 43 | Time now: 146.865110 |End 
Weight: 43 | Time now: 148.465110 |End 
Weight: 43 | Time now: 151.965110 |End 
Weight: 43 | Time now: 152.515110 |End 
Weight: 43 | Time now: 153.065110 |End 
Weight: 43 | Time now: 154.665110 |End 
Weight: 43 | Time now: 156.265110 |End 
Weight: 43 | Time now: 156.815110 |End 
Weight: 43 | Time now: 157.365110 |End 
Weight: 43 | Time now: 157.915110 |End 
Weight: 43 | Time now: 158.465110 |End 
Weight: 43 | Time now: 159.015110 |End 
Weight: 43 | Time now: 161.165110 |End 
Weight: 43 | Time now: 162.765110 |End 
Weight: 43 | Time now: 163.315110 |End 
Weight: 43 | Time now: 165.465110 |End 
Weight: 43 | Time now: 166.015110 |End 
Weight: 43 | Time now: 166.565110 |End 
Weight: 43 | Time now: 171.915110 |End 
Weight: 43 | Time now: 173.815110 |End 
Weight: 43 | Time now: 174.365110 |End 
Weight: 43 | Time now: 175.965110 |End 
Weight: 43 | Time now: 176.515110 |End 
Weight: 43 | Time now: 177.065110 |End 
Weight: 43 | Time now: 180.565110 |End 
Weight: 43 | Time now: 181.115110 |End 
Weight: 43 | Time now: 181.665110 |End 
Weight: 43 | Time now: 185.415110 |End 
Weight: 43 | Time now: 185.965110 |End 
Weight: 43 | Time now: 186.515110 |End 
Weight: 43 | Time now: 187.065110 |End 
Weight: 43 | Time now: 189.215110 |End 
Weight: 43 | Time now: 191.365110 |End 
Weight: 43 | Time now: 192.965110 |End 
Weight: 43 | Time now: 194.565110 |End 
Weight: 43 | Time now: 196.465110 |End 
Weight: 43 | Time now: 197.015110 |End 
Weight: 43 | Time now: 198.615110 |End 
