0->100.000000 | 2->97.000000 => 12.000000
0->100.000000 | 2->96.000000 => 12.000000
0->100.000000 | 2->96.000000 => 12.000000
0->100.000000 | 2->96.000000 => 12.000000
0->100.000000 | 2->97.000000 => 12.000000
1->100.000000 | 0->98.000000 => 22.000000
1->100.000000 | 0->98.000000 => 22.000000
1->100.000000 | 0->98.000000 => 22.000000
1->100.000000 | 0->98.000000 => 22.000000
1->100.000000 | 0->98.000000 => 27.000000
3->100.000000 | 1->94.000000 => 37.000000
3->100.000000 | 1->94.000000 => 37.000000
3->100.000000 | 1->94.000000 => 37.000000
3->100.000000 | 1->94.000000 => 42.000000
3->100.000000 | 1->94.000000 => 42.000000
4->100.000000 | 3->98.000000 => 47.000000
4->100.000000 | 3->98.000000 => 47.000000
4->100.000000 | 3->98.000000 => 47.000000
4->100.000000 | 3->98.000000 => 47.000000
4->100.000000 | 3->98.000000 => 47.000000
0->98.000000 | 4->98.000000 => 52.000000
0->98.000000 | 4->98.000000 => 52.000000
0->98.000000 | 4->98.000000 => 52.000000
0->98.000000 | 4->98.000000 => 57.000000
0->98.000000 | 4->98.000000 => 57.000000
3->98.000000 | 0->95.000000 => 62.000000
3->98.000000 | 0->97.000000 => 62.000000
3->98.000000 | 0->97.000000 => 62.000000
3->98.000000 | 0->97.000000 => 62.000000
3->98.000000 | 0->97.000000 => 62.000000
4->98.000000 | 3->97.000000 => 67.000000
4->98.000000 | 3->96.000000 => 67.000000
4->98.000000 | 3->96.000000 => 67.000000
4->98.000000 | 3->96.000000 => 67.000000
4->98.000000 | 3->96.000000 => 67.000000
2->96.000000 | 4->95.000000 => 72.000000
2->96.000000 | 4->95.000000 => 72.000000
2->96.000000 | 4->95.000000 => 72.000000
2->96.000000 | 4->95.000000 => 72.000000
2->96.000000 | 4->95.000000 => 72.000000
3->96.000000 | 2->95.000000 => 77.000000
3->96.000000 | 2->95.000000 => 77.000000
3->96.000000 | 2->95.000000 => 77.000000
3->96.000000 | 2->95.000000 => 77.000000
3->96.000000 | 2->95.000000 => 82.000000
2->95.000000 | 3->94.000000 => 87.000000
2->95.000000 | 3->94.000000 => 87.000000
2->95.000000 | 3->94.000000 => 87.000000
2->95.000000 | 3->93.000000 => 87.000000
2->95.000000 | 3->94.000000 => 87.000000
0->95.000000 | 2->93.000000 => 92.000000
0->95.000000 | 2->93.000000 => 92.000000
0->95.000000 | 2->93.000000 => 97.000000
0->95.000000 | 2->93.000000 => 97.000000
0->95.000000 | 2->93.000000 => 97.000000
4->95.000000 | 0->92.000000 => 112.000000
4->95.000000 | 0->92.000000 => 112.000000
4->95.000000 | 0->92.000000 => 117.000000
4->95.000000 | 0->92.000000 => 117.000000
4->95.000000 | 0->92.000000 => 117.000000
1->94.000000 | 4->94.000000 => 132.000000
1->94.000000 | 4->94.000000 => 132.000000
1->94.000000 | 4->94.000000 => 132.000000
1->94.000000 | 4->94.000000 => 132.000000
1->94.000000 | 4->94.000000 => 132.000000
4->94.000000 | 1->93.000000 => 137.000000
4->94.000000 | 1->93.000000 => 137.000000
4->94.000000 | 1->93.000000 => 137.000000
4->94.000000 | 1->93.000000 => 137.000000
4->94.000000 | 1->93.000000 => 137.000000
2->93.000000 | 4->93.000000 => 142.000000
2->93.000000 | 4->93.000000 => 147.000000
2->93.000000 | 4->93.000000 => 147.000000
2->93.000000 | 4->93.000000 => 147.000000
2->93.000000 | 4->93.000000 => 152.000000
