Sent  | Time SentFromHere: 1.114800 | End 
Sent  | Time SentFromHere: 1.129600 | End 
Sent  | Time SentFromHere: 1.144400 | End 
Sent  | Time SentFromHere: 1.159200 | End 
Sent  | Time SentFromHere: 1.163840 | End 
Sent  | Time SentFromHere: 1.168480 | End 
Sent  | Time SentFromHere: 1.173120 | End 
Sent  | Time SentFromHere: 1.177760 | End 
Sent  | Time SentFromHere: 1.664800 | End 
Sent  | Time SentFromHere: 1.679600 | End 
Sent  | Time SentFromHere: 1.694400 | End 
Sent  | Time SentFromHere: 1.709200 | End 
Sent  | Time SentFromHere: 1.713840 | End 
Sent  | Time SentFromHere: 1.718480 | End 
Sent  | Time SentFromHere: 1.723120 | End 
Sent  | Time SentFromHere: 1.727760 | End 
Sent  | Time SentFromHere: 2.214800 | End 
Sent  | Time SentFromHere: 2.229600 | End 
Sent  | Time SentFromHere: 2.244400 | End 
Sent  | Time SentFromHere: 2.259200 | End 
Sent  | Time SentFromHere: 2.263840 | End 
Sent  | Time SentFromHere: 2.268480 | End 
Sent  | Time SentFromHere: 2.273120 | End 
Sent  | Time SentFromHere: 2.277760 | End 
Sent  | Time SentFromHere: 2.764800 | End 
Sent  | Time SentFromHere: 2.779600 | End 
Sent  | Time SentFromHere: 2.794400 | End 
Sent  | Time SentFromHere: 2.809200 | End 
Sent  | Time SentFromHere: 2.813840 | End 
Sent  | Time SentFromHere: 2.818480 | End 
Sent  | Time SentFromHere: 2.823120 | End 
Sent  | Time SentFromHere: 2.827760 | End 
Sent  | Time SentFromHere: 3.314800 | End 
Sent  | Time SentFromHere: 3.329600 | End 
Sent  | Time SentFromHere: 3.344400 | End 
Sent  | Time SentFromHere: 3.359200 | End 
Sent  | Time SentFromHere: 3.363840 | End 
Sent  | Time SentFromHere: 3.368480 | End 
Sent  | Time SentFromHere: 3.373120 | End 
Sent  | Time SentFromHere: 3.377760 | End 
Sent  | Time SentFromHere: 3.864800 | End 
Sent  | Time SentFromHere: 3.879600 | End 
Sent  | Time SentFromHere: 3.894400 | End 
