Weight: 49 | Time now: 1.159506 |End 
Weight: 49 | Time now: 1.815106 |End 
Weight: 49 | Time now: 3.415106 |End 
Weight: 49 | Time now: 3.979906 |End 
Weight: 49 | Time now: 6.109506 |End 
Weight: 49 | Time now: 6.659506 |End 
Weight: 49 | Time now: 7.194706 |End 
Weight: 49 | Time now: 9.315106 |End 
Weight: 49 | Time now: 14.415106 |End 
Weight: 49 | Time now: 14.965106 |End 
Weight: 49 | Time now: 15.515106 |End 
Weight: 49 | Time now: 19.279906 |End 
Weight: 49 | Time now: 19.829906 |End 
Weight: 49 | Time now: 20.379906 |End 
Weight: 49 | Time now: 20.929906 |End 
Weight: 49 | Time now: 23.065106 |End 
Weight: 49 | Time now: 23.615106 |End 
Weight: 49 | Time now: 25.215106 |End 
Weight: 49 | Time now: 25.765106 |End 
Weight: 49 | Time now: 26.315106 |End 
Weight: 49 | Time now: 26.865106 |End 
Weight: 49 | Time now: 28.465106 |End 
Weight: 49 | Time now: 29.015106 |End 
Weight: 49 | Time now: 29.565106 |End 
Weight: 49 | Time now: 31.179906 |End 
Weight: 49 | Time now: 32.765106 |End 
Weight: 49 | Time now: 33.329906 |End 
Weight: 49 | Time now: 36.815106 |End 
Weight: 49 | Time now: 37.365106 |End 
Weight: 49 | Time now: 38.965106 |End 
Weight: 49 | Time now: 42.465106 |End 
Weight: 49 | Time now: 46.229906 |End 
Weight: 49 | Time now: 46.779906 |End 
Weight: 49 | Time now: 48.379906 |End 
Weight: 49 | Time now: 48.929906 |End 
Weight: 49 | Time now: 50.515106 |End 
Weight: 49 | Time now: 51.065106 |End 
Weight: 49 | Time now: 53.215106 |End 
Weight: 49 | Time now: 53.765106 |End 
Weight: 49 | Time now: 54.315106 |End 
Weight: 49 | Time now: 56.465106 |End 
Weight: 49 | Time now: 59.965106 |End 
Weight: 49 | Time now: 61.565106 |End 
Weight: 49 | Time now: 62.115106 |End 
Weight: 49 | Time now: 62.665106 |End 
Weight: 49 | Time now: 63.215106 |End 
Weight: 49 | Time now: 66.715106 |End 
Weight: 49 | Time now: 70.479906 |End 
Weight: 49 | Time now: 71.029906 |End 
Weight: 49 | Time now: 72.615106 |End 
Weight: 49 | Time now: 74.529906 |End 
Weight: 49 | Time now: 75.079906 |End 
Weight: 49 | Time now: 75.615106 |End 
Weight: 49 | Time now: 76.165106 |End 
Weight: 49 | Time now: 76.715106 |End 
Weight: 49 | Time now: 78.865106 |End 
Weight: 49 | Time now: 79.415106 |End 
Weight: 49 | Time now: 79.965106 |End 
Weight: 49 | Time now: 80.515106 |End 
Weight: 49 | Time now: 82.665106 |End 
Weight: 49 | Time now: 83.215106 |End 
Weight: 49 | Time now: 83.765106 |End 
Weight: 49 | Time now: 84.315106 |End 
Weight: 49 | Time now: 85.915106 |End 
Weight: 49 | Time now: 89.415106 |End 
