RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 03:08:44 2019
elapsed time: 4.4e-08s
Source: /app/node2/item-22086 | Message ID: 86 | Time sentFromSrcR: 86.319847 | Time receivedFromSrcR: 86.333977 |End 
Source: /app/node0/item-22077 | Message ID: 77 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 86.361657 |End 
Source: /app/node0/item-22085 | Message ID: 85 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 86.375497 |End 
Source: /app/node0/item-22086 | Message ID: 86 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 86.389337 |End 
Source: /app/node3/item-22084 | Message ID: 84 | Time sentFromSrcR: 85.069847 | Time receivedFromSrcR: 86.403177 |End 
Source: /app/node3/item-22085 | Message ID: 85 | Time sentFromSrcR: 85.069847 | Time receivedFromSrcR: 86.417017 |End 
Source: /app/node2/item-22087 | Message ID: 87 | Time sentFromSrcR: 86.319847 | Time receivedFromSrcR: 86.430857 |End 
Source: /app/node2/item-22086 | Message ID: 86 | Time sentFromSrcR: 87.919847 | Time receivedFromSrcR: 87.933977 |End 
Source: /app/node0/item-22077 | Message ID: 77 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 87.961657 |End 
Source: /app/node0/item-22085 | Message ID: 85 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 87.975497 |End 
Source: /app/node0/item-22086 | Message ID: 86 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 87.989337 |End 
Source: /app/node3/item-22084 | Message ID: 84 | Time sentFromSrcR: 85.069847 | Time receivedFromSrcR: 88.003177 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.919847 | Time receivedFromSrcR: 88.017017 |End 
Source: /app/node3/item-22085 | Message ID: 85 | Time sentFromSrcR: 87.769847 | Time receivedFromSrcR: 88.030857 |End 
Source: /app/node0/item-22085 | Message ID: 85 | Time sentFromSrcR: 85.919847 | Time receivedFromSrcR: 89.547817 |End 
Source: /app/node3/item-22085 | Message ID: 85 | Time sentFromSrcR: 87.769847 | Time receivedFromSrcR: 89.575497 |End 
Source: /app/node2/item-22089 | Message ID: 89 | Time sentFromSrcR: 89.519847 | Time receivedFromSrcR: 89.589337 |End 
Source: /app/node3/item-22084 | Message ID: 84 | Time sentFromSrcR: 88.319847 | Time receivedFromSrcR: 89.603177 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 88.819847 | Time receivedFromSrcR: 89.617017 |End 
Source: /app/node2/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.519847 | Time receivedFromSrcR: 89.630857 |End 
Source: /app/node4/item-22087 | Message ID: 87 | Time sentFromSrcR: 89.369847 | Time receivedFromSrcR: 89.644697 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time sentFromSrcR: 89.369847 | Time receivedFromSrcR: 89.658537 |End 
Source: /app/node3/item-22084 | Message ID: 84 | Time sentFromSrcR: 88.319847 | Time receivedFromSrcR: 92.761657 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.369847 | Time receivedFromSrcR: 92.789337 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 92.817017 |End 
Source: /app/node1/item-22084 | Message ID: 84 | Time sentFromSrcR: 91.369847 | Time receivedFromSrcR: 92.830857 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 91.519847 | Time receivedFromSrcR: 92.886217 |End 
Source: /app/node4/item-22089 | Message ID: 89 | Time sentFromSrcR: 91.519847 | Time receivedFromSrcR: 92.900057 |End 
Source: /app/node4/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.519847 | Time receivedFromSrcR: 92.927737 |End 
Source: /app/node3/item-22088 | Message ID: 88 | Time sentFromSrcR: 92.069847 | Time receivedFromSrcR: 92.941577 |End 
Source: /app/node3/item-22090 | Message ID: 90 | Time sentFromSrcR: 92.069847 | Time receivedFromSrcR: 92.969257 |End 
Source: /app/node3/item-22091 | Message ID: 91 | Time sentFromSrcR: 92.069847 | Time receivedFromSrcR: 92.983097 |End 
Source: /app/node3/item-22087 | Message ID: 87 | Time sentFromSrcR: 92.619847 | Time receivedFromSrcR: 93.010777 |End 
Source: /app/node3/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.619847 | Time receivedFromSrcR: 93.038457 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time sentFromSrcR: 96.769847 | Time receivedFromSrcR: 96.797817 |End 
Source: /app/node3/item-22084 | Message ID: 84 | Time sentFromSrcR: 88.319847 | Time receivedFromSrcR: 96.811657 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time sentFromSrcR: 89.369847 | Time receivedFromSrcR: 96.825497 |End 
Source: /app/node1/item-22084 | Message ID: 84 | Time sentFromSrcR: 91.369847 | Time receivedFromSrcR: 96.853177 |End 
Source: /app/node1/item-22088 | Message ID: 88 | Time sentFromSrcR: 91.369847 | Time receivedFromSrcR: 96.867017 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 91.369847 | Time receivedFromSrcR: 96.880857 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 91.519847 | Time receivedFromSrcR: 96.908537 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time sentFromSrcR: 91.519847 | Time receivedFromSrcR: 96.922377 |End 
