RESULTS Received DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Mon Oct 28 03:08:44 2019
elapsed time: 4.4e-08s
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22084 | Message ID: 84 | Time Received Here: 85.797817 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22085 | Message ID: 85 | Time Received Here: 85.811657 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22086 | Message ID: 86 | Time Received Here: 86.333977 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22077 | Message ID: 77 | Time Received Here: 86.361657 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22085 | Message ID: 85 | Time Received Here: 86.375497 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22086 | Message ID: 86 | Time Received Here: 86.389337 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22084 | Message ID: 84 | Time Received Here: 86.403177 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22085 | Message ID: 85 | Time Received Here: 86.417017 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22087 | Message ID: 87 | Time Received Here: 86.430857 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22086 | Message ID: 86 | Time Received Here: 87.933977 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22077 | Message ID: 77 | Time Received Here: 87.961657 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22085 | Message ID: 85 | Time Received Here: 87.975497 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22086 | Message ID: 86 | Time Received Here: 87.989337 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:02 | Message ID: /app/node3/item-22084 | Message ID: 84 | Time Received Here: 88.003177 | End 
