Weight: 43 | Time now: 3.265110 |End 
Weight: 43 | Time now: 5.415110 |End 
Weight: 43 | Time now: 8.915110 |End 
Weight: 43 | Time now: 9.465110 |End 
Weight: 43 | Time now: 11.615110 |End 
Weight: 43 | Time now: 12.165110 |End 
Weight: 43 | Time now: 15.915110 |End 
Weight: 43 | Time now: 21.265110 |End 
Weight: 43 | Time now: 21.815110 |End 
Weight: 43 | Time now: 22.365110 |End 
Weight: 43 | Time now: 22.915110 |End 
Weight: 43 | Time now: 23.465110 |End 
Weight: 43 | Time now: 25.615110 |End 
Weight: 43 | Time now: 30.415110 |End 
Weight: 43 | Time now: 32.265110 |End 
Weight: 43 | Time now: 32.815110 |End 
Weight: 43 | Time now: 34.415110 |End 
Weight: 43 | Time now: 36.565110 |End 
Weight: 43 | Time now: 43.265110 |End 
Weight: 43 | Time now: 43.815110 |End 
Weight: 43 | Time now: 49.165110 |End 
Weight: 43 | Time now: 49.715486 |End 
Weight: 43 | Time now: 53.465110 |End 
Weight: 43 | Time now: 54.015486 |End 
Weight: 43 | Time now: 54.565110 |End 
Weight: 43 | Time now: 55.115110 |End 
Weight: 43 | Time now: 57.265110 |End 
Weight: 43 | Time now: 58.865110 |End 
Weight: 43 | Time now: 59.415110 |End 
Weight: 43 | Time now: 64.215110 |End 
Weight: 43 | Time now: 66.115110 |End 
Weight: 43 | Time now: 67.729910 |End 
Weight: 43 | Time now: 68.279910 |End 
Weight: 43 | Time now: 71.765110 |End 
Weight: 43 | Time now: 73.929910 |End 
Weight: 43 | Time now: 75.515110 |End 
Weight: 43 | Time now: 80.615110 |End 
Weight: 43 | Time now: 82.215110 |End 
Weight: 43 | Time now: 82.765110 |End 
Weight: 43 | Time now: 83.315110 |End 
Weight: 43 | Time now: 84.915110 |End 
Weight: 43 | Time now: 85.465110 |End 
Weight: 43 | Time now: 87.615110 |End 
Weight: 43 | Time now: 88.165110 |End 
Weight: 43 | Time now: 88.715110 |End 
Weight: 43 | Time now: 90.315110 |End 
Weight: 43 | Time now: 91.915110 |End 
Weight: 43 | Time now: 92.465110 |End 
Weight: 43 | Time now: 93.062557 |End 
Weight: 43 | Time now: 93.565110 |End 
Weight: 43 | Time now: 94.115110 |End 
Weight: 43 | Time now: 96.065110 |End 
Weight: 43 | Time now: 97.665110 |End 
Weight: 43 | Time now: 99.265110 |End 
Weight: 43 | Time now: 104.615110 |End 
Weight: 43 | Time now: 105.179910 |End 
Weight: 43 | Time now: 106.765110 |End 
Weight: 43 | Time now: 108.365110 |End 
Weight: 43 | Time now: 108.929910 |End 
Weight: 43 | Time now: 109.465110 |End 
Weight: 43 | Time now: 110.015110 |End 
Weight: 43 | Time now: 111.615110 |End 
Weight: 43 | Time now: 112.165110 |End 
Weight: 43 | Time now: 117.279910 |End 
Weight: 43 | Time now: 119.429910 |End 
Weight: 43 | Time now: 119.965110 |End 
Weight: 43 | Time now: 121.565110 |End 
Weight: 43 | Time now: 123.465110 |End 
Weight: 43 | Time now: 124.015110 |End 
Weight: 43 | Time now: 125.615110 |End 
Weight: 43 | Time now: 127.515110 |End 
Weight: 43 | Time now: 129.115110 |End 
Weight: 43 | Time now: 130.715110 |End 
Weight: 43 | Time now: 132.315110 |End 
Weight: 43 | Time now: 132.865110 |End 
Weight: 43 | Time now: 136.065110 |End 
Weight: 43 | Time now: 138.215110 |End 
Weight: 43 | Time now: 139.815110 |End 
Weight: 43 | Time now: 141.415110 |End 
Weight: 43 | Time now: 143.329910 |End 
Weight: 43 | Time now: 144.915110 |End 
Weight: 43 | Time now: 146.515110 |End 
Weight: 43 | Time now: 148.115110 |End 
Weight: 43 | Time now: 149.715110 |End 
Weight: 43 | Time now: 151.865110 |End 
Weight: 43 | Time now: 152.415110 |End 
Weight: 43 | Time now: 152.965110 |End 
Weight: 43 | Time now: 154.865110 |End 
Weight: 43 | Time now: 158.615110 |End 
Weight: 43 | Time now: 159.165110 |End 
Weight: 43 | Time now: 159.715110 |End 
Weight: 43 | Time now: 160.265110 |End 
Weight: 43 | Time now: 160.815110 |End 
Weight: 43 | Time now: 162.965110 |End 
Weight: 43 | Time now: 164.565110 |End 
Weight: 43 | Time now: 165.115110 |End 
Weight: 43 | Time now: 165.665110 |End 
Weight: 43 | Time now: 166.215110 |End 
Weight: 43 | Time now: 167.815110 |End 
Weight: 43 | Time now: 169.415110 |End 
Weight: 43 | Time now: 174.765110 |End 
Weight: 43 | Time now: 178.515110 |End 
Weight: 43 | Time now: 179.065110 |End 
Weight: 43 | Time now: 180.665110 |End 
Weight: 43 | Time now: 181.215110 |End 
Weight: 43 | Time now: 183.115110 |End 
Weight: 43 | Time now: 184.715110 |End 
Weight: 43 | Time now: 187.915110 |End 
Weight: 43 | Time now: 188.465110 |End 
Weight: 43 | Time now: 189.015110 |End 
Weight: 43 | Time now: 189.565110 |End 
Weight: 43 | Time now: 191.165110 |End 
Weight: 43 | Time now: 191.715110 |End 
Weight: 43 | Time now: 197.065110 |End 
Weight: 43 | Time now: 197.615110 |End 
Weight: 43 | Time now: 199.515110 |End 
