Weight: 49 | Time now: 1.159506 |End 
Weight: 49 | Time now: 1.815106 |End 
Weight: 49 | Time now: 3.415106 |End 
Weight: 49 | Time now: 3.979906 |End 
Weight: 49 | Time now: 6.109506 |End 
Weight: 49 | Time now: 6.659506 |End 
Weight: 49 | Time now: 7.194706 |End 
Weight: 49 | Time now: 9.315106 |End 
Weight: 49 | Time now: 14.415106 |End 
Weight: 49 | Time now: 14.965106 |End 
Weight: 49 | Time now: 15.515106 |End 
Weight: 49 | Time now: 19.279906 |End 
Weight: 49 | Time now: 19.829906 |End 
Weight: 49 | Time now: 20.379906 |End 
Weight: 49 | Time now: 20.929906 |End 
Weight: 49 | Time now: 23.065106 |End 
Weight: 49 | Time now: 23.615106 |End 
Weight: 49 | Time now: 25.215106 |End 
Weight: 49 | Time now: 25.765106 |End 
Weight: 49 | Time now: 26.315106 |End 
Weight: 49 | Time now: 26.865106 |End 
Weight: 49 | Time now: 28.465106 |End 
Weight: 49 | Time now: 29.015106 |End 
Weight: 49 | Time now: 29.565106 |End 
Weight: 49 | Time now: 31.179906 |End 
Weight: 49 | Time now: 32.765106 |End 
Weight: 49 | Time now: 33.329906 |End 
Weight: 49 | Time now: 35.465106 |End 
Weight: 49 | Time now: 37.065106 |End 
Weight: 49 | Time now: 40.565106 |End 
Weight: 49 | Time now: 44.329906 |End 
Weight: 49 | Time now: 45.915106 |End 
Weight: 49 | Time now: 47.515106 |End 
Weight: 49 | Time now: 49.415106 |End 
Weight: 49 | Time now: 49.965106 |End 
Weight: 49 | Time now: 50.515106 |End 
Weight: 49 | Time now: 52.665106 |End 
Weight: 49 | Time now: 53.215106 |End 
Weight: 49 | Time now: 54.815106 |End 
Weight: 49 | Time now: 55.365106 |End 
Weight: 49 | Time now: 56.965106 |End 
Weight: 49 | Time now: 57.515106 |End 
Weight: 49 | Time now: 58.065106 |End 
Weight: 49 | Time now: 58.615106 |End 
Weight: 49 | Time now: 59.165106 |End 
Weight: 49 | Time now: 59.715106 |End 
Weight: 49 | Time now: 61.315106 |End 
Weight: 49 | Time now: 64.815106 |End 
Weight: 49 | Time now: 65.365106 |End 
Weight: 49 | Time now: 65.915106 |End 
Weight: 49 | Time now: 66.465106 |End 
Weight: 49 | Time now: 67.015106 |End 
Weight: 49 | Time now: 67.565106 |End 
Weight: 49 | Time now: 68.115106 |End 
Weight: 49 | Time now: 70.279906 |End 
Weight: 49 | Time now: 70.829906 |End 
Weight: 49 | Time now: 71.379906 |End 
Weight: 49 | Time now: 73.515106 |End 
Weight: 49 | Time now: 75.679906 |End 
Weight: 49 | Time now: 76.229906 |End 
Weight: 49 | Time now: 76.779906 |End 
Weight: 49 | Time now: 77.329906 |End 
Weight: 49 | Time now: 77.879906 |End 
Weight: 49 | Time now: 80.015106 |End 
Weight: 49 | Time now: 82.165106 |End 
