RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 20:57:22 2019
elapsed time: 2.9e-08s
Source: /app/node3/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.269847 | Time receivedFromSrcR: 93.783977 |End 
Source: /app/node1/item-22088 | Message ID: 88 | Time sentFromSrcR: 88.969847 | Time receivedFromSrcR: 93.811657 |End 
Source: /app/node4/item-22088 | Message ID: 88 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 93.853177 |End 
Source: /app/node4/item-22089 | Message ID: 89 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 93.867017 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 93.880857 |End 
Source: /app/node2/item-22091 | Message ID: 91 | Time sentFromSrcR: 93.769847 | Time receivedFromSrcR: 93.894697 |End 
Source: /app/node3/item-22089 | Message ID: 89 | Time sentFromSrcR: 90.469847 | Time receivedFromSrcR: 93.908537 |End 
Source: /app/node3/item-22090 | Message ID: 90 | Time sentFromSrcR: 90.469847 | Time receivedFromSrcR: 93.922377 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time sentFromSrcR: 93.769847 | Time receivedFromSrcR: 93.936217 |End 
Source: /app/node3/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.569847 | Time receivedFromSrcR: 93.963897 |End 
Source: /app/node2/item-22093 | Message ID: 93 | Time sentFromSrcR: 93.769847 | Time receivedFromSrcR: 93.977737 |End 
Source: /app/node3/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.119847 | Time receivedFromSrcR: 93.991577 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 94.005417 |End 
Source: /app/node1/item-22092 | Message ID: 92 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 94.033097 |End 
Source: /app/node1/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 94.046937 |End 
Source: /app/node2/item-22094 | Message ID: 94 | Time sentFromSrcR: 93.769847 | Time receivedFromSrcR: 94.060777 |End 
Source: /app/node3/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.269847 | Time receivedFromSrcR: 95.384353 |End 
Source: /app/node1/item-22086 | Message ID: 86 | Time sentFromSrcR: 88.969847 | Time receivedFromSrcR: 95.398193 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 95.425873 |End 
Source: /app/node3/item-22091 | Message ID: 91 | Time sentFromSrcR: 91.569847 | Time receivedFromSrcR: 95.439713 |End 
Source: /app/node3/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.119847 | Time receivedFromSrcR: 95.481233 |End 
Source: /app/node1/item-22090 | Message ID: 90 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 95.495073 |End 
Source: /app/node1/item-22093 | Message ID: 93 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 95.508913 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.536593 |End 
Source: /app/node4/item-22092 | Message ID: 92 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.550433 |End 
Source: /app/node4/item-22094 | Message ID: 94 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.564273 |End 
Source: /app/node4/item-22095 | Message ID: 95 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.578113 |End 
Source: /app/node1/item-22088 | Message ID: 88 | Time sentFromSrcR: 94.869847 | Time receivedFromSrcR: 95.591953 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 94.869847 | Time receivedFromSrcR: 95.605793 |End 
Source: /app/node1/item-22095 | Message ID: 95 | Time sentFromSrcR: 94.869847 | Time receivedFromSrcR: 95.633473 |End 
Source: /app/node2/item-22096 | Message ID: 96 | Time sentFromSrcR: 95.370224 | Time receivedFromSrcR: 95.647313 |End 
