RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 20:57:22 2019
elapsed time: 5.1e-08s
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22088 | Message ID: 88 | Time SentFromNIC: 88.983687 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22088 | Message ID: 88 | Time SentFromNIC: 88.997527 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22089 | Message ID: 89 | Time SentFromNIC: 89.011367 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22088 | Message ID: 88 | Time SentFromNIC: 93.783687 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22086 | Message ID: 86 | Time SentFromNIC: 93.797527 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22088 | Message ID: 88 | Time SentFromNIC: 93.811367 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22090 | Message ID: 90 | Time SentFromNIC: 93.825207 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22086 | Message ID: 86 | Time SentFromNIC: 93.839047 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22088 | Message ID: 88 | Time SentFromNIC: 93.852887 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22089 | Message ID: 89 | Time SentFromNIC: 93.866727 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22090 | Message ID: 90 | Time SentFromNIC: 93.880567 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22091 | Message ID: 91 | Time SentFromNIC: 93.894407 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22089 | Message ID: 89 | Time SentFromNIC: 93.908247 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22090 | Message ID: 90 | Time SentFromNIC: 93.922087 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22092 | Message ID: 92 | Time SentFromNIC: 93.935927 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22091 | Message ID: 91 | Time SentFromNIC: 93.949767 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22092 | Message ID: 92 | Time SentFromNIC: 93.963607 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22093 | Message ID: 93 | Time SentFromNIC: 93.977447 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22093 | Message ID: 93 | Time SentFromNIC: 93.991287 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22089 | Message ID: 89 | Time SentFromNIC: 94.005127 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22090 | Message ID: 90 | Time SentFromNIC: 94.018967 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22092 | Message ID: 92 | Time SentFromNIC: 94.032807 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22093 | Message ID: 93 | Time SentFromNIC: 94.046647 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22094 | Message ID: 94 | Time SentFromNIC: 94.060487 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22088 | Message ID: 88 | Time SentFromNIC: 95.384064 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22086 | Message ID: 86 | Time SentFromNIC: 95.397904 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22090 | Message ID: 90 | Time SentFromNIC: 95.411744 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22086 | Message ID: 86 | Time SentFromNIC: 95.425584 | End 
