Weight: 43 | Time now: 1.129910 |End 
Weight: 43 | Time now: 1.815110 |End 
Weight: 43 | Time now: 3.965110 |End 
Weight: 43 | Time now: 7.715110 |End 
Weight: 43 | Time now: 8.265110 |End 
Weight: 43 | Time now: 8.815486 |End 
Weight: 43 | Time now: 9.365486 |End 
Weight: 43 | Time now: 11.515110 |End 
Weight: 43 | Time now: 12.079910 |End 
Weight: 43 | Time now: 13.679910 |End 
Weight: 43 | Time now: 15.279910 |End 
Weight: 43 | Time now: 15.830286 |End 
Weight: 43 | Time now: 16.315110 |End 
Weight: 43 | Time now: 16.865110 |End 
Weight: 43 | Time now: 17.415110 |End 
Weight: 43 | Time now: 17.980286 |End 
Weight: 43 | Time now: 18.529910 |End 
Weight: 43 | Time now: 19.065110 |End 
Weight: 43 | Time now: 22.265110 |End 
Weight: 43 | Time now: 23.865110 |End 
Weight: 43 | Time now: 25.479910 |End 
Weight: 43 | Time now: 28.665110 |End 
Weight: 43 | Time now: 31.865110 |End 
Weight: 43 | Time now: 33.965110 |End 
Weight: 43 | Time now: 37.165110 |End 
Weight: 43 | Time now: 42.265110 |End 
Weight: 43 | Time now: 42.815110 |End 
Weight: 43 | Time now: 44.965110 |End 
Weight: 43 | Time now: 45.515110 |End 
Weight: 43 | Time now: 47.665110 |End 
Weight: 43 | Time now: 49.815486 |End 
Weight: 43 | Time now: 53.565110 |End 
Weight: 43 | Time now: 54.115110 |End 
Weight: 43 | Time now: 57.315110 |End 
Weight: 43 | Time now: 57.865110 |End 
Weight: 43 | Time now: 59.765110 |End 
Weight: 43 | Time now: 61.915110 |End 
Weight: 43 | Time now: 63.515110 |End 
Weight: 43 | Time now: 67.015110 |End 
Weight: 43 | Time now: 67.565110 |End 
Weight: 43 | Time now: 71.315110 |End 
Weight: 43 | Time now: 71.865110 |End 
Weight: 43 | Time now: 74.015110 |End 
Weight: 43 | Time now: 74.565110 |End 
Weight: 43 | Time now: 77.765110 |End 
Weight: 43 | Time now: 78.315110 |End 
Weight: 43 | Time now: 78.865110 |End 
Weight: 43 | Time now: 81.015110 |End 
Weight: 43 | Time now: 82.615110 |End 
Weight: 43 | Time now: 84.515110 |End 
Weight: 43 | Time now: 85.065110 |End 
Weight: 43 | Time now: 86.665110 |End 
Weight: 43 | Time now: 87.215110 |End 
Weight: 43 | Time now: 88.815110 |End 
Weight: 43 | Time now: 90.965110 |End 
Weight: 43 | Time now: 92.865110 |End 
Weight: 43 | Time now: 96.615110 |End 
Weight: 43 | Time now: 98.797910 |End 
Weight: 43 | Time now: 99.407357 |End 
Weight: 43 | Time now: 103.065110 |End 
Weight: 43 | Time now: 104.665110 |End 
Weight: 43 | Time now: 107.865110 |End 
Weight: 43 | Time now: 108.415110 |End 
Weight: 43 | Time now: 110.015110 |End 
Weight: 43 | Time now: 111.915110 |End 
Weight: 43 | Time now: 112.497197 |End 
Weight: 43 | Time now: 114.065110 |End 
Weight: 43 | Time now: 115.665110 |End 
Weight: 43 | Time now: 117.265110 |End 
Weight: 43 | Time now: 117.815110 |End 
Weight: 43 | Time now: 119.715110 |End 
Weight: 43 | Time now: 120.265110 |End 
Weight: 43 | Time now: 125.615110 |End 
Weight: 43 | Time now: 128.815110 |End 
Weight: 43 | Time now: 130.415110 |End 
Weight: 43 | Time now: 130.965110 |End 
Weight: 43 | Time now: 134.165110 |End 
Weight: 43 | Time now: 134.715110 |End 
Weight: 43 | Time now: 135.265110 |End 
Weight: 43 | Time now: 135.815110 |End 
Weight: 43 | Time now: 137.965110 |End 
Weight: 43 | Time now: 140.115110 |End 
Weight: 43 | Time now: 141.715110 |End 
Weight: 43 | Time now: 142.265110 |End 
Weight: 43 | Time now: 144.415110 |End 
Weight: 43 | Time now: 144.965110 |End 
Weight: 43 | Time now: 146.565110 |End 
Weight: 43 | Time now: 147.115110 |End 
Weight: 43 | Time now: 149.265110 |End 
Weight: 43 | Time now: 155.965110 |End 
Weight: 43 | Time now: 157.565110 |End 
Weight: 43 | Time now: 159.165110 |End 
Weight: 43 | Time now: 160.765110 |End 
Weight: 43 | Time now: 161.315110 |End 
Weight: 43 | Time now: 162.915110 |End 
Weight: 43 | Time now: 164.815110 |End 
Weight: 43 | Time now: 166.415110 |End 
Weight: 43 | Time now: 166.965110 |End 
Weight: 43 | Time now: 168.565110 |End 
Weight: 43 | Time now: 169.115110 |End 
Weight: 43 | Time now: 169.665110 |End 
Weight: 43 | Time now: 171.265110 |End 
Weight: 43 | Time now: 173.415110 |End 
Weight: 43 | Time now: 175.015110 |End 
Weight: 43 | Time now: 175.565110 |End 
Weight: 43 | Time now: 177.165110 |End 
Weight: 43 | Time now: 177.715110 |End 
Weight: 43 | Time now: 179.315110 |End 
Weight: 43 | Time now: 181.215110 |End 
Weight: 43 | Time now: 191.365110 |End 
Weight: 43 | Time now: 193.515110 |End 
Weight: 43 | Time now: 195.115110 |End 
Weight: 43 | Time now: 196.715110 |End 
Weight: 43 | Time now: 198.315110 |End 
Weight: 43 | Time now: 198.865110 |End 
