Sent  | Time SentFromHere: 1.114800 | End 
Sent  | Time SentFromHere: 1.129600 | End 
Sent  | Time SentFromHere: 1.144400 | End 
Sent  | Time SentFromHere: 1.149102 | End 
Sent  | Time SentFromHere: 1.153742 | End 
Sent  | Time SentFromHere: 1.158382 | End 
Sent  | Time SentFromHere: 1.664800 | End 
Sent  | Time SentFromHere: 1.679600 | End 
Sent  | Time SentFromHere: 1.694400 | End 
Sent  | Time SentFromHere: 1.699102 | End 
Sent  | Time SentFromHere: 1.703742 | End 
Sent  | Time SentFromHere: 1.708382 | End 
Sent  | Time SentFromHere: 2.214800 | End 
Sent  | Time SentFromHere: 2.229600 | End 
Sent  | Time SentFromHere: 2.244400 | End 
Sent  | Time SentFromHere: 2.249102 | End 
Sent  | Time SentFromHere: 2.253742 | End 
Sent  | Time SentFromHere: 2.258382 | End 
Sent  | Time SentFromHere: 2.764800 | End 
Sent  | Time SentFromHere: 2.779600 | End 
Sent  | Time SentFromHere: 2.794400 | End 
Sent  | Time SentFromHere: 2.799102 | End 
Sent  | Time SentFromHere: 2.803742 | End 
Sent  | Time SentFromHere: 2.808382 | End 
Sent  | Time SentFromHere: 3.314800 | End 
Sent  | Time SentFromHere: 3.329600 | End 
Sent  | Time SentFromHere: 3.344400 | End 
Sent  | Time SentFromHere: 3.349102 | End 
Sent  | Time SentFromHere: 3.353742 | End 
Sent  | Time SentFromHere: 3.358382 | End 
Sent  | Time SentFromHere: 3.864800 | End 
Sent  | Time SentFromHere: 3.879600 | End 
Sent  | Time SentFromHere: 3.894400 | End 
Sent  | Time SentFromHere: 3.899102 | End 
Sent  | Time SentFromHere: 3.903742 | End 
Sent  | Time SentFromHere: 3.908382 | End 
Sent  | Time SentFromHere: 4.414800 | End 
Sent  | Time SentFromHere: 4.429600 | End 
Sent  | Time SentFromHere: 4.444400 | End 
Sent  | Time SentFromHere: 4.449102 | End 
Sent  | Time SentFromHere: 4.453742 | End 
Sent  | Time SentFromHere: 4.458382 | End 
Sent  | Time SentFromHere: 4.964800 | End 
