RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:24:14 2019
elapsed time: 4.6e-08s
Source: /app/node1/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.103706 | Time receivedFromSrcR: 17.122237 |End 
Source: /app/node3/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.108340 | Time receivedFromSrcR: 17.122281 |End 
Source: /app/node0/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.649060 | Time receivedFromSrcR: 17.672218 |End 
Source: /app/node0/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.199060 | Time receivedFromSrcR: 18.222218 |End 
Source: /app/node1/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.203706 | Time receivedFromSrcR: 18.222237 |End 
Source: /app/node3/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.208340 | Time receivedFromSrcR: 18.222281 |End 
Source: /app/node0/item-22020 | Message ID: 20 | Time sentFromSrcR: 19.299060 | Time receivedFromSrcR: 19.322218 |End 
Source: /app/node1/item-22020 | Message ID: 20 | Time sentFromSrcR: 19.303706 | Time receivedFromSrcR: 19.322237 |End 
Source: /app/node3/item-22020 | Message ID: 20 | Time sentFromSrcR: 19.308340 | Time receivedFromSrcR: 19.322281 |End 
Source: /app/node0/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.399060 | Time receivedFromSrcR: 20.422218 |End 
Source: /app/node1/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.403706 | Time receivedFromSrcR: 20.422237 |End 
Source: /app/node3/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.408340 | Time receivedFromSrcR: 20.422281 |End 
Source: /app/node0/item-22048 | Message ID: 48 | Time sentFromSrcR: 47.349060 | Time receivedFromSrcR: 47.372218 |End 
Source: /app/node1/item-22048 | Message ID: 48 | Time sentFromSrcR: 47.353706 | Time receivedFromSrcR: 47.372237 |End 
Source: /app/node3/item-22048 | Message ID: 48 | Time sentFromSrcR: 47.358340 | Time receivedFromSrcR: 47.372281 |End 
Source: /app/node0/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.449060 | Time receivedFromSrcR: 48.472218 |End 
Source: /app/node1/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.453706 | Time receivedFromSrcR: 48.472237 |End 
Source: /app/node3/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.458340 | Time receivedFromSrcR: 48.472281 |End 
Source: /app/node0/item-22050 | Message ID: 50 | Time sentFromSrcR: 49.549060 | Time receivedFromSrcR: 49.572218 |End 
Source: /app/node1/item-22050 | Message ID: 50 | Time sentFromSrcR: 49.553706 | Time receivedFromSrcR: 49.572237 |End 
Source: /app/node3/item-22050 | Message ID: 50 | Time sentFromSrcR: 49.558340 | Time receivedFromSrcR: 49.572281 |End 
Source: /app/node1/item-22051 | Message ID: 51 | Time sentFromSrcR: 50.103706 | Time receivedFromSrcR: 50.122237 |End 
Source: /app/node3/item-22051 | Message ID: 51 | Time sentFromSrcR: 50.108340 | Time receivedFromSrcR: 50.122281 |End 
Source: /app/node0/item-22051 | Message ID: 51 | Time sentFromSrcR: 50.649060 | Time receivedFromSrcR: 50.672218 |End 
