RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:24:14 2019
elapsed time: 7e-08s
Source: /app/node0/item-22022 | Message ID: 22 | Time sentFromSrcR: 21.499060 | Time receivedFromSrcR: 22.072218 |End 
Source: /app/node1/item-22022 | Message ID: 22 | Time sentFromSrcR: 21.503706 | Time receivedFromSrcR: 22.086058 |End 
Source: /app/node3/item-22022 | Message ID: 22 | Time sentFromSrcR: 21.508340 | Time receivedFromSrcR: 22.099898 |End 
Source: /app/node1/item-22023 | Message ID: 23 | Time sentFromSrcR: 22.599122 | Time receivedFromSrcR: 22.622218 |End 
Source: /app/node2/item-22023 | Message ID: 23 | Time sentFromSrcR: 22.603762 | Time receivedFromSrcR: 22.622218 |End 
Source: /app/node0/item-22023 | Message ID: 23 | Time sentFromSrcR: 22.608408 | Time receivedFromSrcR: 22.622326 |End 
Source: /app/node1/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.149122 | Time receivedFromSrcR: 23.172218 |End 
Source: /app/node2/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.153762 | Time receivedFromSrcR: 23.172218 |End 
Source: /app/node0/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.158408 | Time receivedFromSrcR: 23.172326 |End 
Source: /app/node1/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.249122 | Time receivedFromSrcR: 24.272218 |End 
Source: /app/node2/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.253762 | Time receivedFromSrcR: 24.272218 |End 
Source: /app/node0/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.258408 | Time receivedFromSrcR: 24.272326 |End 
Source: /app/node1/item-22026 | Message ID: 26 | Time sentFromSrcR: 25.349122 | Time receivedFromSrcR: 25.372218 |End 
Source: /app/node2/item-22026 | Message ID: 26 | Time sentFromSrcR: 25.353762 | Time receivedFromSrcR: 25.372218 |End 
Source: /app/node0/item-22026 | Message ID: 26 | Time sentFromSrcR: 25.358408 | Time receivedFromSrcR: 25.372326 |End 
Source: /app/node1/item-22027 | Message ID: 27 | Time sentFromSrcR: 26.449122 | Time receivedFromSrcR: 26.472218 |End 
Source: /app/node2/item-22027 | Message ID: 27 | Time sentFromSrcR: 26.453762 | Time receivedFromSrcR: 26.472218 |End 
Source: /app/node0/item-22027 | Message ID: 27 | Time sentFromSrcR: 26.458408 | Time receivedFromSrcR: 26.472326 |End 
Source: /app/node1/item-22053 | Message ID: 53 | Time sentFromSrcR: 52.299122 | Time receivedFromSrcR: 52.322218 |End 
Source: /app/node2/item-22053 | Message ID: 53 | Time sentFromSrcR: 52.303762 | Time receivedFromSrcR: 52.322218 |End 
Source: /app/node0/item-22053 | Message ID: 53 | Time sentFromSrcR: 52.308408 | Time receivedFromSrcR: 52.322326 |End 
Source: /app/node1/item-22054 | Message ID: 54 | Time sentFromSrcR: 53.399122 | Time receivedFromSrcR: 53.422218 |End 
Source: /app/node2/item-22054 | Message ID: 54 | Time sentFromSrcR: 53.403762 | Time receivedFromSrcR: 53.422218 |End 
Source: /app/node0/item-22054 | Message ID: 54 | Time sentFromSrcR: 53.408408 | Time receivedFromSrcR: 53.422326 |End 
Source: /app/node1/item-22055 | Message ID: 55 | Time sentFromSrcR: 54.499122 | Time receivedFromSrcR: 54.522218 |End 
Source: /app/node2/item-22055 | Message ID: 55 | Time sentFromSrcR: 54.503762 | Time receivedFromSrcR: 54.522218 |End 
Source: /app/node0/item-22055 | Message ID: 55 | Time sentFromSrcR: 54.508408 | Time receivedFromSrcR: 54.522326 |End 
Source: /app/node1/item-22056 | Message ID: 56 | Time sentFromSrcR: 55.599122 | Time receivedFromSrcR: 55.622218 |End 
Source: /app/node2/item-22056 | Message ID: 56 | Time sentFromSrcR: 55.603762 | Time receivedFromSrcR: 55.622218 |End 
Source: /app/node0/item-22056 | Message ID: 56 | Time sentFromSrcR: 55.608408 | Time receivedFromSrcR: 55.622326 |End 
Source: /app/node1/item-22057 | Message ID: 57 | Time sentFromSrcR: 56.149122 | Time receivedFromSrcR: 56.172218 |End 
Source: /app/node2/item-22057 | Message ID: 57 | Time sentFromSrcR: 56.153762 | Time receivedFromSrcR: 56.172218 |End 
Source: /app/node0/item-22057 | Message ID: 57 | Time sentFromSrcR: 56.158408 | Time receivedFromSrcR: 56.172326 |End 
Source: /app/node0/item-22072 | Message ID: 72 | Time sentFromSrcR: 71.549060 | Time receivedFromSrcR: 72.122218 |End 
Source: /app/node0/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.108408 | Time receivedFromSrcR: 72.122326 |End 
Source: /app/node1/item-22072 | Message ID: 72 | Time sentFromSrcR: 71.553706 | Time receivedFromSrcR: 72.136058 |End 
Source: /app/node3/item-22072 | Message ID: 72 | Time sentFromSrcR: 71.558340 | Time receivedFromSrcR: 72.149898 |End 
Source: /app/node2/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.103762 | Time receivedFromSrcR: 72.163738 |End 
Source: /app/node1/item-22073 | Message ID: 73 | Time sentFromSrcR: 72.649122 | Time receivedFromSrcR: 72.672218 |End 
Source: /app/node1/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.199122 | Time receivedFromSrcR: 73.222218 |End 
Source: /app/node2/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.203762 | Time receivedFromSrcR: 73.222218 |End 
Source: /app/node0/item-22074 | Message ID: 74 | Time sentFromSrcR: 73.208408 | Time receivedFromSrcR: 73.222326 |End 
Source: /app/node1/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.299122 | Time receivedFromSrcR: 74.322218 |End 
Source: /app/node2/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.303762 | Time receivedFromSrcR: 74.322218 |End 
Source: /app/node0/item-22075 | Message ID: 75 | Time sentFromSrcR: 74.308408 | Time receivedFromSrcR: 74.322326 |End 
Source: /app/node1/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.399122 | Time receivedFromSrcR: 75.422218 |End 
Source: /app/node2/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.403762 | Time receivedFromSrcR: 75.422218 |End 
Source: /app/node0/item-22076 | Message ID: 76 | Time sentFromSrcR: 75.408408 | Time receivedFromSrcR: 75.422326 |End 
Source: /app/node1/item-22077 | Message ID: 77 | Time sentFromSrcR: 76.499122 | Time receivedFromSrcR: 76.522218 |End 
Source: /app/node0/item-22077 | Message ID: 77 | Time sentFromSrcR: 76.508408 | Time receivedFromSrcR: 76.522326 |End 
Source: /app/node1/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.499122 | Time receivedFromSrcR: 87.522218 |End 
Source: /app/node2/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.503762 | Time receivedFromSrcR: 87.522218 |End 
Source: /app/node0/item-22088 | Message ID: 88 | Time sentFromSrcR: 87.508408 | Time receivedFromSrcR: 87.522326 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time sentFromSrcR: 88.599122 | Time receivedFromSrcR: 88.622218 |End 
Source: /app/node2/item-22089 | Message ID: 89 | Time sentFromSrcR: 88.603762 | Time receivedFromSrcR: 88.622218 |End 
Source: /app/node0/item-22089 | Message ID: 89 | Time sentFromSrcR: 88.608408 | Time receivedFromSrcR: 88.622326 |End 
Source: /app/node1/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.149122 | Time receivedFromSrcR: 89.172218 |End 
Source: /app/node2/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.153762 | Time receivedFromSrcR: 89.172218 |End 
Source: /app/node0/item-22090 | Message ID: 90 | Time sentFromSrcR: 89.158408 | Time receivedFromSrcR: 89.172326 |End 
Source: /app/node1/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.249122 | Time receivedFromSrcR: 90.272218 |End 
Source: /app/node2/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.253762 | Time receivedFromSrcR: 90.272218 |End 
Source: /app/node0/item-22091 | Message ID: 91 | Time sentFromSrcR: 90.258408 | Time receivedFromSrcR: 90.272326 |End 
Source: /app/node1/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.349122 | Time receivedFromSrcR: 91.372218 |End 
Source: /app/node2/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.353762 | Time receivedFromSrcR: 91.372218 |End 
Source: /app/node0/item-22092 | Message ID: 92 | Time sentFromSrcR: 91.358408 | Time receivedFromSrcR: 91.372326 |End 
