RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:24:14 2019
elapsed time: 6e-08s
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node0/item-22013 | Message ID: 13 | Time SentFromNIC: 12.172160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node0/item-22014 | Message ID: 14 | Time SentFromNIC: 13.272160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node0/item-22015 | Message ID: 15 | Time SentFromNIC: 14.372160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node0/item-22016 | Message ID: 16 | Time SentFromNIC: 15.472160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node0/item-22017 | Message ID: 17 | Time SentFromNIC: 16.572160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22018 | Message ID: 18 | Time SentFromNIC: 17.672160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22019 | Message ID: 19 | Time SentFromNIC: 18.222160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22020 | Message ID: 20 | Time SentFromNIC: 19.322160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22021 | Message ID: 21 | Time SentFromNIC: 20.422160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node0/item-22022 | Message ID: 22 | Time SentFromNIC: 21.522160 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node0/item-22023 | Message ID: 23 | Time SentFromNIC: 22.622248 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node0/item-22024 | Message ID: 24 | Time SentFromNIC: 23.172248 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node0/item-22025 | Message ID: 25 | Time SentFromNIC: 24.272248 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node0/item-22026 | Message ID: 26 | Time SentFromNIC: 25.372248 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node0/item-22027 | Message ID: 27 | Time SentFromNIC: 26.472248 | End 
