RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:24:14 2019
elapsed time: 4.8e-08s
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22001 | Message ID: 1 | Time SentFromNIC: 6.122160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22002 | Message ID: 2 | Time SentFromNIC: 6.136000 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22003 | Message ID: 3 | Time SentFromNIC: 6.149840 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22004 | Message ID: 4 | Time SentFromNIC: 6.163680 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22005 | Message ID: 5 | Time SentFromNIC: 6.177520 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22006 | Message ID: 6 | Time SentFromNIC: 6.191360 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22007 | Message ID: 7 | Time SentFromNIC: 6.205200 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22008 | Message ID: 8 | Time SentFromNIC: 7.222160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22009 | Message ID: 9 | Time SentFromNIC: 8.322160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22010 | Message ID: 10 | Time SentFromNIC: 9.422160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22011 | Message ID: 11 | Time SentFromNIC: 10.522160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22012 | Message ID: 12 | Time SentFromNIC: 11.622186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22013 | Message ID: 13 | Time SentFromNIC: 12.172186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22014 | Message ID: 14 | Time SentFromNIC: 13.272186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22015 | Message ID: 15 | Time SentFromNIC: 14.372186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22016 | Message ID: 16 | Time SentFromNIC: 15.472186 | End 
Source: Wf:00:00:00:00:00 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node0/item-22022 | Message ID: 22 | Time SentFromNIC: 22.072160 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node1/item-22022 | Message ID: 22 | Time SentFromNIC: 22.086000 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22022 | Message ID: 22 | Time SentFromNIC: 22.099840 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22023 | Message ID: 23 | Time SentFromNIC: 22.622160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22024 | Message ID: 24 | Time SentFromNIC: 23.172160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22025 | Message ID: 25 | Time SentFromNIC: 24.272160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22026 | Message ID: 26 | Time SentFromNIC: 25.372160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22027 | Message ID: 27 | Time SentFromNIC: 26.472160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22028 | Message ID: 28 | Time SentFromNIC: 27.572160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22029 | Message ID: 29 | Time SentFromNIC: 28.122160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22030 | Message ID: 30 | Time SentFromNIC: 29.222160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22031 | Message ID: 31 | Time SentFromNIC: 30.322160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22032 | Message ID: 32 | Time SentFromNIC: 31.422160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22033 | Message ID: 33 | Time SentFromNIC: 32.522160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22034 | Message ID: 34 | Time SentFromNIC: 33.622160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22035 | Message ID: 35 | Time SentFromNIC: 34.172160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22036 | Message ID: 36 | Time SentFromNIC: 35.272160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22037 | Message ID: 37 | Time SentFromNIC: 36.372160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22038 | Message ID: 38 | Time SentFromNIC: 37.472186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22039 | Message ID: 39 | Time SentFromNIC: 38.572186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22040 | Message ID: 40 | Time SentFromNIC: 39.122186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22041 | Message ID: 41 | Time SentFromNIC: 40.222186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22042 | Message ID: 42 | Time SentFromNIC: 41.322186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22043 | Message ID: 43 | Time SentFromNIC: 42.422186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22044 | Message ID: 44 | Time SentFromNIC: 43.522186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22045 | Message ID: 45 | Time SentFromNIC: 44.622186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22046 | Message ID: 46 | Time SentFromNIC: 45.172186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22047 | Message ID: 47 | Time SentFromNIC: 46.272186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22053 | Message ID: 53 | Time SentFromNIC: 52.322160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22054 | Message ID: 54 | Time SentFromNIC: 53.422160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22055 | Message ID: 55 | Time SentFromNIC: 54.522160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22056 | Message ID: 56 | Time SentFromNIC: 55.622160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22057 | Message ID: 57 | Time SentFromNIC: 56.172160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22058 | Message ID: 58 | Time SentFromNIC: 57.272186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22059 | Message ID: 59 | Time SentFromNIC: 58.372186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22060 | Message ID: 60 | Time SentFromNIC: 59.472186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22061 | Message ID: 61 | Time SentFromNIC: 60.572186 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:01 | Message ID: /app/node2/item-22062 | Message ID: 62 | Time SentFromNIC: 61.122186 | End 
