RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:24:14 2019
elapsed time: 4.7e-08s
Source: Wf:00:00:00:00:01 | Message ID: 1 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 2 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 3 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 4 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 5 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 7 | Time SentFromSrc: 6.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 8 | Time SentFromSrc: 7.199060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 9 | Time SentFromSrc: 8.299060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 10 | Time SentFromSrc: 9.399060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 11 | Time SentFromSrc: 10.499060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 12 | Time SentFromSrc: 11.599060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 18 | Time SentFromSrc: 17.103706 |End 
Source: Wf:00:00:00:00:01 | Message ID: 19 | Time SentFromSrc: 18.203706 |End 
Source: Wf:00:00:00:00:01 | Message ID: 20 | Time SentFromSrc: 19.303706 |End 
Source: Wf:00:00:00:00:01 | Message ID: 21 | Time SentFromSrc: 20.403706 |End 
Source: Wf:00:00:00:00:01 | Message ID: 22 | Time SentFromSrc: 21.503706 |End 
Source: Wf:00:00:00:00:01 | Message ID: 23 | Time SentFromSrc: 22.599122 |End 
Source: Wf:00:00:00:00:01 | Message ID: 24 | Time SentFromSrc: 23.149122 |End 
Source: Wf:00:00:00:00:01 | Message ID: 25 | Time SentFromSrc: 24.249122 |End 
Source: Wf:00:00:00:00:01 | Message ID: 26 | Time SentFromSrc: 25.349122 |End 
Source: Wf:00:00:00:00:01 | Message ID: 27 | Time SentFromSrc: 26.449122 |End 
Source: Wf:00:00:00:00:01 | Message ID: 28 | Time SentFromSrc: 27.549060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 29 | Time SentFromSrc: 28.649060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 28 | Time SentFromSrc: 28.649060 |End 
