1->86.500000 | 0->85.500000 => 11.500000
1->86.500000 | 0->85.500000 => 12.000000
1->86.500000 | 0->85.500000 => 12.000000
1->86.500000 | 0->85.500000 => 12.000000
2->86.500000 | 1->86.000000 => 16.500000
2->86.500000 | 1->86.000000 => 17.000000
2->86.500000 | 1->86.000000 => 17.000000
2->86.500000 | 1->86.000000 => 17.000000
3->86.500000 | 2->86.000000 => 21.500000
3->86.500000 | 2->86.000000 => 22.000000
3->86.500000 | 2->86.000000 => 22.000000
3->86.500000 | 2->86.000000 => 22.000000
0->85.500000 | 3->86.000000 => 26.500000
1->86.000000 | 3->86.000000 => 27.000000
0->85.500000 | 3->86.000000 => 27.000000
0->85.500000 | 3->85.500000 => 27.000000
0->85.500000 | 1->86.000000 => 32.000000
1->86.000000 | 0->84.000000 => 36.500000
1->86.000000 | 0->84.000000 => 37.000000
1->86.000000 | 0->84.000000 => 37.000000
1->86.000000 | 0->84.000000 => 37.000000
2->86.000000 | 1->85.000000 => 46.500000
2->86.000000 | 1->85.000000 => 47.000000
2->86.000000 | 1->85.000000 => 47.000000
2->86.000000 | 1->85.000000 => 47.000000
3->86.000000 | 2->85.500000 => 51.500000
3->86.000000 | 2->85.500000 => 52.000000
3->86.000000 | 2->85.500000 => 52.000000
3->86.000000 | 2->85.500000 => 52.000000
1->85.000000 | 3->85.500000 => 56.500000
1->85.000000 | 3->85.000000 => 57.000000
1->85.000000 | 3->85.000000 => 57.000000
1->85.000000 | 3->85.000000 => 57.000000
2->85.500000 | 1->84.500000 => 61.500000
2->85.500000 | 1->84.000000 => 62.000000
2->85.500000 | 1->84.000000 => 62.000000
2->85.500000 | 1->84.000000 => 62.000000
3->85.000000 | 2->84.500000 => 71.500000
3->85.000000 | 2->84.500000 => 72.000000
3->85.000000 | 2->84.500000 => 72.000000
3->85.000000 | 2->84.500000 => 72.000000
0->84.000000 | 3->84.500000 => 76.500000
0->84.000000 | 3->84.500000 => 77.000000
0->84.000000 | 3->84.500000 => 77.000000
0->84.000000 | 3->84.500000 => 77.000000
2->84.500000 | 0->83.500000 => 81.500000
2->84.500000 | 0->83.500000 => 82.000000
2->84.500000 | 0->83.500000 => 82.000000
2->84.500000 | 0->83.500000 => 82.000000
3->84.500000 | 2->84.000000 => 86.500000
3->84.500000 | 2->84.000000 => 87.000000
3->84.500000 | 2->84.000000 => 87.000000
3->84.500000 | 2->84.000000 => 87.000000
0->83.500000 | 3->84.000000 => 91.500000
0->83.500000 | 3->84.000000 => 92.000000
0->83.500000 | 3->84.000000 => 92.000000
0->83.500000 | 3->84.000000 => 92.000000
1->84.000000 | 0->83.000000 => 96.500000
1->84.000000 | 0->83.000000 => 97.000000
1->84.000000 | 0->83.000000 => 97.000000
1->84.000000 | 0->83.000000 => 97.000000
3->84.000000 | 1->83.500000 => 137.000000
1->84.000000 | 3->84.000000 => 142.000000
3->84.000000 | 1->83.500000 => 192.000000
1->84.000000 | 3->84.000000 => 197.000000
