RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:33:20 2019
elapsed time: 5e-08s
Source: /app/node3/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.677783 |End 
Source: /app/node4/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.682480 |End 
Source: /app/node0/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.673146 | Time receivedFromSrcR: 6.687063 |End 
Source: /app/node3/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.691623 |End 
Source: /app/node1/item-22001 | Message ID: 1 | Time sentFromSrcR: 6.677786 | Time receivedFromSrcR: 6.691703 |End 
Source: /app/node4/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.696320 |End 
Source: /app/node0/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.673146 | Time receivedFromSrcR: 6.700903 |End 
Source: /app/node3/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.705463 |End 
Source: /app/node1/item-22002 | Message ID: 2 | Time sentFromSrcR: 6.677786 | Time receivedFromSrcR: 6.705543 |End 
Source: /app/node4/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.710160 |End 
Source: /app/node0/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.673146 | Time receivedFromSrcR: 6.714743 |End 
Source: /app/node3/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.719303 |End 
Source: /app/node1/item-22003 | Message ID: 3 | Time sentFromSrcR: 6.677786 | Time receivedFromSrcR: 6.719383 |End 
Source: /app/node4/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.724000 |End 
Source: /app/node0/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.673146 | Time receivedFromSrcR: 6.728583 |End 
Source: /app/node3/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.733143 |End 
Source: /app/node1/item-22004 | Message ID: 4 | Time sentFromSrcR: 6.677786 | Time receivedFromSrcR: 6.733223 |End 
Source: /app/node4/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.737840 |End 
Source: /app/node0/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.673146 | Time receivedFromSrcR: 6.742423 |End 
Source: /app/node3/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.746983 |End 
Source: /app/node1/item-22005 | Message ID: 5 | Time sentFromSrcR: 6.677786 | Time receivedFromSrcR: 6.747063 |End 
Source: /app/node4/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.751680 |End 
Source: /app/node0/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.673146 | Time receivedFromSrcR: 6.756263 |End 
Source: /app/node3/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.663866 | Time receivedFromSrcR: 6.760823 |End 
Source: /app/node1/item-22006 | Message ID: 6 | Time sentFromSrcR: 6.677786 | Time receivedFromSrcR: 6.760903 |End 
Source: /app/node4/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.668506 | Time receivedFromSrcR: 6.765520 |End 
