RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:45:43 2019
elapsed time: 4.2e-08s
Source: /app/node4/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.219643 | Time receivedFromSrcR: 27.233627 |End 
Source: /app/node0/item-22026 | Message ID: 26 | Time sentFromSrcR: 27.319643 | Time receivedFromSrcR: 27.333627 |End 
Source: /app/node3/item-22027 | Message ID: 27 | Time sentFromSrcR: 27.324330 | Time receivedFromSrcR: 27.338457 |End 
Source: /app/node0/item-22027 | Message ID: 27 | Time sentFromSrcR: 27.319643 | Time receivedFromSrcR: 27.347467 |End 
Source: /app/node0/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.319643 | Time receivedFromSrcR: 27.361307 |End 
Source: /app/node2/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.519549 | Time receivedFromSrcR: 27.552798 |End 
Source: /app/node3/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.874330 | Time receivedFromSrcR: 27.888457 |End 
Source: /app/node4/item-22029 | Message ID: 29 | Time sentFromSrcR: 28.319643 | Time receivedFromSrcR: 28.333627 |End 
Source: /app/node3/item-22028 | Message ID: 28 | Time sentFromSrcR: 28.424330 | Time receivedFromSrcR: 28.438457 |End 
Source: /app/node0/item-22029 | Message ID: 29 | Time sentFromSrcR: 28.419643 | Time receivedFromSrcR: 28.443584 |End 
Source: /app/node2/item-22029 | Message ID: 29 | Time sentFromSrcR: 28.619575 | Time receivedFromSrcR: 28.648177 |End 
Source: /app/node2/item-22030 | Message ID: 30 | Time sentFromSrcR: 29.169593 | Time receivedFromSrcR: 29.202830 |End 
Source: /app/node4/item-22030 | Message ID: 30 | Time sentFromSrcR: 29.419643 | Time receivedFromSrcR: 29.433627 |End 
Source: /app/node0/item-22030 | Message ID: 30 | Time sentFromSrcR: 29.519643 | Time receivedFromSrcR: 29.543584 |End 
Source: /app/node3/item-22029 | Message ID: 29 | Time sentFromSrcR: 30.019842 | Time receivedFromSrcR: 30.043727 |End 
Source: /app/node3/item-22030 | Message ID: 30 | Time sentFromSrcR: 30.019842 | Time receivedFromSrcR: 30.057567 |End 
Source: /app/node2/item-22031 | Message ID: 31 | Time sentFromSrcR: 30.269644 | Time receivedFromSrcR: 30.302866 |End 
Source: /app/node4/item-22031 | Message ID: 31 | Time sentFromSrcR: 30.519643 | Time receivedFromSrcR: 30.533627 |End 
Source: /app/node0/item-22031 | Message ID: 31 | Time sentFromSrcR: 30.619643 | Time receivedFromSrcR: 30.643584 |End 
Source: /app/node4/item-22031 | Message ID: 31 | Time sentFromSrcR: 31.069643 | Time receivedFromSrcR: 31.083627 |End 
