RESULTS Received DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:45:43 2019
elapsed time: 5.3e-08s
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22028 | Message ID: 28 | Time Received Here: 27.233627 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22026 | Message ID: 26 | Time Received Here: 27.333627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22027 | Message ID: 27 | Time Received Here: 27.338457 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22027 | Message ID: 27 | Time Received Here: 27.347467 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22028 | Message ID: 28 | Time Received Here: 27.361307 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22028 | Message ID: 28 | Time Received Here: 27.552798 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22028 | Message ID: 28 | Time Received Here: 27.888457 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22029 | Message ID: 29 | Time Received Here: 28.333627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22028 | Message ID: 28 | Time Received Here: 28.438457 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22029 | Message ID: 29 | Time Received Here: 28.443584 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22029 | Message ID: 29 | Time Received Here: 28.648177 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22030 | Message ID: 30 | Time Received Here: 29.202830 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22030 | Message ID: 30 | Time Received Here: 29.433627 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22030 | Message ID: 30 | Time Received Here: 29.543584 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22029 | Message ID: 29 | Time Received Here: 30.043727 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22030 | Message ID: 30 | Time Received Here: 30.057567 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22031 | Message ID: 31 | Time Received Here: 30.302866 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22031 | Message ID: 31 | Time Received Here: 30.533627 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22031 | Message ID: 31 | Time Received Here: 30.643584 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22031 | Message ID: 31 | Time Received Here: 31.083627 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22032 | Message ID: 32 | Time Received Here: 31.183627 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:02 | Message ID: /app/node2/item-22032 | Message ID: 32 | Time Received Here: 31.398277 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22032 | Message ID: 32 | Time Received Here: 31.633627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22032 | Message ID: 32 | Time Received Here: 32.147809 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22033 | Message ID: 33 | Time Received Here: 32.161649 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22033 | Message ID: 33 | Time Received Here: 32.183627 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22033 | Message ID: 33 | Time Received Here: 32.283627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22031 | Message ID: 31 | Time Received Here: 32.683969 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22032 | Message ID: 32 | Time Received Here: 32.697809 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22033 | Message ID: 33 | Time Received Here: 32.711649 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:04 | Message ID: /app/node1/item-22033 | Message ID: 33 | Time Received Here: 32.733627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22032 | Message ID: 32 | Time Received Here: 32.747467 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22033 | Message ID: 33 | Time Received Here: 32.761307 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22033 | Message ID: 33 | Time Received Here: 32.775147 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:04 | Message ID: /app/node0/item-22033 | Message ID: 33 | Time Received Here: 32.788987 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:00 | Message ID: /app/node0/item-22034 | Message ID: 34 | Time Received Here: 33.383627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22034 | Message ID: 34 | Time Received Here: 34.297809 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22035 | Message ID: 35 | Time Received Here: 34.311649 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22034 | Message ID: 34 | Time Received Here: 34.883627 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22031 | Message ID: 31 | Time Received Here: 34.897467 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22032 | Message ID: 32 | Time Received Here: 34.911307 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22033 | Message ID: 33 | Time Received Here: 34.925147 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:04 | Message ID: /app/node1/item-22033 | Message ID: 33 | Time Received Here: 34.938987 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22033 | Message ID: 33 | Time Received Here: 34.952827 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:04 | Message ID: /app/node0/item-22033 | Message ID: 33 | Time Received Here: 34.966667 | End 
Source: Wf:00:00:00:00:02 | From: Wf:00:00:00:00:04 | Message ID: /app/node2/item-22033 | Message ID: 33 | Time Received Here: 34.994347 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22035 | Message ID: 35 | Time Received Here: 35.008187 | End 
Source: Wf:00:00:00:00:00 | From: Wf:00:00:00:00:04 | Message ID: /app/node0/item-22034 | Message ID: 34 | Time Received Here: 35.022027 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22034 | Message ID: 34 | Time Received Here: 35.049707 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22035 | Message ID: 35 | Time Received Here: 35.063547 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22033 | Message ID: 33 | Time Received Here: 35.483225 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:04 | Message ID: /app/node1/item-22034 | Message ID: 34 | Time Received Here: 35.487675 | End 
Source: Wf:00:00:00:00:03 | From: Wf:00:00:00:00:03 | Message ID: /app/node3/item-22035 | Message ID: 35 | Time Received Here: 35.497065 | End 
Source: Wf:00:00:00:00:01 | From: Wf:00:00:00:00:04 | Message ID: /app/node1/item-22035 | Message ID: 35 | Time Received Here: 35.501515 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22036 | Message ID: 36 | Time Received Here: 35.515355 | End 
Source: Wf:00:00:00:00:04 | From: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22034 | Message ID: 34 | Time Received Here: 35.529195 | End 
