RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:45:43 2019
elapsed time: 6e-08s
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22001 | Message ID: 1 | Time SentFromNIC: 6.691626 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22002 | Message ID: 2 | Time SentFromNIC: 6.705466 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22003 | Message ID: 3 | Time SentFromNIC: 6.719306 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22004 | Message ID: 4 | Time SentFromNIC: 6.733146 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22005 | Message ID: 5 | Time SentFromNIC: 6.746986 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22006 | Message ID: 6 | Time SentFromNIC: 6.760826 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22007 | Message ID: 7 | Time SentFromNIC: 6.774666 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22008 | Message ID: 8 | Time SentFromNIC: 7.241626 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22009 | Message ID: 9 | Time SentFromNIC: 8.332346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22010 | Message ID: 10 | Time SentFromNIC: 9.432346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22011 | Message ID: 11 | Time SentFromNIC: 10.532346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22012 | Message ID: 12 | Time SentFromNIC: 11.632346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22013 | Message ID: 13 | Time SentFromNIC: 12.182346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22014 | Message ID: 14 | Time SentFromNIC: 13.282346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22015 | Message ID: 15 | Time SentFromNIC: 14.382346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22016 | Message ID: 16 | Time SentFromNIC: 15.482346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22017 | Message ID: 17 | Time SentFromNIC: 16.582346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22018 | Message ID: 18 | Time SentFromNIC: 17.132346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22019 | Message ID: 19 | Time SentFromNIC: 18.232346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22020 | Message ID: 20 | Time SentFromNIC: 19.332346 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22021 | Message ID: 21 | Time SentFromNIC: 20.427704 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22022 | Message ID: 22 | Time SentFromNIC: 21.527701 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22023 | Message ID: 23 | Time SentFromNIC: 22.627700 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22024 | Message ID: 24 | Time SentFromNIC: 23.162900 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22025 | Message ID: 25 | Time SentFromNIC: 24.262900 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22026 | Message ID: 26 | Time SentFromNIC: 25.362900 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:02 | Message ID: /app/node1/item-22027 | Message ID: 27 | Time SentFromNIC: 26.448102 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node1/item-22033 | Message ID: 33 | Time SentFromNIC: 32.583483 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22032 | Message ID: 32 | Time SentFromNIC: 32.597323 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node3/item-22033 | Message ID: 33 | Time SentFromNIC: 32.611163 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node4/item-22033 | Message ID: 33 | Time SentFromNIC: 32.625003 | End 
