RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:45:43 2019
elapsed time: 5e-08s
Source: Wf:00:00:00:00:01 | Message ID: 1 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 2 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 3 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 4 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 5 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 7 | Time SentFromSrc: 6.677786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 8 | Time SentFromSrc: 7.227786 |End 
Source: Wf:00:00:00:00:01 | Message ID: 9 | Time SentFromSrc: 8.318506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 10 | Time SentFromSrc: 9.418506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 11 | Time SentFromSrc: 10.518506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 12 | Time SentFromSrc: 11.618506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 13 | Time SentFromSrc: 12.168506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 14 | Time SentFromSrc: 13.268506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 15 | Time SentFromSrc: 14.368506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 16 | Time SentFromSrc: 15.468506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 17 | Time SentFromSrc: 16.568506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 18 | Time SentFromSrc: 17.118506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 19 | Time SentFromSrc: 18.218506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 20 | Time SentFromSrc: 19.318506 |End 
Source: Wf:00:00:00:00:01 | Message ID: 21 | Time SentFromSrc: 20.413864 |End 
Source: Wf:00:00:00:00:01 | Message ID: 22 | Time SentFromSrc: 21.513861 |End 
Source: Wf:00:00:00:00:01 | Message ID: 23 | Time SentFromSrc: 22.613860 |End 
Source: Wf:00:00:00:00:01 | Message ID: 24 | Time SentFromSrc: 23.149060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 25 | Time SentFromSrc: 24.249060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 26 | Time SentFromSrc: 25.349060 |End 
Source: Wf:00:00:00:00:01 | Message ID: 27 | Time SentFromSrc: 26.434262 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 32.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 33.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time SentFromSrc: 33.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time SentFromSrc: 34.719643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 35.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time SentFromSrc: 35.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time SentFromSrc: 35.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time SentFromSrc: 35.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 35.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time SentFromSrc: 35.819643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 37 | Time SentFromSrc: 36.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time SentFromSrc: 36.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time SentFromSrc: 36.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 36.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time SentFromSrc: 36.369643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 37 | Time SentFromSrc: 36.965899 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time SentFromSrc: 36.965899 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time SentFromSrc: 36.965899 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 36.965899 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time SentFromSrc: 36.965899 |End 
Source: Wf:00:00:00:00:01 | Message ID: 38 | Time SentFromSrc: 37.484443 |End 
Source: Wf:00:00:00:00:01 | Message ID: 39 | Time SentFromSrc: 38.569643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 40 | Time SentFromSrc: 39.119643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 41 | Time SentFromSrc: 40.219643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 42 | Time SentFromSrc: 41.319643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 43 | Time SentFromSrc: 42.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 44 | Time SentFromSrc: 43.562931 |End 
Source: Wf:00:00:00:00:01 | Message ID: 45 | Time SentFromSrc: 44.126771 |End 
Source: Wf:00:00:00:00:01 | Message ID: 45 | Time SentFromSrc: 44.706867 |End 
Source: Wf:00:00:00:00:01 | Message ID: 46 | Time SentFromSrc: 45.169643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 47 | Time SentFromSrc: 46.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 47 | Time SentFromSrc: 46.834443 |End 
Source: Wf:00:00:00:00:01 | Message ID: 48 | Time SentFromSrc: 47.169643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 49 | Time SentFromSrc: 48.269643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 50 | Time SentFromSrc: 50.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 51 | Time SentFromSrc: 50.419643 |End 
Source: Wf:00:00:00:00:01 | Message ID: 52 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 53 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 54 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 55 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 56 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 57 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 58 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 59 | Time SentFromSrc: 60.019842 |End 
Source: Wf:00:00:00:00:01 | Message ID: 60 | Time SentFromSrc: 60.019842 |End 
