RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:45:43 2019
elapsed time: 2.8e-08s
Source: Wf:00:00:00:00:03 | Message ID: 1 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 2 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 3 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 4 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 5 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 6 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 7 | Time SentFromSrc: 6.663866 |End 
Source: Wf:00:00:00:00:03 | Message ID: 8 | Time SentFromSrc: 7.218506 |End 
Source: Wf:00:00:00:00:03 | Message ID: 9 | Time SentFromSrc: 8.323146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 10 | Time SentFromSrc: 9.423146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 11 | Time SentFromSrc: 10.523146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 12 | Time SentFromSrc: 11.623146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 13 | Time SentFromSrc: 12.173146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 14 | Time SentFromSrc: 13.273146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 15 | Time SentFromSrc: 14.373146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 16 | Time SentFromSrc: 15.473146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 17 | Time SentFromSrc: 16.573146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 18 | Time SentFromSrc: 17.123146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 19 | Time SentFromSrc: 18.223146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 20 | Time SentFromSrc: 19.323146 |End 
Source: Wf:00:00:00:00:03 | Message ID: 21 | Time SentFromSrc: 20.427788 |End 
Source: Wf:00:00:00:00:03 | Message ID: 22 | Time SentFromSrc: 21.527795 |End 
Source: Wf:00:00:00:00:03 | Message ID: 23 | Time SentFromSrc: 23.713023 |End 
Source: Wf:00:00:00:00:03 | Message ID: 24 | Time SentFromSrc: 23.713023 |End 
Source: Wf:00:00:00:00:03 | Message ID: 25 | Time SentFromSrc: 24.263032 |End 
Source: Wf:00:00:00:00:03 | Message ID: 26 | Time SentFromSrc: 25.358409 |End 
Source: Wf:00:00:00:00:03 | Message ID: 27 | Time SentFromSrc: 27.324330 |End 
Source: Wf:00:00:00:00:03 | Message ID: 28 | Time SentFromSrc: 27.324330 |End 
Source: Wf:00:00:00:00:03 | Message ID: 28 | Time SentFromSrc: 27.874330 |End 
Source: Wf:00:00:00:00:03 | Message ID: 28 | Time SentFromSrc: 28.424330 |End 
Source: Wf:00:00:00:00:03 | Message ID: 29 | Time SentFromSrc: 28.424330 |End 
Source: Wf:00:00:00:00:03 | Message ID: 29 | Time SentFromSrc: 30.019842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 30 | Time SentFromSrc: 30.019842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 31 | Time SentFromSrc: 32.119842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 32 | Time SentFromSrc: 32.119842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 33 | Time SentFromSrc: 32.119842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 31 | Time SentFromSrc: 32.669842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 32 | Time SentFromSrc: 32.669842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 33 | Time SentFromSrc: 32.669842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 33 | Time SentFromSrc: 34.269842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 34 | Time SentFromSrc: 34.269842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 35 | Time SentFromSrc: 34.269842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 33 | Time SentFromSrc: 34.819842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 35 | Time SentFromSrc: 34.819842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 33 | Time SentFromSrc: 35.469099 |End 
Source: Wf:00:00:00:00:03 | Message ID: 35 | Time SentFromSrc: 35.469099 |End 
Source: Wf:00:00:00:00:03 | Message ID: 36 | Time SentFromSrc: 35.469099 |End 
Source: Wf:00:00:00:00:03 | Message ID: 36 | Time SentFromSrc: 36.088299 |End 
Source: Wf:00:00:00:00:03 | Message ID: 37 | Time SentFromSrc: 36.651179 |End 
Source: Wf:00:00:00:00:03 | Message ID: 37 | Time SentFromSrc: 37.247435 |End 
Source: Wf:00:00:00:00:03 | Message ID: 38 | Time SentFromSrc: 37.247435 |End 
Source: Wf:00:00:00:00:03 | Message ID: 37 | Time SentFromSrc: 37.569842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 38 | Time SentFromSrc: 37.569842 |End 
Source: Wf:00:00:00:00:03 | Message ID: 37 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 38 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 39 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 40 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 41 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 42 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 43 | Time SentFromSrc: 42.119643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 42 | Time SentFromSrc: 42.669643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 44 | Time SentFromSrc: 43.234443 |End 
Source: Wf:00:00:00:00:03 | Message ID: 45 | Time SentFromSrc: 44.319643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 46 | Time SentFromSrc: 45.419643 |End 
Source: Wf:00:00:00:00:03 | Message ID: 47 | Time SentFromSrc: 46.519643 |End 
