1->76.300000 | 2->72.700000 => 27.000000
1->75.750000 | 2->71.950000 => 27.000000
1->76.150000 | 2->71.800000 => 27.000000
1->76.300000 | 2->73.100000 => 27.000000
1->76.300000 | 2->71.950000 => 27.000000
4->78.500000 | 1->77.500000 => 32.000000
4->78.500000 | 1->77.375000 => 32.000000
4->76.250000 | 1->75.250000 => 37.000000
1->75.125000 | 4->75.875000 => 37.000000
4->76.250000 | 1->75.250000 => 37.000000
4->83.650000 | 1->73.400000 => 42.000000
0->78.500000 | 4->77.000000 => 42.000000
0->78.500000 | 4->77.000000 => 47.000000
0->78.500000 | 4->77.000000 => 47.000000
0->78.500000 | 4->77.000000 => 47.000000
3->78.500000 | 0->77.000000 => 52.000000
3->78.500000 | 0->77.500000 => 52.000000
3->78.500000 | 0->77.000000 => 52.000000
3->78.500000 | 0->77.000000 => 52.000000
0->77.000000 | 3->77.500000 => 62.000000
0->77.000000 | 3->77.000000 => 62.000000
0->77.000000 | 3->77.000000 => 62.000000
0->77.000000 | 3->77.000000 => 62.000000
1->77.500000 | 0->76.000000 => 67.000000
1->77.500000 | 0->76.500000 => 67.000000
1->77.500000 | 0->76.500000 => 67.000000
1->77.500000 | 0->76.500000 => 67.000000
0->76.500000 | 1->77.000000 => 72.000000
0->76.500000 | 1->77.000000 => 72.000000
0->76.500000 | 1->77.000000 => 72.000000
0->76.500000 | 1->77.000000 => 72.000000
1->77.000000 | 0->75.500000 => 77.000000
1->77.000000 | 0->75.500000 => 77.000000
1->77.000000 | 0->75.500000 => 77.000000
1->77.000000 | 0->75.500000 => 77.000000
3->77.000000 | 1->76.000000 => 82.000000
1->76.500000 | 3->77.000000 => 87.000000
3->77.000000 | 1->75.500000 => 92.000000
3->77.000000 | 1->75.500000 => 92.000000
3->77.000000 | 1->75.500000 => 92.000000
3->77.000000 | 1->75.500000 => 92.000000
4->77.000000 | 3->76.000000 => 97.000000
3->76.500000 | 4->77.000000 => 102.000000
4->77.000000 | 3->76.000000 => 107.000000
4->77.000000 | 3->76.000000 => 107.000000
4->77.000000 | 3->76.000000 => 107.000000
4->77.000000 | 3->76.000000 => 107.000000
