RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct 22 22:55:03 2019
elapsed time: 3.4e-08s
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22073 | Message ID: 73 | Time SentFromNIC: 74.483687 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22067 | Message ID: 67 | Time SentFromNIC: 74.497527 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22066 | Message ID: 66 | Time SentFromNIC: 74.511367 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22069 | Message ID: 69 | Time SentFromNIC: 74.525207 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22070 | Message ID: 70 | Time SentFromNIC: 74.539047 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22072 | Message ID: 72 | Time SentFromNIC: 74.552887 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22072 | Message ID: 72 | Time SentFromNIC: 74.566727 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22066 | Message ID: 66 | Time SentFromNIC: 74.580567 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22069 | Message ID: 69 | Time SentFromNIC: 74.594407 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22072 | Message ID: 72 | Time SentFromNIC: 74.608247 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22073 | Message ID: 73 | Time SentFromNIC: 74.622087 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22074 | Message ID: 74 | Time SentFromNIC: 74.635927 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22075 | Message ID: 75 | Time SentFromNIC: 74.649767 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22073 | Message ID: 73 | Time SentFromNIC: 80.933687 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22067 | Message ID: 67 | Time SentFromNIC: 80.947527 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22072 | Message ID: 72 | Time SentFromNIC: 80.961367 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22069 | Message ID: 69 | Time SentFromNIC: 80.975207 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22072 | Message ID: 72 | Time SentFromNIC: 80.989047 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22073 | Message ID: 73 | Time SentFromNIC: 81.002887 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22074 | Message ID: 74 | Time SentFromNIC: 81.016727 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22076 | Message ID: 76 | Time SentFromNIC: 81.030567 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22073 | Message ID: 73 | Time SentFromNIC: 81.044407 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22074 | Message ID: 74 | Time SentFromNIC: 81.058247 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22076 | Message ID: 76 | Time SentFromNIC: 81.072087 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22077 | Message ID: 77 | Time SentFromNIC: 81.085927 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22078 | Message ID: 78 | Time SentFromNIC: 81.099767 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22074 | Message ID: 74 | Time SentFromNIC: 81.113607 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22075 | Message ID: 75 | Time SentFromNIC: 81.127447 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22076 | Message ID: 76 | Time SentFromNIC: 81.141287 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22077 | Message ID: 77 | Time SentFromNIC: 81.155127 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22078 | Message ID: 78 | Time SentFromNIC: 81.168967 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22079 | Message ID: 79 | Time SentFromNIC: 81.182807 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22059 | Message ID: 59 | Time SentFromNIC: 81.196647 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22065 | Message ID: 65 | Time SentFromNIC: 81.210487 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22074 | Message ID: 74 | Time SentFromNIC: 81.224327 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22075 | Message ID: 75 | Time SentFromNIC: 81.238167 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22076 | Message ID: 76 | Time SentFromNIC: 81.252007 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22077 | Message ID: 77 | Time SentFromNIC: 81.265847 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22078 | Message ID: 78 | Time SentFromNIC: 81.279687 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22080 | Message ID: 80 | Time SentFromNIC: 81.293527 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22073 | Message ID: 73 | Time SentFromNIC: 81.307367 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22079 | Message ID: 79 | Time SentFromNIC: 81.321207 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22080 | Message ID: 80 | Time SentFromNIC: 81.335047 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22071 | Message ID: 71 | Time SentFromNIC: 81.348887 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22081 | Message ID: 81 | Time SentFromNIC: 81.362727 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22075 | Message ID: 75 | Time SentFromNIC: 81.376567 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22078 | Message ID: 78 | Time SentFromNIC: 81.390407 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22079 | Message ID: 79 | Time SentFromNIC: 81.404247 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22080 | Message ID: 80 | Time SentFromNIC: 81.418087 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22073 | Message ID: 73 | Time SentFromNIC: 81.483687 | End 
Source: Wf:00:00:00:00:04 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node4/item-22067 | Message ID: 67 | Time SentFromNIC: 81.497527 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22072 | Message ID: 72 | Time SentFromNIC: 81.511367 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22069 | Message ID: 69 | Time SentFromNIC: 81.525207 | End 
Source: Wf:00:00:00:00:01 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node1/item-22073 | Message ID: 73 | Time SentFromNIC: 81.539047 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22074 | Message ID: 74 | Time SentFromNIC: 81.552887 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node2/item-22076 | Message ID: 76 | Time SentFromNIC: 81.566727 | End 
Source: Wf:00:00:00:00:03 | NextDest: Wf:00:00:00:00:00 | Message ID: /app/node3/item-22073 | Message ID: 73 | Time SentFromNIC: 81.580567 | End 
