0->65.800000 | 2->66.000000 => 72.000000
0->65.800000 | 2->66.000000 => 72.000000
0->65.800000 | 2->66.000000 => 72.000000
0->65.800000 | 2->66.000000 => 72.000000
0->65.800000 | 2->66.000000 => 72.000000
1->65.800000 | 0->64.200000 => 82.000000
1->65.800000 | 0->64.200000 => 82.000000
1->65.800000 | 0->64.200000 => 82.000000
1->65.800000 | 0->64.200000 => 87.000000
1->65.800000 | 0->64.200000 => 87.000000
2->66.000000 | 1->64.200000 => 92.000000
2->66.000000 | 1->63.800000 => 92.000000
2->66.000000 | 1->63.800000 => 92.000000
2->66.000000 | 1->64.200000 => 92.000000
3->65.800000 | 2->64.000000 => 97.000000
3->65.800000 | 2->64.000000 => 97.000000
3->65.800000 | 2->64.000000 => 97.000000
3->65.800000 | 1->63.800000 => 97.000000
3->65.800000 | 2->64.000000 => 102.000000
4->65.800000 | 3->65.000000 => 107.000000
4->65.800000 | 3->65.000000 => 107.000000
4->65.800000 | 3->65.000000 => 107.000000
4->65.800000 | 3->65.000000 => 112.000000
4->65.800000 | 3->65.000000 => 112.000000
3->65.000000 | 4->65.400000 => 132.000000
3->65.000000 | 4->65.400000 => 132.000000
3->65.000000 | 4->65.400000 => 132.000000
3->65.000000 | 4->65.400000 => 137.000000
3->65.000000 | 4->65.400000 => 137.000000
